rule,stop_multiplier,calls,level_touch_rate,trade_win_rate_conservative,ambiguous_rate,mean_target_distance_pts,train_2017_2023_calls,val_2024_2025_calls,confirm_2026_calls,train_2017_2023_trade_win_rate,val_2024_2025_trade_win_rate,confirm_2026_trade_win_rate
abs_gap_0.02_0.10_both_fill_prev_close,1.0,351,91.16809116809117,37.89173789173789,25.925925925925924,10.222219017093963,231,93,27,39.82683982683983,32.25806451612903,40.74074074074074
abs_gap_0.02_0.10_both_fill_prev_close,2.0,351,91.16809116809117,54.700854700854705,15.384615384615385,10.222219017093963,231,93,27,55.41125541125541,54.83870967741935,48.148148148148145
abs_gap_0.02_0.10_both_fill_prev_close,3.0,351,91.16809116809117,65.8119658119658,9.971509971509972,10.222219017093963,231,93,27,63.63636363636363,70.96774193548387,66.66666666666666
abs_gap_0.03_0.12_both_fill_prev_close,1.0,393,90.33078880407125,43.25699745547074,17.557251908396946,12.992941014630949,257,104,32,45.525291828793776,37.5,43.75
abs_gap_0.03_0.12_both_fill_prev_close,2.0,393,90.33078880407125,61.32315521628499,9.414758269720101,12.992941014630949,257,104,32,60.311284046692606,66.34615384615384,53.125
abs_gap_0.03_0.12_both_fill_prev_close,3.0,393,90.33078880407125,71.2468193384224,6.106870229007633,12.992941014630949,257,104,32,67.70428015564202,80.76923076923077,68.75
abs_gap_0.05_0.15_both_fill_prev_close,1.0,428,87.14953271028037,48.831775700934585,7.476635514018691,18.247105549065353,265,122,41,51.320754716981135,46.72131147540984,39.02439024390244
abs_gap_0.05_0.15_both_fill_prev_close,2.0,428,87.14953271028037,66.35514018691589,3.0373831775700935,18.247105549065353,265,122,41,64.90566037735849,74.59016393442623,51.21951219512195
abs_gap_0.05_0.15_both_fill_prev_close,3.0,428,87.14953271028037,75.23364485981308,1.4018691588785046,18.247105549065353,265,122,41,71.69811320754717,87.70491803278688,60.97560975609756
