family,interval_min,rule,direction,entry_after_bars,target_pct,stop_pct,calls,win_rate,avg_pnl_pts,median_pnl_pts,target_rate,stop_rate,eod_rate,ambiguous_rate,train_jul_aug_calls,confirm_sep_calls,train_jul_aug_win_rate,confirm_sep_win_rate,train_jul_aug_avg_pnl_pts,confirm_sep_avg_pnl_pts
pdf_level_reaction,15,level_first4bars_touch0_buf10_all,UP,4,0.15,0.15,9,33.33333333333333,-12.331316666666664,-35.909925,33.33333333333333,66.66666666666666,0.0,0.0,7,2,14.285714285714285,100.0,-25.94178214285714,35.3053125
pdf_level_reaction,15,level_first4bars_touch0_buf10_all,UP,4,0.2,0.2,9,33.33333333333333,-16.44175555555556,-47.879900000000006,33.33333333333333,66.66666666666666,0.0,0.0,7,2,14.285714285714285,100.0,-34.589042857142864,47.073750000000004
pdf_level_reaction,15,level_first1bars_touch15_buf5_all,UP,1,0.1,0.1,8,50.0,-0.17236250000000197,-0.22574999999999967,50.0,50.0,0.0,0.0,5,3,20.0,100.0,-14.392410000000003,23.527716666666667
pdf_level_reaction,15,level_first1bars_touch15_buf5_all,UP,1,0.2,0.2,8,50.0,-0.34472500000000394,-0.45149999999999935,50.0,50.0,0.0,0.0,5,3,20.0,100.0,-28.784820000000007,47.05543333333333
pdf_level_reaction,15,level_first2bars_touch0_buf10_all,UP,2,0.3,0.3,8,50.0,-2.813600000000182,-4.675000000001091,25.0,37.5,37.5,0.0,6,2,33.33333333333333,100.0,-27.28834166666691,70.610625
pdf_level_reaction,15,level_first2bars_touch0_buf10_all,UP,2,0.1,0.1,8,37.5,-6.170831249999999,-23.82175,37.5,62.5,0.0,0.0,6,2,16.666666666666664,100.0,-16.073400000000003,23.536875000000002
pdf_level_reaction,15,level_first2bars_touch0_buf10_all,UP,2,0.15,0.15,8,37.5,-9.256246874999999,-35.732625,37.5,62.5,0.0,0.0,6,2,16.666666666666664,100.0,-24.1101,35.3053125
pdf_level_reaction,15,level_first2bars_touch0_buf10_all,UP,2,0.2,0.2,8,37.5,-12.341662499999998,-47.6435,37.5,62.5,0.0,0.0,6,2,16.666666666666664,100.0,-32.146800000000006,47.073750000000004
pdf_level_reaction,15,level_first1bars_touch15_buf10_all,UP,1,0.3,0.3,7,57.14285714285714,8.495050000000106,63.70000000000073,42.857142857142854,42.857142857142854,14.285714285714285,0.0,5,2,40.0,100.0,-16.35117999999985,70.610625
pdf_level_reaction,15,level_first2bars_touch0_buf5_inst,DOWN,2,0.08,0.08,7,71.42857142857143,8.099377142857143,19.062920000000002,71.42857142857143,28.57142857142857,0.0,0.0,5,2,60.0,100.0,3.8052240000000004,18.834760000000003
pdf_level_reaction,15,level_first2bars_touch5_buf5_inst,DOWN,2,0.08,0.08,7,71.42857142857143,8.099377142857143,19.062920000000002,71.42857142857143,28.57142857142857,0.0,0.0,5,2,60.0,100.0,3.8052240000000004,18.834760000000003
pdf_level_reaction,15,level_first2bars_touch10_buf5_inst,DOWN,2,0.08,0.08,7,71.42857142857143,8.099377142857143,19.062920000000002,71.42857142857143,28.57142857142857,0.0,0.0,5,2,60.0,100.0,3.8052240000000004,18.834760000000003
pdf_level_reaction,15,level_first2bars_touch15_buf5_inst,DOWN,2,0.08,0.08,7,71.42857142857143,8.099377142857143,19.062920000000002,71.42857142857143,28.57142857142857,0.0,0.0,5,2,60.0,100.0,3.8052240000000004,18.834760000000003
pdf_level_reaction,15,level_first1bars_touch10_buf5_all,UP,1,0.2,0.2,7,57.14285714285714,6.6407142857142825,46.5041,57.14285714285714,42.857142857142854,0.0,0.0,4,3,25.0,100.0,-23.670325000000005,47.05543333333333
pdf_level_reaction,15,level_first1bars_touch15_buf10_all,UP,1,0.1,0.1,7,57.14285714285714,3.33582857142857,23.25205,57.14285714285714,42.857142857142854,0.0,0.0,5,2,40.0,100.0,-4.744590000000002,23.536875000000002
pdf_level_reaction,15,level_first1bars_touch10_buf5_all,UP,1,0.1,0.1,7,57.14285714285714,3.3203571428571412,23.25205,57.14285714285714,42.857142857142854,0.0,0.0,4,3,25.0,100.0,-11.835162500000003,23.527716666666667
pdf_level_reaction,10,level_first6bars_touch15_buf0_inst,UP,6,0.1,0.1,7,42.857142857142854,-3.5941714285714284,-23.731400000000004,42.857142857142854,57.14285714285714,0.0,0.0,5,2,20.0,100.0,-14.52842,23.74145
pdf_level_reaction,15,level_first2bars_touch0_buf5_all,UP,2,0.1,0.1,7,42.857142857142854,-3.6692571428571457,-23.70355,42.857142857142854,57.14285714285714,0.0,0.0,4,3,0.0,100.0,-24.066987500000003,23.527716666666667
pdf_level_reaction,15,level_first4bars_touch0_buf5_all,UP,4,0.1,0.1,7,42.857142857142854,-3.6692571428571457,-23.70355,42.857142857142854,57.14285714285714,0.0,0.0,4,3,0.0,100.0,-24.066987500000003,23.527716666666667
pdf_level_reaction,10,level_first6bars_touch15_buf0_inst,UP,6,0.15,0.15,7,42.857142857142854,-5.391257142857141,-35.5971,42.857142857142854,57.14285714285714,0.0,0.0,5,2,20.0,100.0,-21.792629999999996,35.612175
pdf_level_reaction,15,level_first1bars_touch15_buf10_all,UP,1,0.15,0.15,7,42.857142857142854,-5.432464285714283,-35.555324999999996,42.857142857142854,57.14285714285714,0.0,0.0,5,2,20.0,100.0,-21.727574999999995,35.3053125
pdf_level_reaction,15,level_first1bars_touch15_buf10_all,UP,1,0.2,0.2,7,42.857142857142854,-7.24328571428572,-47.4071,42.857142857142854,57.14285714285714,0.0,0.0,5,2,20.0,100.0,-28.97010000000001,47.073750000000004
pdf_level_reaction,15,level_first2bars_touch0_buf5_all,UP,2,0.2,0.2,7,42.857142857142854,-7.338514285714291,-47.4071,42.857142857142854,57.14285714285714,0.0,0.0,4,3,0.0,100.0,-48.13397500000001,47.05543333333333
pdf_level_reaction,15,level_first4bars_touch0_buf5_all,UP,4,0.2,0.2,7,42.857142857142854,-7.338514285714291,-47.4071,42.857142857142854,57.14285714285714,0.0,0.0,4,3,0.0,100.0,-48.13397500000001,47.05543333333333
pdf_level_reaction,10,level_first6bars_touch15_buf5_inst,UP,6,0.08,0.08,7,28.57142857142857,-8.34624,-19.35272,28.57142857142857,71.42857142857143,0.0,0.0,6,1,16.666666666666664,100.0,-12.911066666666668,19.042720000000003
