family,interval_min,date,signal_date,target_date,year,rule,direction,entry_after_bars,entry_timestamp,entry_price,first_window_ret_pct,target_pct,stop_pct,exit_type,exit_bar_index,exit_timestamp,exit_price,pnl_pts,win,ambiguous,target_px,stop_px,target_pts,stop_pts
generic_first_window,10,2017-04-03,2017-04-03,2017-04-03,2017,first10_fade_lt_-0.2,UP,1,2017-04-03 09:15:00,9198.15,-0.23298115000276112,0.3,0.3,TARGET,28,2017-04-03 13:55:00,9225.74445,27.59445,True,False,9225.74445,9170.55555,27.59445,27.59445
generic_first_window,10,2017-04-03,2017-04-03,2017-04-03,2017,first20_trend_lt_-0.05,DOWN,2,2017-04-03 09:25:00,9200.25,-0.2102036632706432,0.08,0.08,TARGET,3,2017-04-03 09:45:00,9192.8898,7.3602,True,False,9192.8898,9207.6102,7.3602,7.3602
generic_first_window,10,2017-04-03,2017-04-03,2017-04-03,2017,first20_trend_lt_-0.05,DOWN,2,2017-04-03 09:25:00,9200.25,-0.2102036632706432,0.1,0.1,STOP,16,2017-04-03 11:55:00,9209.45025,-9.20025,False,False,9191.04975,9209.45025,9.20025,9.20025
generic_first_window,10,2017-04-03,2017-04-03,2017-04-03,2017,first20_trend_lt_-0.05,DOWN,2,2017-04-03 09:25:00,9200.25,-0.2102036632706432,0.15,0.15,STOP,17,2017-04-03 12:05:00,9214.050375,-13.800374999999999,False,False,9186.449625,9214.050375,13.800374999999999,13.800374999999999
generic_first_window,10,2017-04-03,2017-04-03,2017-04-03,2017,first20_trend_lt_-0.05,DOWN,2,2017-04-03 09:25:00,9200.25,-0.2102036632706432,0.2,0.2,STOP,20,2017-04-03 12:35:00,9218.6505,-18.4005,False,False,9181.8495,9218.6505,18.4005,18.4005
generic_first_window,10,2017-04-03,2017-04-03,2017-04-03,2017,first20_trend_lt_-0.05,DOWN,2,2017-04-03 09:25:00,9200.25,-0.2102036632706432,0.3,0.3,STOP,28,2017-04-03 13:55:00,9227.85075,-27.600749999999998,False,False,9172.64925,9227.85075,27.600749999999998,27.600749999999998
generic_first_window,10,2017-04-03,2017-04-03,2017-04-03,2017,first20_fade_lt_-0.05,UP,2,2017-04-03 09:25:00,9200.25,-0.2102036632706432,0.08,0.08,STOP,3,2017-04-03 09:45:00,9192.8898,-7.3602,False,False,9207.6102,9192.8898,7.3602,7.3602
generic_first_window,10,2017-04-03,2017-04-03,2017-04-03,2017,first20_fade_lt_-0.05,UP,2,2017-04-03 09:25:00,9200.25,-0.2102036632706432,0.1,0.1,TARGET,16,2017-04-03 11:55:00,9209.45025,9.20025,True,False,9209.45025,9191.04975,9.20025,9.20025
generic_first_window,10,2017-04-03,2017-04-03,2017-04-03,2017,first20_fade_lt_-0.05,UP,2,2017-04-03 09:25:00,9200.25,-0.2102036632706432,0.15,0.15,TARGET,17,2017-04-03 12:05:00,9214.050375,13.800374999999999,True,False,9214.050375,9186.449625,13.800374999999999,13.800374999999999
generic_first_window,10,2017-04-03,2017-04-03,2017-04-03,2017,first20_fade_lt_-0.05,UP,2,2017-04-03 09:25:00,9200.25,-0.2102036632706432,0.2,0.2,TARGET,20,2017-04-03 12:35:00,9218.6505,18.4005,True,False,9218.6505,9181.8495,18.4005,18.4005
