family,interval_min,rule,direction,entry_after_bars,target_pct,stop_pct,calls,win_rate,avg_pnl_pts,median_pnl_pts,target_rate,stop_rate,eod_rate,ambiguous_rate,train_2017_2024_calls,val_2025_calls,confirm_2026_calls,train_2017_2024_win_rate,val_2025_win_rate,confirm_2026_win_rate,train_2017_2024_avg_pnl_pts,val_2025_avg_pnl_pts,confirm_2026_avg_pnl_pts
generic_first_window,10,first30_trend_lt_-0.4,DOWN,3,0.2,0.2,281,52.313167259786475,2.355027750889683,18.6627,52.313167259786475,47.330960854092524,0.3558718861209964,4.270462633451958,242,18,21,50.0,61.111111111111114,71.42857142857143,0.2733466859504164,9.888144444444444,19.886966666666666
generic_first_window,15,first30_trend_lt_-0.4,DOWN,2,0.2,0.2,281,51.60142348754449,1.9403658306049854,18.6167,51.60142348754449,48.04270462633452,0.3558718861209964,5.6939501779359425,242,18,21,49.17355371900827,61.111111111111114,71.42857142857143,-0.2081409157024764,9.888144444444444,19.886966666666666
generic_first_window,10,first10_trend_lt_-0.4,DOWN,1,0.2,0.2,168,51.78571428571429,0.794938745238095,18.1229,51.78571428571429,48.214285714285715,0.0,8.333333333333332,144,10,14,51.388888888888886,30.0,71.42857142857143,0.3910208972222229,-20.466290000000004,20.13611428571428
generic_first_window,10,first10_trend_lt_-0.3,DOWN,1,0.2,0.2,291,52.57731958762887,1.0502319745704476,18.3125,52.57731958762887,47.07903780068728,0.3436426116838488,4.810996563573884,248,23,20,52.82258064516129,34.78260869565217,70.0,1.0615100991935498,-14.773843478260872,19.10807
generic_first_window,10,first10_trend_lt_-0.3,DOWN,1,0.1,0.1,291,42.2680412371134,-2.1885924367697593,-9.8414,42.2680412371134,57.73195876288659,0.0,21.305841924398624,248,23,20,40.725806451612904,34.78260869565217,70.0,-2.675033060887097,-7.523352173913045,9.978245
generic_first_window,10,first10_trend_lt_-0.3,DOWN,1,0.08,0.08,291,35.39518900343643,-3.2164607474914093,-8.4216,35.39518900343643,64.60481099656357,0.0,33.67697594501718,248,23,20,33.064516129032256,30.434782608695656,70.0,-3.705590312580645,-7.6806782608695645,7.982595999999998
generic_first_window,10,first10_trend_lt_-0.2,DOWN,1,0.3,0.3,525,56.76190476190476,6.818056091577403,29.8797,54.85714285714286,39.42857142857143,5.714285714285714,1.3333333333333335,436,47,42,57.11009174311926,42.5531914893617,69.04761904761905,6.0079533212801,-5.333303191489143,28.825644047619118
generic_first_window,10,first10_trend_lt_-0.2,DOWN,1,0.2,0.2,525,52.761904761904766,1.933015980988103,18.8367,52.761904761904766,46.285714285714285,0.9523809523809524,3.2380952380952377,436,47,42,52.293577981651374,42.5531914893617,69.04761904761905,1.2102912615108992,-6.48682340425526,18.857788095238078
generic_first_window,10,first30_trend_lt_-0.4,DOWN,3,0.3,0.3,281,54.092526690391466,4.6630595711743945,27.9756,51.95729537366548,43.77224199288256,4.270462633451958,1.7793594306049825,242,18,21,52.47933884297521,61.111111111111114,66.66666666666666,2.1757625599173607,14.452666666666667,24.93510476190494
generic_first_window,15,first30_trend_lt_-0.4,DOWN,2,0.3,0.3,281,54.092526690391466,4.6630595711743945,27.9756,51.95729537366548,43.77224199288256,4.270462633451958,1.7793594306049825,242,18,21,52.47933884297521,61.111111111111114,66.66666666666666,2.1757625599173607,14.452666666666667,24.93510476190494
generic_first_window,10,first30_trend_lt_-0.4,DOWN,3,0.15,0.15,281,50.5338078291815,0.5248377352313168,13.430175000000002,50.5338078291815,49.46619217081851,0.0,7.473309608540925,242,18,21,49.17355371900827,50.0,66.66666666666666,-0.3142205429752064,-0.7236749999999993,11.264139285714284
generic_first_window,15,first30_trend_lt_-0.4,DOWN,2,0.15,0.15,281,48.39857651245551,-0.5209083448398577,-12.655349999999999,48.39857651245551,51.60142348754449,0.0,10.676156583629894,242,18,21,46.69421487603306,50.0,66.66666666666666,-1.52849595,-0.7236749999999993,11.264139285714284
generic_first_window,10,first30_trend_gt_0.4,UP,3,0.1,0.1,160,43.75,-1.381675919375,-9.4403,43.75,56.25,0.0,18.125,126,22,12,42.06349206349206,40.909090909090914,66.66666666666666,-1.7804650563492062,-4.029806818181819,7.660516666666667
