feature,rho_dev,orientation,mode,quantile,threshold_hi,threshold_lo,dev2023_24_n,dev2023_24_coverage_pct,dev2023_24_exact_pct,dev2023_24_sign_n,dev2023_24_sign_pct,dev2023_24_up_calls,dev2023_24_down_calls,val2025_n,val2025_coverage_pct,val2025_exact_pct,val2025_sign_n,val2025_sign_pct,val2025_up_calls,val2025_down_calls,confirm2026_n,confirm2026_coverage_pct,confirm2026_exact_pct,confirm2026_sign_n,confirm2026_sign_pct,confirm2026_up_calls,confirm2026_down_calls,min_val_confirm_exact_pct,min_val_confirm_sign_pct,mean_val_confirm_coverage_pct
FII_sfut_rflow_sum5,-0.077267,-1,up_tail,0.9,0.025840521999999998,,34,9.91,70.59,32,75.0,34,0,4,1.61,75.0,3,100.0,4,0,1,0.6,100.0,1,100.0,1,0,75.0,100.0,1.105
Client_sfut_qflow_sum3,0.067066,1,up_tail,0.925,0.01671125,,26,7.58,50.0,23,56.52,26,0,4,1.61,75.0,4,75.0,4,0,1,0.6,100.0,1,100.0,1,0,75.0,75.0,1.105
Pro_icall_lvl_sum15,-0.055683,-1,up_tail,0.925,0.416719972,,26,7.58,53.85,22,63.64,26,0,14,5.65,71.43,14,71.43,14,0,1,0.6,100.0,1,100.0,1,0,71.43,71.43,3.125
Pro_icall_lvl_mean15,-0.052443,-1,up_tail,0.925,0.027781331466666667,,26,7.58,53.85,22,63.64,26,0,14,5.65,71.43,14,71.43,14,0,1,0.6,100.0,1,100.0,1,0,71.43,71.43,3.125
Client_sput_lvl_sum21,-0.07195,-1,up_tail,0.85,3.940069672,,50,14.58,52.0,39,66.67,50,0,3,1.21,66.67,2,100.0,3,0,0,0.0,,0,,0,0,66.67,100.0,0.605
Client_sput_lvl_mean21,-0.072792,-1,up_tail,0.85,0.18762236533333332,,50,14.58,52.0,39,66.67,50,0,3,1.21,66.67,2,100.0,3,0,0,0.0,,0,,0,0,66.67,100.0,0.605
FII_ifut_lvl_chg7,-0.054368,-1,up_tail,0.85,0.16432240249999996,,51,14.87,52.94,40,67.5,51,0,6,2.42,66.67,5,80.0,6,0,0,0.0,,0,,0,0,66.67,80.0,1.21
Client_futheavy_qflow_chg15,0.034811,1,up_tail,0.925,0.04420896385000002,,25,7.29,52.0,21,61.9,25,0,8,3.23,75.0,8,75.0,8,0,9,5.42,66.67,8,75.0,9,0,66.67,75.0,4.325
px_atr5_chg15,0.066655,1,up_tail,0.925,0.022784021999999998,,25,7.29,44.0,17,64.71,25,0,4,1.61,75.0,4,75.0,4,0,21,12.65,66.67,21,66.67,21,0,66.67,66.67,7.13
Client_index_qflow_posdays4,-0.079688,-1,up_tail,0.95,-0.0,,20,5.83,60.0,15,80.0,20,0,6,2.42,66.67,5,80.0,6,0,3,1.81,66.67,3,66.67,3,0,66.67,66.67,2.115
