outcome,strategy,feature,orientation,mode,quantile,threshold_high,threshold_low,rho_dev,dev2023_24_n,dev2023_24_coverage_pct,dev2023_24_up_calls,dev2023_24_down_calls,dev2023_24_exact_pct,dev2023_24_sign_n,dev2023_24_sign_pct,val2025_n,val2025_coverage_pct,val2025_up_calls,val2025_down_calls,val2025_exact_pct,val2025_sign_n,val2025_sign_pct,confirm2026_n,confirm2026_coverage_pct,confirm2026_up_calls,confirm2026_down_calls,confirm2026_exact_pct,confirm2026_sign_n,confirm2026_sign_pct,min_holdout_exact_pct,min_holdout_sign_pct,mean_holdout_coverage_pct
close_to_close,v3_vix_agree,vix_close,1,both,0.85,15.5600004196167,11.399999618530272,0.042152,50,14.66,27,23,50.0,41,60.98,57,23.08,27,30,50.88,47,61.7,44,28.03,35,9,52.27,36,63.89,50.88,61.7,25.555
close_to_close,v3_vix_gate,vix_ret20,1,upper,0.7,8.878503048593787,,0.028539,103,30.21,51,52,40.78,80,52.5,59,23.89,32,27,50.85,49,61.22,45,28.66,26,19,60.0,42,64.29,50.85,61.22,26.275
close_to_close,v3_vix_agree,vix_range_mean10,1,both,0.75,13.938028126174945,8.711152069032464,0.046729,87,25.51,45,42,43.68,65,58.46,59,23.89,4,55,50.85,51,58.82,23,14.65,12,11,52.17,20,60.0,50.85,58.82,19.27
close_to_close,v3_vix_gate,vix_range_mean10,1,both,0.8,14.934330881136301,8.080548305942015,0.046729,138,40.47,73,65,40.58,100,56.0,75,30.36,36,39,50.67,61,62.3,23,14.65,13,10,65.22,20,75.0,50.67,62.3,22.505
close_to_close,v3_vix_agree,vix_z20,1,upper,0.75,1.0699814120586424,,0.033601,38,11.14,38,0,52.63,29,68.97,22,8.91,22,0,50.0,16,68.75,21,13.38,21,0,61.9,20,65.0,50.0,65.0,11.145
close_to_close,v3_vix_agree,vix_low,1,both,0.75,13.869999885559082,11.210000038146973,0.042187,83,24.34,43,40,49.4,66,62.12,78,31.58,36,42,50.0,63,61.9,57,36.31,36,21,54.39,48,64.58,50.0,61.9,33.945
close_to_close,v3_vix_agree,vix_low,1,both,0.85,14.649999618530272,10.649999618530272,0.042187,53,15.54,26,27,52.83,42,66.67,54,21.86,28,26,53.7,45,64.44,42,26.75,34,8,50.0,35,60.0,50.0,60.0,24.305
close_to_close,v3_vix_gate,vix_z5,-1,both,0.925,1.3957223962937393,-1.5149968630132973,-0.019482,52,15.25,23,29,46.15,41,58.54,41,16.6,23,18,53.66,36,61.11,24,15.29,12,12,50.0,20,60.0,50.0,60.0,15.945
close_to_close,v3_vix_agree,vix_high,1,both,0.75,15.5,12.710000038146973,0.032041,85,24.93,44,41,50.59,68,63.24,92,37.25,36,56,50.0,77,59.74,59,37.58,38,21,50.85,48,62.5,50.0,59.74,37.415
close_to_close,v3_vix_gate,vix_ret20,1,upper,0.6,4.613933864391639,,0.028539,137,40.18,68,69,42.34,107,54.21,82,33.2,47,35,50.0,70,58.57,52,33.12,31,21,59.62,46,67.39,50.0,58.57,33.16
close_to_close,v3_vix_agree,vix_low,1,both,0.925,15.775000095367432,10.230000019073486,0.042187,29,8.5,15,14,58.62,24,70.83,37,14.98,18,19,51.35,30,63.33,36,22.93,31,5,50.0,31,58.06,50.0,58.06,18.955
close_to_close,v3_vix_gate,vix_open,1,both,0.95,18.88999938964844,10.899999618530272,0.047486,37,10.85,20,17,54.05,29,68.97,51,20.65,25,26,52.94,40,67.5,34,21.66,24,10,50.0,30,56.67,50.0,56.67,21.155
close_to_close,vix_direct,vix_ret20,1,upper,0.9,20.6870225895591,,0.028539,35,10.26,35,0,57.14,29,68.97,28,11.34,28,0,50.0,23,60.87,34,21.66,34,0,52.94,33,54.55,50.0,54.55,16.5
