date,timestamp,bar_index,open,high,low,close,volume,minute_count,first_timestamp,last_timestamp
2017-04-03,2017-04-03T09:15:00,0,9219.63,9221.75,9193.5,9200.35,,15,2017-04-03 09:15:00,2017-04-03 09:29:00
2017-04-03,2017-04-03T09:30:00,1,9200.65,9208.8,9195.35,9197.5,,15,2017-04-03 09:30:00,2017-04-03 09:44:00
2017-04-03,2017-04-03T09:45:00,2,9197.8,9205.6,9192.4,9202.35,,15,2017-04-03 09:45:00,2017-04-03 09:59:00
2017-04-03,2017-04-03T10:00:00,3,9202.05,9209.35,9201.9,9205.9,,15,2017-04-03 10:00:00,2017-04-03 10:14:00
2017-04-03,2017-04-03T10:15:00,4,9205.9,9207.2,9198.85,9201.3,,15,2017-04-03 10:15:00,2017-04-03 10:29:00
2017-04-03,2017-04-03T10:30:00,5,9201.8,9207.35,9197.85,9202.1,,15,2017-04-03 10:30:00,2017-04-03 10:44:00
2017-04-03,2017-04-03T10:45:00,6,9202.35,9207.15,9198.65,9200.45,,15,2017-04-03 10:45:00,2017-04-03 10:59:00
2017-04-03,2017-04-03T11:00:00,7,9200.65,9209.3,9199.15,9203.25,,15,2017-04-03 11:00:00,2017-04-03 11:14:00
2017-04-03,2017-04-03T11:15:00,8,9203.5,9207.5,9201.45,9202.85,,15,2017-04-03 11:15:00,2017-04-03 11:29:00
2017-04-03,2017-04-03T11:30:00,9,9203.7,9206.25,9199.9,9200.7,,15,2017-04-03 11:30:00,2017-04-03 11:44:00
2017-04-03,2017-04-03T11:45:00,10,9201.35,9204.9,9200.25,9201.6,,15,2017-04-03 11:45:00,2017-04-03 11:59:00
2017-04-03,2017-04-03T12:00:00,11,9202.2,9214.95,9202.05,9214.65,,15,2017-04-03 12:00:00,2017-04-03 12:14:00
2017-04-03,2017-04-03T12:15:00,12,9214.9,9214.95,9210.05,9214.65,,15,2017-04-03 12:15:00,2017-04-03 12:29:00
2017-04-03,2017-04-03T12:30:00,13,9214.8,9220.2,9213.35,9215.9,,15,2017-04-03 12:30:00,2017-04-03 12:44:00
2017-04-03,2017-04-03T12:45:00,14,9216.1,9217.7,9213.4,9217.3,,15,2017-04-03 12:45:00,2017-04-03 12:59:00
2017-04-03,2017-04-03T13:00:00,15,9217.2,9222.5,9216.9,9221.85,,15,2017-04-03 13:00:00,2017-04-03 13:14:00
2017-04-03,2017-04-03T13:15:00,16,9221.8,9224.65,9219.35,9220.85,,15,2017-04-03 13:15:00,2017-04-03 13:29:00
2017-04-03,2017-04-03T13:30:00,17,9220.9,9224.6,9219.9,9223.4,,15,2017-04-03 13:30:00,2017-04-03 13:44:00
2017-04-03,2017-04-03T13:45:00,18,9223.3,9225.05,9218.65,9224.45,,15,2017-04-03 13:45:00,2017-04-03 13:59:00
2017-04-03,2017-04-03T14:00:00,19,9224.25,9232.15,9222.55,9230.25,,15,2017-04-03 14:00:00,2017-04-03 14:14:00
2017-04-03,2017-04-03T14:15:00,20,9230.25,9233.5,9216.55,9227.55,,15,2017-04-03 14:15:00,2017-04-03 14:29:00
2017-04-03,2017-04-03T14:30:00,21,9227.15,9230.7,9218.85,9223.65,,15,2017-04-03 14:30:00,2017-04-03 14:44:00
2017-04-03,2017-04-03T14:45:00,22,9223.8,9228.7,9217.55,9227.4,,15,2017-04-03 14:45:00,2017-04-03 14:59:00
2017-04-03,2017-04-03T15:00:00,23,9228.1,9240.7,9226.95,9236.65,,15,2017-04-03 15:00:00,2017-04-03 15:14:00
2017-04-03,2017-04-03T15:15:00,24,9235.65,9245.35,9234.1,9242.8,,15,2017-04-03 15:15:00,2017-04-03 15:29:00
2017-04-05,2017-04-05T09:15:00,0,9263.12,9266.23,9215.4,9235.05,,15,2017-04-05 09:15:00,2017-04-05 09:29:00
2017-04-05,2017-04-05T09:30:00,1,9235.3,9243.2,9229.5,9236.75,,15,2017-04-05 09:30:00,2017-04-05 09:44:00
2017-04-05,2017-04-05T09:45:00,2,9236.85,9239.95,9230.1,9238.35,,15,2017-04-05 09:45:00,2017-04-05 09:59:00
2017-04-05,2017-04-05T10:00:00,3,9238.1,9238.55,9230.85,9233.8,,15,2017-04-05 10:00:00,2017-04-05 10:14:00
2017-04-05,2017-04-05T10:15:00,4,9233.55,9241.65,9232.05,9241.0,,15,2017-04-05 10:15:00,2017-04-05 10:29:00
2017-04-05,2017-04-05T10:30:00,5,9241.3,9241.45,9232.85,9235.45,,15,2017-04-05 10:30:00,2017-04-05 10:44:00
2017-04-05,2017-04-05T10:45:00,6,9235.55,9240.1,9234.45,9239.35,,15,2017-04-05 10:45:00,2017-04-05 10:59:00
2017-04-05,2017-04-05T11:00:00,7,9239.6,9246.85,9239.25,9246.35,,15,2017-04-05 11:00:00,2017-04-05 11:14:00
2017-04-05,2017-04-05T11:15:00,8,9246.45,9250.1,9242.65,9247.85,,15,2017-04-05 11:15:00,2017-04-05 11:29:00
2017-04-05,2017-04-05T11:30:00,9,9248.2,9252.75,9247.3,9251.75,,15,2017-04-05 11:30:00,2017-04-05 11:44:00
2017-04-05,2017-04-05T11:45:00,10,9251.6,9253.9,9247.1,9249.75,,15,2017-04-05 11:45:00,2017-04-05 11:59:00
2017-04-05,2017-04-05T12:00:00,11,9249.55,9252.75,9244.6,9246.15,,15,2017-04-05 12:00:00,2017-04-05 12:14:00
2017-04-05,2017-04-05T12:15:00,12,9246.3,9259.4,9245.9,9257.05,,15,2017-04-05 12:15:00,2017-04-05 12:29:00
2017-04-05,2017-04-05T12:30:00,13,9257.3,9258.2,9253.75,9254.2,,15,2017-04-05 12:30:00,2017-04-05 12:44:00
2017-04-05,2017-04-05T12:45:00,14,9253.6,9254.25,9246.6,9248.45,,15,2017-04-05 12:45:00,2017-04-05 12:59:00
2017-04-05,2017-04-05T13:00:00,15,9248.55,9254.75,9248.45,9251.55,,15,2017-04-05 13:00:00,2017-04-05 13:14:00
2017-04-05,2017-04-05T13:15:00,16,9251.3,9255.45,9247.95,9254.0,,15,2017-04-05 13:15:00,2017-04-05 13:29:00
2017-04-05,2017-04-05T13:30:00,17,9254.0,9257.5,9247.85,9249.85,,15,2017-04-05 13:30:00,2017-04-05 13:44:00
2017-04-05,2017-04-05T13:45:00,18,9250.05,9257.05,9248.65,9256.0,,15,2017-04-05 13:45:00,2017-04-05 13:59:00
2017-04-05,2017-04-05T14:00:00,19,9256.25,9264.0,9255.2,9257.55,,15,2017-04-05 14:00:00,2017-04-05 14:14:00
2017-04-05,2017-04-05T14:15:00,20,9257.35,9260.5,9250.1,9260.2,,15,2017-04-05 14:15:00,2017-04-05 14:29:00
2017-04-05,2017-04-05T14:30:00,21,9260.2,9266.6,9256.5,9257.35,,15,2017-04-05 14:30:00,2017-04-05 14:44:00
2017-04-05,2017-04-05T14:45:00,22,9257.55,9267.4,9256.5,9264.9,,15,2017-04-05 14:45:00,2017-04-05 14:59:00
2017-04-05,2017-04-05T15:00:00,23,9265.15,9273.9,9264.7,9270.8,,15,2017-04-05 15:00:00,2017-04-05 15:14:00
2017-04-05,2017-04-05T15:15:00,24,9270.65,9272.5,9254.45,9256.9,,15,2017-04-05 15:15:00,2017-04-05 15:29:00
2017-04-06,2017-04-06T09:15:00,0,9248.05,9248.05,9225.9,9240.35,,15,2017-04-06 09:15:00,2017-04-06 09:29:00
2017-04-06,2017-04-06T09:30:00,1,9240.15,9245.8,9233.55,9235.95,,15,2017-04-06 09:30:00,2017-04-06 09:44:00
2017-04-06,2017-04-06T09:45:00,2,9235.4,9245.05,9235.4,9240.7,,15,2017-04-06 09:45:00,2017-04-06 09:59:00
2017-04-06,2017-04-06T10:00:00,3,9241.15,9244.8,9240.0,9240.95,,15,2017-04-06 10:00:00,2017-04-06 10:14:00
2017-04-06,2017-04-06T10:15:00,4,9240.85,9242.8,9233.8,9234.75,,15,2017-04-06 10:15:00,2017-04-06 10:29:00
2017-04-06,2017-04-06T10:30:00,5,9234.6,9234.85,9220.0,9224.7,,15,2017-04-06 10:30:00,2017-04-06 10:44:00
2017-04-06,2017-04-06T10:45:00,6,9224.65,9231.25,9224.55,9229.2,,15,2017-04-06 10:45:00,2017-04-06 10:59:00
2017-04-06,2017-04-06T11:00:00,7,9229.2,9230.3,9224.9,9227.0,,15,2017-04-06 11:00:00,2017-04-06 11:14:00
2017-04-06,2017-04-06T11:15:00,8,9226.6,9231.65,9223.45,9225.2,,15,2017-04-06 11:15:00,2017-04-06 11:29:00
2017-04-06,2017-04-06T11:30:00,9,9225.35,9228.8,9220.05,9228.1,,15,2017-04-06 11:30:00,2017-04-06 11:44:00
2017-04-06,2017-04-06T11:45:00,10,9227.95,9234.8,9227.0,9233.9,,15,2017-04-06 11:45:00,2017-04-06 11:59:00
2017-04-06,2017-04-06T12:00:00,11,9234.15,9241.05,9233.75,9238.45,,15,2017-04-06 12:00:00,2017-04-06 12:14:00
2017-04-06,2017-04-06T12:15:00,12,9238.85,9241.55,9232.7,9232.8,,15,2017-04-06 12:15:00,2017-04-06 12:29:00
2017-04-06,2017-04-06T12:30:00,13,9232.95,9233.25,9224.05,9227.9,,15,2017-04-06 12:30:00,2017-04-06 12:44:00
2017-04-06,2017-04-06T12:45:00,14,9228.1,9228.2,9223.25,9224.1,,15,2017-04-06 12:45:00,2017-04-06 12:59:00
