date,timestamp,bar_index,open,high,low,close,volume,minute_count,first_timestamp,last_timestamp
2017-04-03,2017-04-03T09:15:00,0,9219.63,9221.75,9197.8,9198.15,,10,2017-04-03 09:15:00,2017-04-03 09:24:00
2017-04-03,2017-04-03T09:25:00,1,9198.4,9208.8,9193.5,9200.25,,10,2017-04-03 09:25:00,2017-04-03 09:34:00
2017-04-03,2017-04-03T09:35:00,2,9200.45,9206.05,9195.35,9197.5,,10,2017-04-03 09:35:00,2017-04-03 09:44:00
2017-04-03,2017-04-03T09:45:00,3,9197.8,9203.85,9192.4,9203.1,,10,2017-04-03 09:45:00,2017-04-03 09:54:00
2017-04-03,2017-04-03T09:55:00,4,9203.5,9205.6,9200.95,9203.6,,10,2017-04-03 09:55:00,2017-04-03 10:04:00
2017-04-03,2017-04-03T10:05:00,5,9203.8,9209.35,9203.3,9205.9,,10,2017-04-03 10:05:00,2017-04-03 10:14:00
2017-04-03,2017-04-03T10:15:00,6,9205.9,9207.2,9198.85,9200.7,,10,2017-04-03 10:15:00,2017-04-03 10:24:00
2017-04-03,2017-04-03T10:25:00,7,9201.15,9205.2,9199.05,9199.7,,10,2017-04-03 10:25:00,2017-04-03 10:34:00
2017-04-03,2017-04-03T10:35:00,8,9199.75,9207.35,9197.85,9202.1,,10,2017-04-03 10:35:00,2017-04-03 10:44:00
2017-04-03,2017-04-03T10:45:00,9,9202.35,9207.15,9199.7,9201.65,,10,2017-04-03 10:45:00,2017-04-03 10:54:00
2017-04-03,2017-04-03T10:55:00,10,9202.15,9204.95,9198.65,9201.6,,10,2017-04-03 10:55:00,2017-04-03 11:04:00
2017-04-03,2017-04-03T11:05:00,11,9201.85,9209.3,9200.1,9203.25,,10,2017-04-03 11:05:00,2017-04-03 11:14:00
2017-04-03,2017-04-03T11:15:00,12,9203.5,9207.5,9201.45,9203.15,,10,2017-04-03 11:15:00,2017-04-03 11:24:00
2017-04-03,2017-04-03T11:25:00,13,9203.85,9207.4,9199.95,9200.6,,10,2017-04-03 11:25:00,2017-04-03 11:34:00
2017-04-03,2017-04-03T11:35:00,14,9200.65,9204.3,9199.9,9200.7,,10,2017-04-03 11:35:00,2017-04-03 11:44:00
2017-04-03,2017-04-03T11:45:00,15,9201.35,9204.5,9200.25,9201.45,,10,2017-04-03 11:45:00,2017-04-03 11:54:00
2017-04-03,2017-04-03T11:55:00,16,9201.8,9213.3,9201.1,9213.3,,10,2017-04-03 11:55:00,2017-04-03 12:04:00
2017-04-03,2017-04-03T12:05:00,17,9213.2,9214.95,9210.25,9214.65,,10,2017-04-03 12:05:00,2017-04-03 12:14:00
2017-04-03,2017-04-03T12:15:00,18,9214.9,9214.95,9210.05,9213.15,,10,2017-04-03 12:15:00,2017-04-03 12:24:00
2017-04-03,2017-04-03T12:25:00,19,9213.3,9218.35,9211.45,9217.4,,10,2017-04-03 12:25:00,2017-04-03 12:34:00
2017-04-03,2017-04-03T12:35:00,20,9217.4,9220.2,9215.2,9215.9,,10,2017-04-03 12:35:00,2017-04-03 12:44:00
