date,ClientType,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts
2023-08-21,FII,81898,109371,1128069,1278786,1166087,1233222,952143,982064,63741,66202,99199,55220,3739219,3476783
2023-08-21,Pro,33468,46962,458016,172198,1545769,1621484,1552194,1641194,455750,537191,966150,367689,4651678,4746386
2023-08-21,TOTAL,412132,412132,3249810,3249810,7735640,7796896,7735640,7796896,2214363,1077856,2214363,1077856,22486697,22486697
2023-08-22,Client,249948,190856,1541403,226422,5176801,4243647,5287620,4823363,1681218,486201,967920,662975,13379219,12159155
2023-08-22,DII,46346,68905,129389,1577766,0,116872,0,0,0,0,179319,0,292607,1825990
2023-08-22,FII,79736,107814,1131633,1285380,1293172,1138827,1043440,704011,63284,66660,98999,54024,3773312,3293669
2023-08-22,Pro,37480,45935,467780,180637,1437789,1443257,1576703,1415230,463041,545305,961305,381167,4394652,4560976
2023-08-22,TOTAL,413510,413510,3270205,3270205,7907762,6942603,7907763,6942603,2207543,1098166,2207543,1098166,21839790,21839790
2023-08-23,Client,248986,187593,1542313,234390,5188712,6008791,5426281,6187329,1649909,498734,958687,670155,15137445,13664435
2023-08-23,DII,46877,68291,129966,1583303,0,116872,0,0,0,0,181697,0,293715,1833291
2023-08-23,FII,86078,104543,1131899,1267394,1301749,1358965,1087904,1019088,64869,66897,100320,55343,4010456,3634592
2023-08-23,Pro,34643,56157,472224,191315,1561257,1940825,1537532,2219035,482961,557218,957035,397351,5049128,5358426
2023-08-23,TOTAL,416584,416584,3276402,3276402,8051718,9425452,8051718,9425452,2197739,1122849,2197739,1122849,24490744,24490744
2023-08-24,Client,238256,186480,1548307,227039,3107873,2410599,3196823,2932533,1662539,498840,960225,675763,9466414,8178863
2023-08-24,DII,46639,67762,129888,1585805,0,116872,0,0,0,0,183824,0,293399,1837391
2023-08-24,FII,82416,106572,1155862,1299502,625932,847341,456868,477058,66057,70149,100842,54103,2847757,2494945
2023-08-24,Pro,36026,42523,486191,207902,1028702,1023488,1108816,988710,477837,564154,961542,403277,3616398,3712769
2023-08-24,TOTAL,403337,403337,3320248,3320248,4762507,4398300,4762507,4398300,2206433,1133143,2206433,1133143,16223968,16223968
2023-08-25,Client,247181,186574,1541585,219962,4894955,3300934,4860565,3949596,1674473,468204,960641,673739,12127332,10851077
2023-08-25,DII,46621,67762,127124,1583417,0,119455,0,0,0,0,185174,0,293200,1836353
2023-08-25,FII,82414,121469,1153733,1288990,879244,1111364,753391,706184,67315,73285,99861,53034,3367355,3022929
