date,oc_pcr_oi,oc_pcr_doi,oc_pcr_near_atm,oc_maxpain_dist_pct,oc_put_wall_dist_pct,oc_call_wall_dist_pct,oc_wall_build_pct,oc_near_put_doi_pct,oc_near_call_doi_pct,oc_straddle_pct,oc_dte_actual,oc_is_expiry,oc_oi_total,spot
2023-10-03,0.726888,0.407430,0.745396,-0.108814,0.147219,0.876912,-5.329568,12.715216,67.080899,0.682327,2,0.000000,194982900.000000,19528.750000
2023-10-04,0.845178,1.428846,0.875946,-0.071516,0.185737,0.843276,3.715315,39.612518,54.152888,0.492897,1,0.000000,250562300.000000,19436.100000
2023-10-05,0.850432,0.877276,0.781255,-0.021744,0.234066,0.021744,-23.782489,61.183443,60.688764,0.032488,0,1.000000,300463300.000000,19545.750000
2023-10-06,0.980540,1.079155,0.903596,0.272216,0.781031,1.763045,-0.875566,29.807251,15.167125,0.884575,6,0.000000,158130250.000000,19653.500000
2023-10-09,0.860890,-1.930201,0.814931,-0.192955,0.063293,1.474195,-33.083895,-65.041080,154.870279,0.923005,3,0.000000,154946450.000000,19512.350000
2023-10-10,1.281909,778.577605,1.063184,0.202389,0.456326,1.575177,21.185928,77.351286,-13.753539,0.766385,2,0.000000,190105400.000000,19689.850000
2023-10-11,1.171676,0.870261,0.843284,0.057290,1.066813,0.952232,-8.034035,53.174181,44.713091,0.535552,1,0.000000,247088600.000000,19811.350000
2023-10-12,0.954406,0.435872,0.971391,-0.030312,0.222290,0.030312,-23.740822,47.174574,50.338917,0.032333,0,1.000000,315542000.000000,19794.000000
2023-10-13,0.998435,0.874544,0.897299,0.005316,0.258467,0.247835,1.851758,18.208727,32.715079,0.964253,6,0.000000,150446800.000000,19751.050000
2023-10-16,0.865820,0.359885,0.822573,-0.092491,0.160908,0.345889,-2.675484,22.826298,48.096287,0.848379,3,0.000000,177281200.000000,19731.750000
2023-10-17,0.933196,7.603678,0.739236,0.058047,0.562804,0.951468,-17.017785,144.128885,29.572663,0.667289,2,0.000000,185538150.000000,19811.500000
2023-10-18,0.619082,0.034841,0.674602,-0.146916,0.361444,0.655276,-13.066464,6.612027,83.042671,0.541403,1,0.000000,238936300.000000,19671.100000
2023-10-19,0.864333,5.350301,0.871421,-0.128919,0.125862,0.128919,-17.603941,56.676793,40.475714,0.166882,0,1.000000,290170850.000000,19624.700000
2023-10-20,0.768085,0.408111,0.810549,-0.293461,2.776747,2.340266,-2.819260,10.981226,42.742559,0.977094,6,0.000000,200526700.000000,19542.650000
2023-10-23,0.547372,-0.047818,0.872047,-0.613274,1.461226,1.650524,-6.374614,-10.281936,75.824596,0.907853,3,0.000000,240573050.000000,19281.750000
2023-10-25,0.541922,0.520495,0.803773,-0.407119,0.638788,1.975981,1.969788,26.261620,82.028722,0.658660,1,0.000000,300691200.000000,19122.150000
2023-10-26,0.625881,0.281688,1.197418,-0.226703,0.038447,0.226703,10.312366,-16.455123,42.556449,0.054886,0,1.000000,239722650.000000,18857.250000
2023-10-27,0.795497,2.280294,0.890173,-0.014438,0.248067,0.801953,-1.298466,37.480926,13.058642,1.141372,6,0.000000,159032650.000000,19047.250000
2023-10-30,0.999390,4.190867,0.942494,0.213679,0.736120,1.876087,12.310159,54.561626,11.183796,0.906697,3,0.000000,188405950.000000,19140.900000
2023-10-31,0.751787,-0.201982,0.838857,-0.106920,0.417200,0.631040,-21.258358,-0.491086,59.445759,0.779891,2,0.000000,207927950.000000,19079.600000
2023-11-01,0.679505,0.437991,0.740440,-0.320446,0.996095,0.583754,-9.231707,16.291030,56.247296,0.617195,1,0.000000,259010050.000000,18989.150000
2023-11-02,0.816558,1.808696,0.741976,0.173781,0.173781,0.087544,3.125676,79.240345,35.958356,0.094861,0,1.000000,318845100.000000,19133.250000
