date,ClientType,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts
2023-08-21,Pro,120869,126497,266045,288012,74980164,67796105,74985344,68007538,1593698,707819,1562118,739144,145464700,145708653
2023-08-21,TOTAL,291563,291563,653567,653567,130085867,116590626,130085867,116590626,2717274,1105305,2717274,1105305,251444202,251444202
2023-08-22,Client,85966,91201,276242,275681,58909467,57177071,58656582,57347909,1061892,342932,1070862,339222,117853570,117781457
2023-08-22,DII,801,0,53759,52615,0,1000,0,0,0,0,2909,0,55560,55524
2023-08-22,FII,20893,21498,155604,158634,7016617,6849902,7056338,6720833,173137,78103,173394,76449,14294256,14207146
2023-08-22,Pro,69410,64371,305233,303908,103355765,101654960,103568929,101614191,1669658,789610,1657522,794974,207844636,208003895
2023-08-22,TOTAL,177070,177070,790838,790838,169281849,165682933,169281849,165682933,2904687,1210645,2904687,1210645,340048022,340048022
2023-08-23,Client,157196,154895,335636,342694,61365571,49242437,61492322,48841260,1300517,436198,1322593,430845,112837555,112584609
2023-08-23,DII,1145,0,64083,69043,0,570,0,570,63,0,2441,0,65861,72054
2023-08-23,FII,41127,31514,173646,155394,9396434,8471422,9432321,8566361,226828,101463,226564,102545,18410920,18514699
2023-08-23,Pro,130142,143201,350580,356814,95261511,81215431,95098873,81521669,2023467,974292,1999277,978563,179955423,180098397
2023-08-23,TOTAL,329610,329610,923945,923945,166023516,138929860,166023516,138929860,3550875,1511953,3550875,1511953,311269759,311269759
2023-08-24,Client,190407,200024,426197,412852,123800192,114681638,123598595,115375029,1327259,456944,1316167,462446,240882637,241365113
2023-08-24,DII,911,620,117822,120402,0,0,0,0,445,0,2572,0,119178,123594
2023-08-24,FII,39610,45301,216915,225060,23715486,24029821,23638306,23848070,246645,116522,245979,112030,48364999,48114746
2023-08-24,Pro,204854,189837,443161,445781,240849791,223982664,241128568,223471024,2109205,1050776,2118836,1049766,468640451,468403812
2023-08-24,TOTAL,435782,435782,1204095,1204095,388365469,362694123,388365469,362694123,3683554,1624242,3683554,1624242,758007265,758007265
2023-08-25,Client,180297,171466,401527,401172,38812519,40298039,38689180,40424767,1306307,515460,1294789,544072,81514149,81525446
2023-08-25,DII,32,50,104370,104746,0,16133,0,13550,2981,0,4331,0,123516,122677
2023-08-25,FII,38571,53470,280516,272133,7266386,7514531,7309597,7479634,263108,134555,260869,130350,15497667,15506053
2023-08-25,Pro,157994,151908,428694,437056,59625329,56845463,59705457,56756215,2253048,1174041,2265455,1149634,120484569,120465725
2023-08-25,TOTAL,376894,376894,1215107,1215107,105704234,104674166,105704234,104674166,3825444,1824056,3825444,1824056,217619901,217619901
2023-08-28,Client,128842,125666,523923,509693,49783628,44445281,49930791,44053249,1182827,461497,1218040,426987,96525998,96264426
2023-08-28,DII,23751,22992,181424,190956,0,8600,0,1163,3904,0,2534,0,217679,217645
2023-08-28,FII,62368,54271,900230,893667,6583261,6117320,6534440,6196658,225883,105473,222636,105965,13994535,14007637
2023-08-28,Pro,117704,129736,468250,479511,78416576,72930924,78318234,73251055,1996878,890958,1966282,924976,154821290,155069794
2023-08-28,TOTAL,332665,332665,2073827,2073827,134783465,123502125,134783465,123502125,3409492,1457928,3409492,1457928,265559502,265559502
2023-08-29,Client,110558,117834,529385,536549,61192412,62862031,61131110,62825409,1329267,487115,1383503,468712,126510768,126463117
2023-08-29,DII,16715,16995,294009,300025,0,11342,0,2533,2133,0,4803,0,324199,324356
2023-08-29,FII,67127,59235,925174,893127,9043333,8280603,9037635,8285942,207635,95860,211924,98552,18619732,18586415
2023-08-29,Pro,124013,124349,504626,523493,106381298,112203826,106448298,112243918,2246734,921611,2185539,937322,222382108,222462919
2023-08-29,TOTAL,318413,318413,2253194,2253194,176617043,183357802,176617043,183357802,3785769,1504586,3785769,1504586,367836807,367836807
2023-08-30,Client,180798,189924,565809,579782,51301232,54059624,50929986,54020926,1094174,427910,1195732,430587,107629547,107346937
2023-08-30,DII,35161,35145,346919,349284,0,6316,0,41425,11622,0,761,0,400018,426615
2023-08-30,FII,72640,73901,605557,582938,8362639,9255515,8447259,9369379,131490,58070,130386,55799,18485911,18659662
2023-08-30,Pro,134587,124216,537741,544022,80155473,77755356,80442099,77645081,1835693,803904,1746100,803498,161222754,161305016
2023-08-30,TOTAL,423186,423186,2056026,2056026,139819344,141076811,139819344,141076811,3072979,1289884,3072979,1289884,287738230,287738230
2023-08-31,Client,303695,297320,794837,763093,109639511,114060081,110032796,114173325,843440,390374,904080,411865,226031938,226582479
2023-08-31,DII,37516,36349,500814,524866,0,5304,0,2168,8555,0,816,0,552189,564199
2023-08-31,FII,68287,97649,501771,558084,23524037,25568487,23514008,25621720,28085,21948,32253,19365,49712615,49843079
2023-08-31,Pro,282434,260614,861154,812533,226572375,205168051,226189119,205004710,1449680,783789,1392611,764881,435117483,434424468
2023-08-31,TOTAL,691932,691932,2658576,2658576,359735923,344801923,359735923,344801923,2329760,1196111,2329760,1196111,711414225,711414225
2023-09-01,Client,173516,161788,334514,322759,43773929,40681199,43970632,40485457,895593,321872,887180,301416,86180623,86129232
2023-09-01,DII,7,167,35281,43141,0,11249,0,1843,0,0,37257,0,46537,82408
2023-09-01,FII,35161,33646,190013,169414,8586163,8176044,8599901,8221425,167741,78703,169830,77987,17233825,17272203
2023-09-01,Pro,157167,170250,383806,408300,65192481,60115959,64982040,60275726,1549783,725723,1518850,746895,128124919,128102061
2023-09-01,TOTAL,365851,365851,943614,943614,117552573,108984451,117552573,108984451,2613117,1126298,2613117,1126298,231585904,231585904
2023-09-04,Client,114880,113412,316383,301285,56296104,53165044,56100111,52868585,923763,287832,877979,282831,111104006,110544203
2023-09-04,DII,38,36,23425,46043,0,5351,0,357,0,0,19823,0,28814,66259
2023-09-04,FII,27604,25210,179617,168514,7324458,7690737,7275084,7703345,154479,71743,159479,74057,15448638,15405689
2023-09-04,Pro,84629,88493,358970,362553,94486117,89781398,94731484,90070243,1448663,684798,1469624,687485,186844575,187409882
2023-09-04,TOTAL,227151,227151,878395,878395,158106679,150642530,158106679,150642530,2526905,1044373,2526905,1044373,313426033,313426033
2023-09-05,Client,97913,105121,284881,268135,66245219,67786910,66352049,67886177,916355,245970,871884,254453,135577248,135737819
2023-09-05,DII,25,200,25948,25074,0,10200,0,0,0,0,20571,0,36173,45845
2023-09-05,FII,22703,20925,132964,154719,9877534,10085869,9819931,10009082,147114,68849,151042,67898,20335033,20223597
2023-09-05,Pro,95024,89419,323898,319763,122418594,118037347,122369367,118025067,1384007,633408,1403979,625876,242892278,242833471
2023-09-05,TOTAL,215665,215665,767691,767691,198541347,195920326,198541347,195920326,2447476,948227,2447476,948227,398840732,398840732
2023-09-06,Client,143193,148997,292047,272799,100276344,97840215,100163463,97918681,883740,251431,834960,266016,199686970,199604916
2023-09-06,DII,175,93,34902,35609,0,5200,0,0,0,0,27754,0,40277,63456
2023-09-06,FII,50879,53803,149592,179853,17722544,17914229,17901710,17941617,143890,64548,144332,65180,36045682,36286495
2023-09-06,Pro,133599,124953,344220,332500,183801837,173771079,183735552,173670425,1351969,647772,1372553,632555,360050476,359868538
2023-09-06,TOTAL,327846,327846,820761,820761,301800725,289530723,301800725,289530723,2379599,963751,2379599,963751,595823405,595823405
2023-09-07,Client,184781,180611,283652,304917,85183163,75236902,85239860,74787028,967667,275886,969321,262671,162132051,161744408
2023-09-07,DII,639,46,23030,25027,0,16663,0,0,75,0,12818,0,40407,37891
2023-09-07,FII,54592,37110,180533,148590,12663275,12643851,12648643,12835456,154064,68069,155991,68399,25764384,25894189
2023-09-07,Pro,102860,125105,322799,331480,139404883,132070979,139362818,132345911,1476496,640039,1460172,652924,274018056,274278410
2023-09-07,TOTAL,342872,342872,810014,810014,237251321,219968395,237251321,219968395,2598302,983994,2598302,983994,461954898,461954898
2023-09-08,Client,156536,163124,367799,363534,52253432,40456546,52195377,40300110,1258873,337166,1257676,328358,94830352,94608179
2023-09-08,DII,8,140,29774,26482,0,8283,0,0,0,0,8396,0,38065,35018
2023-09-08,FII,33905,29311,160283,164493,9060691,8175093,9117644,8274102,202175,88404,201038,88430,17720551,17875018
2023-09-08,Pro,109634,107508,387410,390757,80138304,64874287,80139406,64939997,1949078,835360,1943016,844142,148294073,148364826
2023-09-08,TOTAL,300083,300083,945266,945266,141452427,113514209,141452427,113514209,3410126,1260930,3410126,1260930,260883041,260883041
2023-09-11,Client,120791,137574,313329,320147,60586824,45932070,60465404,45536044,1135096,314094,1129051,292355,108402204,107880575
2023-09-11,DII,2000,736,35326,29541,0,12715,0,0,0,0,1746,0,50041,32023
2023-09-11,FII,34481,25948,149085,142096,6462314,6196258,6525529,6282108,118438,65992,121001,66889,13026568,13163571
2023-09-11,Pro,91983,84997,349326,355282,99244455,87057356,99302660,87380247,1678436,745620,1680172,766462,189167176,189569820
2023-09-11,TOTAL,249255,249255,847066,847066,166293593,139198399,166293593,139198399,2931970,1125706,2931970,1125706,310645989,310645989
2023-09-12,Client,149930,166410,416695,440696,89730976,86903234,89668122,87209630,1354655,420834,1246496,471831,178976324,179203185
2023-09-12,DII,809,373,41601,24278,0,8470,0,350,0,0,9230,0,50880,34231
2023-09-12,FII,48557,37480,242852,252760,10933540,12819245,10789591,12625911,248352,132801,257328,134812,24425347,24097882
2023-09-12,Pro,161060,156093,550224,533638,177969472,176885779,178176275,176780837,2162752,1218378,2252705,1165370,358947665,359064918
2023-09-12,TOTAL,360356,360356,1251372,1251372,278633988,276616728,278633988,276616728,3765759,1772013,3765759,1772013,562400216,562400216
2023-09-13,Client,181294,177241,322722,350227,129081207,110399532,129207925,109985373,1119681,366611,1135350,344703,241471047,241200819
2023-09-13,DII,659,188,22119,32457,0,5635,0,0,201,0,4676,0,28614,37321
2023-09-13,FII,63447,49023,245811,189666,14752975,16005281,14956223,16256390,206561,96756,200994,97760,31370831,31750056
2023-09-13,Pro,108671,127619,399167,417469,245971172,239740517,245641206,239909202,1763793,849277,1749216,870181,488832597,488714893
2023-09-13,TOTAL,354071,354071,989819,989819,389805354,366150965,389805354,366150965,3090236,1312644,3090236,1312644,761703089,761703089
2023-09-14,Client,146073,153160,318581,306439,76080498,68730309,76169339,68627076,1114612,314471,1093142,303217,146704544,146652373
2023-09-14,DII,25,0,23232,27819,0,264,0,0,182,0,7209,0,23703,35028
2023-09-14,FII,39373,41103,187864,196892,9175241,8193493,9243494,8256894,178469,86608,181464,84130,17861048,18003977
2023-09-14,Pro,97710,88918,386815,385342,148678848,130256106,148521754,130296202,1690850,765221,1702298,778953,281875550,281773467
2023-09-14,TOTAL,283181,283181,916492,916492,233934587,207180172,233934587,207180172,2984113,1166300,2984113,1166300,446464845,446464845
2023-09-15,Client,117309,119276,305248,325596,40585746,35179268,40598366,35078264,1266534,358003,1250644,340019,77812108,77712165
2023-09-15,DII,10,373,41302,64953,0,12200,0,16200,50,0,10561,0,53562,92087
2023-09-15,FII,31757,28564,245878,175709,4568225,4810159,4574119,4880199,180704,87708,181968,86858,9924431,9927417
2023-09-15,Pro,74591,75454,383348,409518,66615182,63872772,66596668,63899736,1852623,795520,1856738,814354,133594036,133652468
2023-09-15,TOTAL,223667,223667,975776,975776,111769153,103874399,111769153,103874399,3299911,1241231,3299911,1241231,221384137,221384137
2023-09-18,Client,105219,110213,279341,277772,65029977,64934671,64645497,64991161,1200434,359114,1148553,369599,131908756,131542795
2023-09-18,DII,0,800,26219,31403,0,0,0,2500,15,0,1750,0,26234,36453
2023-09-18,FII,19713,22748,145731,153684,8731480,9212332,8890685,9254459,199999,97987,200463,95909,18407242,18617948
