date,open,high,low,close,bars,first15_open,first15_close,first15_high,first15_low,first30_close,first30_high,first30_low,first60_close,first60_high,first60_low,prev_close,gap_pct,oc_ret_pct,cc_ret_pct,first15_ret_pct,first30_ret_pct,first60_ret_pct,first15_range_pct,day_range_pct,oc_ret_sign,cc_ret_sign,first15_ret_sign,first30_ret_sign,first60_ret_sign
2017-04-03,9219.63,9245.35,9192.4,9242.8,25,9219.63,9200.35,9221.75,9193.5,9197.5,9221.75,9193.5,9205.9,9221.75,9192.4,,,0.25131160361099175,,-0.2091190210453005,-0.24003132446745912,-0.14892137753900714,0.3064114286582,0.5743180583168819,UP,FLAT,DOWN,DOWN,DOWN
2017-04-05,9263.12,9273.9,9215.4,9256.9,25,9263.12,9235.05,9266.23,9215.4,9236.75,9266.23,9215.4,9233.8,9266.23,9215.4,9242.8,0.2198467996711119,-0.06714800196911153,0.1525511749686282,-0.30302964875767047,-0.28467730095260346,-0.3165240221437434,0.5487351993712694,0.6315366744682136,FLAT,UP,DOWN,DOWN,DOWN
2017-04-06,9248.05,9267.95,9218.85,9256.35,25,9248.05,9240.35,9248.05,9225.9,9235.95,9248.05,9225.9,9240.95,9248.05,9225.9,9256.9,-0.09560435999092963,0.0897486497153572,-0.005941513897733285,-0.08326079551904357,-0.13083839295849986,-0.07677294132274962,0.23950995074636963,0.5309227350630713,FLAT,FLAT,FLAT,DOWN,FLAT
2017-04-07,9221.93,9250.45,9188.1,9197.35,25,9221.93,9233.15,9238.6,9212.6,9235.65,9238.6,9212.6,9239.2,9240.65,9212.6,9256.35,-0.3718528361611226,-0.2665385662220373,-0.6374002711652,0.12166650581818932,0.14877579855842915,0.18727099424958155,0.2819366444984943,0.6761057609415856,DOWN,DOWN,UP,UP,UP
2017-04-10,9225.14,9225.62,9174.85,9176.95,25,9225.14,9211.4,9225.62,9204.55,9198.6,9225.62,9191.05,9208.75,9225.62,9191.05,9197.35,0.3021522503764568,-0.5223768961771712,-0.2218030193479604,-0.1489408290822663,-0.28769211090562374,-0.17766668039725597,0.22839761781394677,0.5503439514197123,DOWN,DOWN,DOWN,DOWN,DOWN
2017-04-11,9183.47,9242.65,9172.85,9235.6,25,9183.47,9185.75,9194.7,9172.85,9197.6,9199.3,9172.85,9209.55,9211.15,9172.85,9176.95,0.07104757027115347,0.5676503543867516,0.6391012264423325,0.024827216727453295,0.1538634089293156,0.2839885141455238,0.23792749363802967,0.7600612840244404,UP,UP,FLAT,UP,UP
2017-04-12,9243.08,9246.4,9161.8,9200.95,25,9243.08,9241.75,9245.85,9230.95,9211.35,9246.4,9202.6,9182.65,9246.4,9161.8,9235.6,0.08099094807050504,-0.45580044746988235,-0.37517865650309273,-0.014389143012934294,-0.34328384045144655,-0.653786400204264,0.161201677362953,0.9152793224769272,DOWN,DOWN,FLAT,DOWN,DOWN
2017-04-13,9207.0,9207.43,9144.95,9146.95,25,9207.0,9180.05,9207.43,9176.8,9180.15,9207.43,9169.8,9189.95,9207.43,9169.8,9200.95,0.06575407974175788,-0.6522211360920959,-0.5868959183562567,-0.2927120669056232,-0.2916259367872311,-0.18518518518517726,0.3326816552623115,0.678614097968932,DOWN,DOWN,DOWN,DOWN,DOWN
2017-04-17,9140.89,9160.0,9120.25,9139.55,25,9140.89,9140.45,9160.0,9138.7,9131.7,9160.0,9120.25,9141.1,9160.0,9120.25,9146.95,-0.06625159206075587,-0.014659404062406895,-0.0809012840345848,-0.004813535662268011,-0.10053725621901904,0.002297369293372373,0.23301888546956886,0.4348591876720976,FLAT,FLAT,FLAT,DOWN,FLAT
2017-04-18,9163.85,9217.9,9095.45,9100.85,25,9163.85,9187.0,9192.2,9159.7,9209.05,9215.35,9159.7,9213.5,9217.9,9159.7,9139.55,0.26587742284905813,-0.6874839723478668,-0.42343441416698757,0.2526230787278233,0.4932424690495688,0.5418028448741482,0.35465443017945514,1.3362287684761198,DOWN,DOWN,UP,UP,UP
2017-04-19,9115.03,9120.5,9075.15,9113.35,25,9115.03,9090.95,9120.5,9087.05,9104.0,9120.5,9087.05,9104.75,9120.5,9079.5,9100.85,0.1558096221781514,-0.01843109677094086,0.13734980798496843,-0.26417905371677247,-0.12100892701396104,-0.11278075881264958,0.3669763017784991,0.49752990390597024,FLAT,UP,DOWN,DOWN,DOWN
2017-04-20,9109.71,9143.9,9101.55,9136.6,25,9109.71,9121.15,9126.5,9101.55,9115.1,9126.5,9101.55,9112.7,9126.5,9101.55,9113.35,-0.039941404642653215,0.29517953919500445,0.25512023569817904,0.12558028740761792,0.05916763541321554,0.032822120572461706,0.27388358136538626,0.4648885639608765,UP,UP,UP,FLAT,FLAT
2017-04-21,9182.31,9183.65,9088.7,9119.25,25,9182.31,9163.05,9183.65,9157.1,9155.5,9183.65,9148.8,9154.7,9183.65,9148.8,9136.6,0.5002955147428926,-0.6867552936025847,-0.1898955847908452,-0.209751141052744,-0.2919744595858721,-0.3006868641986468,0.2891429280867154,1.0340535224796257,DOWN,DOWN,DOWN,DOWN,DOWN
2017-04-24,9135.88,9225.4,9130.55,9215.15,25,9135.88,9150.85,9155.65,9130.55,9149.85,9159.9,9130.55,9162.6,9167.15,9130.55,9119.25,0.18236148806096117,0.8676777715994568,1.0516215697562807,0.1638594202200682,0.15291356716595628,0.29247319360588325,0.2747409116582132,1.0382141621825196,UP,UP,UP,UP,UP
2017-04-25,9274.88,9309.2,9250.35,9303.45,25,9274.88,9256.85,9279.8,9256.5,9260.7,9279.8,9250.35,9259.35,9279.8,9250.35,9215.15,0.6481717606333003,0.3080363303891967,0.9582046955285708,-0.19439604609438438,-0.1528860750758875,-0.16744151945899932,0.2512161882417807,0.6345095569969679,UP,UP,DOWN,DOWN,DOWN
2017-04-26,9336.63,9367.0,9301.35,9344.15,25,9336.63,9336.4,9343.15,9301.35,9339.7,9343.15,9301.35,9345.95,9347.65,9301.35,9303.45,0.3566418909114196,0.08054297964041027,0.4374721205574158,-0.0024634156006992187,0.03288124301810748,0.09982188434158286,0.4476990091713956,0.7031444964617817,FLAT,UP,FLAT,FLAT,FLAT
2017-04-27,9359.56,9367.15,9322.45,9328.75,25,9359.56,9352.35,9363.4,9335.55,9346.05,9363.4,9335.55,9336.75,9363.4,9329.25,9344.15,0.1649160169731849,-0.3291821410408127,-0.16480899814321942,-0.07703353576449243,-0.14434439225775805,-0.24370803755731563,0.2975567227519281,0.4775865532140283,DOWN,DOWN,FLAT,DOWN,DOWN
2017-04-28,9340.16,9342.65,9282.25,9303.7,25,9340.16,9307.6,9342.65,9300.05,9309.4,9342.65,9300.05,9298.25,9342.65,9297.9,9328.75,0.12231006297735339,-0.3903573386323053,-0.2685247219616698,-0.34860216527339455,-0.3293305468000572,-0.4487075167877194,0.4560949705358405,0.6466698643278022,DOWN,DOWN,DOWN,DOWN,DOWN
