rule,direction,entry_col,calls,post_entry_hit_rate,post_entry_avg_signed_ret_pct,post_entry_median_signed_ret_pct,oc_direction_n,oc_direction_hit_rate,cc_direction_n,cc_direction_hit_rate,avg_oc_signed_ret_pct,train_2017_2024_calls,val_2025_calls,confirm_2026_calls,train_2017_2024_post_hit_rate,val_2025_post_hit_rate,confirm_2026_post_hit_rate,train_2017_2024_oc_hit_rate,val_2025_oc_hit_rate,confirm_2026_oc_hit_rate
gap_up_0.1_and_first15_up_0.15,UP,first15_close,262,52.29007633587786,0.03334705500556805,0.09697392710197175,233,75.9656652360515,242,88.84297520661157,0.32195384161130586,230,14,18,50.8695652173913,57.14285714285714,66.66666666666666,74.27184466019418,91.66666666666666,86.66666666666667
gap_pct_fade_lt_-0.5,UP,open,193,52.84974093264248,0.0715188897020194,0.10316176976488535,176,55.11363636363637,184,11.956521739130435,0.0715188897020194,153,12,28,49.673202614379086,66.66666666666666,64.28571428571429,52.89855072463768,63.63636363636363,62.96296296296296
gap_up_0.2_and_first15_up_0.15,UP,first15_close,205,52.19512195121951,0.029605843854564544,0.07604780562455536,183,74.86338797814209,189,90.47619047619048,0.31887115584494113,183,11,11,51.91256830601093,45.45454545454545,63.63636363636363,73.49397590361446,88.88888888888889,87.5
gap_up_0.2_and_first15_up_0.05,UP,first15_close,342,52.046783625730995,-0.013787435076482654,0.06950399881329353,309,69.25566343042071,314,87.26114649681529,0.19764925120914165,302,22,18,51.324503311258276,54.54545454545454,61.111111111111114,68.0,80.0,78.57142857142857
gap_up_0.1_and_first15_up_0.1,UP,first15_close,334,53.59281437125748,0.024162476025354155,0.09237743429134412,301,74.08637873754152,307,87.94788273615634,0.2770469427385203,288,23,23,52.43055555555556,60.86956521739131,60.86956521739131,72.51908396946564,85.71428571428571,83.33333333333334
gap_up_0.1_and_first15_up_0.05,UP,first15_close,439,51.70842824601367,-0.0070552547808910284,0.06977082222976624,394,69.28934010152284,401,85.286783042394,0.2030722249016342,381,30,28,50.65616797900262,56.666666666666664,60.71428571428571,68.02325581395348,77.77777777777779,78.26086956521739
first60_ret_pct_fade_gt_0.4,DOWN,first60_close,229,44.54148471615721,-0.03310399156815218,-0.05024247491693325,216,14.351851851851851,214,23.364485981308412,-0.6449543105825739,180,28,21,42.77777777777778,46.42857142857143,57.14285714285714,14.619883040935672,15.384615384615385,10.526315789473683
gap_up_0.2_and_first15_up_0.1,UP,first15_close,262,53.05343511450382,0.013045283785071415,0.07822239449046803,237,72.9957805907173,241,89.21161825726142,0.265969295049737,230,18,14,52.60869565217391,55.55555555555556,57.14285714285714,71.56398104265402,87.5,80.0
gap_pct_trend_gt_0.35,UP,open,628,46.97452229299363,-0.0853394270268603,-0.00703665916917906,556,48.74100719424461,568,79.22535211267606,-0.0853394270268603,562,34,32,46.263345195729535,50.0,56.25,47.8,51.61290322580645,64.0
first60_ret_pct_fade_gt_0.2,DOWN,first60_close,543,41.43646408839779,-0.03617832967868004,-0.07675469767177417,501,18.7624750499002,502,24.302788844621514,-0.4612951479109096,435,61,47,39.54022988505747,44.26229508196721,55.319148936170215,17.66169154228856,22.807017543859647,23.809523809523807
