feature,ic_cc_dev,ic_oc_dev,ic_cc_val,ic_oc_val,ic_cc_confirm,ic_oc_confirm,signacc_p50_dev,signacc_n_dev,signacc_p50_val,signacc_n_val,signacc_p50_confirm,signacc_n_confirm,abs_ic_dev
DII_ifut_rflow_sum2,0.09,0.0792,-0.0801,0.0238,-0.0622,-0.0531,61.65,133,45.14,144,50.0,104,0.09
is_expiry_day,0.0898,0.1028,-0.1805,-0.1379,0.0093,-0.1075,14.72,265,6.63,196,10.29,136,0.0898
DII_icall_qflow_sum5,-0.0883,-0.0797,0.0642,0.0388,-0.0562,-0.0854,7.25,262,34.18,196,46.32,136,0.0883
FII_sput_lvl,0.088,0.0964,0.0158,-0.0935,0.0843,0.0266,57.89,133,53.16,158,46.88,128,0.088
Client_sfut_lvl,0.0875,0.0635,-0.0173,-0.0494,-0.0231,-0.0507,60.99,141,,0,,6,0.0875
Pro_scall_rflow_sum3,0.0875,0.0834,0.0599,-0.0066,0.0675,-0.0384,53.68,136,53.93,89,59.65,57,0.0875
Pro_iput_dvol,-0.0869,0.0537,-0.0299,0.0102,-0.0839,0.0579,40.0,130,47.06,136,44.05,84,0.0869
FII_sput_volshare,-0.0859,-0.0817,-0.0412,0.0182,-0.042,-0.0129,60.8,125,50.49,103,,0,0.0859
DII_scall_lvl,0.0856,0.069,0.0843,0.0872,-0.0193,0.0184,43.75,128,53.66,82,54.13,109,0.0856
DII_iput_dvol,0.0848,0.0155,0.0239,0.1031,0.0344,0.0668,57.69,130,50.54,93,46.43,84,0.0848
DII_sfut_dvol,0.0847,0.0556,0.0187,0.0733,-0.03,0.0803,52.76,127,51.56,128,47.83,92,0.0847
Pro_ifut_qflow_sum2,0.0845,0.0279,0.0274,0.0108,0.0348,-0.0115,53.73,134,51.65,91,48.53,68,0.0845
Client_sput_qflow_sum2,-0.0839,-0.0087,-0.1286,-0.0746,-0.0955,-0.021,40.91,132,46.51,86,40.48,42,0.0839
DII_ifut_qflow_sum3,0.0837,0.0634,-0.0386,0.0521,-0.0264,-0.0462,58.21,134,49.64,139,52.69,93,0.0837
FII_ifut_lvl,-0.0821,-0.0496,-0.0887,-0.0691,-0.1893,-0.1112,44.36,133,48.55,173,52.21,136,0.0821
Client_index_rflow_sum5,-0.0819,-0.0202,-0.068,-0.0002,-0.0589,0.0764,37.5,128,44.87,78,43.08,65,0.0819
Client_sput_rflow_sum2,-0.0814,-0.0002,-0.1528,-0.0896,-0.0408,0.0226,45.04,131,44.16,77,45.24,42,0.0814
FII_sfut_lvl,-0.0799,-0.0814,0.0281,0.0295,-0.046,0.0056,54.76,126,50.0,196,45.87,109,0.0799
DII_sput_qflow,0.0798,0.06,0.0374,0.0498,0.0724,0.0556,8.68,265,14.29,196,49.26,136,0.0798
DII_sput_rflow,0.0798,0.06,0.0382,0.0505,0.0814,0.0608,8.68,265,14.29,196,49.26,136,0.0798
DII_sput_dl,-0.0798,-0.06,-0.0365,-0.0474,-0.1495,-0.0434,6.42,265,11.22,196,30.88,136,0.0798
Client_ifut_volshare,-0.0796,-0.1043,0.0208,0.0236,-0.0133,0.11,56.1,123,48.68,76,44.44,63,0.0796
Client_icall_qflow_sum5,-0.0792,-0.0211,-0.0629,-0.0225,-0.0807,0.0395,39.85,133,46.53,101,44.26,61,0.0792
DII_index_rflow_sum3,0.0787,0.0761,-0.023,0.0682,-0.048,-0.0576,58.33,132,48.91,137,53.54,99,0.0787
Client_sfut_rflow_sum3,0.0783,0.0827,-0.1028,-0.0511,-0.2044,-0.0624,55.56,135,45.45,55,25.0,32,0.0783
DII_index_qflow_sum3,0.0781,0.0696,-0.0146,0.077,-0.0266,-0.0386,54.48,134,47.83,138,52.75,91,0.0781
FII_scall_qflow_sum5,0.0781,0.0824,-0.0322,-0.0384,0.0931,0.0735,52.76,127,46.53,101,57.43,101,0.0781
Pro_ifut_qflow,0.0779,0.0574,0.0474,0.0652,-0.0493,-0.0288,53.91,128,50.0,102,40.58,69,0.0779
FII_ifut_volshare,0.0779,0.0481,-0.0719,-0.018,0.0449,-0.0807,61.72,128,48.31,118,46.23,106,0.0779
Client_iput_qflow_sum5,-0.0775,0.0045,-0.0861,-0.0345,-0.1164,0.0898,42.31,130,46.74,92,41.07,56,0.0775
FII_sfut_rflow_sum5,-0.0773,-0.038,0.0366,-0.0176,0.0612,0.0546,46.21,132,50.0,56,47.62,21,0.0773
FII_scall_rflow_sum2,0.0766,0.0549,-0.0171,-0.0198,0.0271,-0.0118,54.84,124,50.5,101,56.76,74,0.0766
DII_ifut_qflow_sum2,0.0755,0.0604,-0.0695,0.0263,-0.0643,-0.0539,59.54,131,46.76,139,49.49,99,0.0755
Client_iput_dvol,0.0747,-0.0442,0.1094,0.0477,0.0797,-0.1261,58.02,131,55.15,136,53.09,81,0.0747
DII_scall_qflow_sum2,0.0745,0.0684,0.0066,-0.0155,0.0001,-0.0657,51.13,133,53.33,105,54.55,88,0.0745
DII_scall_rflow_sum2,0.0741,0.067,0.007,-0.0154,-0.0003,-0.0677,51.88,133,53.33,105,53.93,89,0.0741
Pro_sfut_dl,-0.0736,-0.0373,0.0268,0.088,-0.1468,-0.0409,44.62,130,53.85,65,35.59,59,0.0736
Pro_sfut_rflow_sum5,0.0734,0.0068,-0.0044,0.0457,0.0335,0.0488,54.62,130,45.07,71,51.35,37,0.0734
Pro_ifut_rflow_sum3,0.0724,0.0087,0.0838,0.0407,-0.0099,0.0428,53.49,129,55.1,98,46.05,76,0.0724
FII_sfut_rflow,-0.0706,-0.1016,0.0517,0.0033,0.0835,-0.0569,44.85,136,51.61,62,68.18,22,0.0706
Client_icall_dvol,-0.0705,0.0001,-0.0258,-0.0105,-0.1118,-0.0024,44.53,128,47.73,132,48.72,78,0.0705
Client_sput_rflow,-0.0701,0.061,-0.1075,-0.0545,-0.0303,0.1536,45.31,128,48.35,91,48.94,47,0.0701
dow,0.0688,0.0694,-0.0351,0.0527,-0.0297,0.1294,60.48,167,47.5,120,45.12,82,0.0688
px_dow,0.0688,0.0694,-0.0351,0.0527,-0.0297,0.1294,60.48,167,47.5,120,45.12,82,0.0688
Pro_ifut_rflow,0.0677,0.0479,0.0504,0.0742,-0.0493,-0.0433,53.03,132,50.53,95,46.88,64,0.0677
FII_sfut_volshare,-0.0672,-0.0348,-0.0278,-0.0529,0.0279,0.0234,54.62,130,51.2,125,46.72,122,0.0672
Client_sfut_qflow_sum3,0.0671,0.0757,-0.1125,-0.0654,-0.2053,-0.0702,55.8,138,44.44,63,27.27,33,0.0671
Pro_scall_dvol,0.0666,0.0051,0.0706,-0.0164,0.1532,-0.0514,59.06,127,53.91,115,61.54,65,0.0666
Pro_iput_dl,-0.066,-0.0983,0.032,0.0347,-0.0689,-0.1264,43.8,137,52.17,138,41.75,103,0.066
Client_sput_qflow,-0.0659,0.0542,-0.0979,-0.0437,-0.0426,0.138,45.67,127,48.86,88,44.44,54,0.0659
Pro_scall_lvl,-0.0655,-0.0682,-0.0204,-0.1194,-0.1011,-0.0591,41.43,140,27.78,18,,4,0.0655
FII_icall_dl,-0.0647,-0.0739,0.0357,0.0509,-0.1006,-0.0006,45.52,134,56.63,83,45.45,44,0.0647
Client_index_qflow_sum5,-0.0644,-0.0051,-0.0873,-0.0213,-0.0698,0.0834,38.58,127,44.44,81,44.64,56,0.0644
FII_index_rflow_sum2,0.0642,0.0122,0.053,-0.0045,0.0487,-0.0096,57.03,128,50.48,105,53.12,96,0.0642
dte,-0.0638,-0.0843,0.1318,0.1141,0.0164,0.0239,57.33,150,56.69,127,48.11,106,0.0638
FII_iput_lvl,-0.0638,-0.0141,0.0302,0.071,0.1207,0.1464,54.93,142,52.05,146,48.51,134,0.0638
Client_scall_dl,-0.0635,-0.0588,-0.069,0.0159,-0.0917,0.0637,47.73,132,48.28,87,40.62,64,0.0635
DII_sfut_qflow,0.0635,0.0476,0.0267,0.0846,-0.0681,-0.0029,51.91,131,52.38,105,48.57,70,0.0635
FII_scall_lvl,0.063,0.0566,0.0082,-0.0467,-0.0107,0.0301,43.31,127,51.72,116,50.51,99,0.063
Pro_ifut_rflow_sum2,0.0628,0.0116,0.0377,0.0333,0.0425,-0.0049,51.85,135,51.58,95,48.44,64,0.0628
FII_scall_qflow_sum2,0.0626,0.0475,-0.0099,-0.017,0.0326,-0.015,52.85,123,50.96,104,57.69,78,0.0626
Client_iput_volshare,-0.0626,-0.0758,-0.0272,-0.0007,-0.022,0.0927,55.73,131,48.74,119,44.44,117,0.0626
FII_sfut_qflow,-0.0623,-0.0967,0.0561,0.004,0.0962,-0.043,45.52,134,54.1,61,65.0,20,0.0623
FII_scall_rflow,0.0621,0.0556,0.0224,0.0135,0.0708,-0.0184,56.06,132,50.93,108,56.16,73,0.0621
Client_scall_rflow,-0.0621,-0.0225,-0.0731,0.0186,-0.0995,0.0609,44.09,127,46.39,97,42.86,70,0.0621
Client_sput_qflow_sum3,-0.062,-0.011,-0.1025,-0.0547,-0.0732,0.038,48.09,131,40.51,79,38.46,52,0.062
Client_icall_lvl,-0.0618,-0.0211,-0.0493,-0.064,0.1128,0.1244,43.61,133,46.3,108,48.45,97,0.0618
DII_sfut_rflow,0.0616,0.0458,0.0275,0.0891,-0.0786,-0.002,52.63,133,53.0,100,48.05,77,0.0616
DII_scall_rflow_sum3,0.0616,0.0769,0.0076,0.0087,0.0505,-0.0468,49.62,131,50.96,104,56.82,88,0.0616
FII_icall_qflow_sum5,-0.0616,-0.0743,0.0223,0.0322,0.0124,-0.0839,46.51,129,51.04,96,50.0,68,0.0616
DII_scall_qflow_sum3,0.0613,0.0773,0.0061,0.0084,0.0467,-0.0494,49.62,131,50.94,106,56.82,88,0.0613
FII_icall_rflow_sum3,0.0611,0.0318,-0.1203,-0.1214,0.0377,-0.0338,53.73,134,45.71,70,52.38,42,0.0611
Client_iput_rflow_sum2,-0.0607,0.0124,-0.1691,-0.0889,-0.1237,0.0074,48.46,130,38.0,100,45.71,70,0.0607
FII_index_qflow,0.0607,-0.0167,0.0688,-0.0003,0.1002,-0.0648,55.88,136,54.95,111,56.18,89,0.0607
FII_ifut_qflow_sum5,-0.0601,-0.0485,-0.0467,-0.0744,-0.006,-0.0567,49.22,128,46.32,95,60.34,58,0.0601
px_atr5,0.0598,0.0278,0.0462,0.0674,0.1547,0.1681,60.31,131,53.33,75,55.7,79,0.0598
Client_scall_qflow,-0.0594,-0.0195,-0.0733,0.021,-0.104,0.0608,48.46,130,44.09,93,42.25,71,0.0594
Client_ifut_ds,0.0594,0.0532,0.0016,-0.0129,-0.0487,-0.0384,50.0,136,52.54,59,24.0,25,0.0594
FII_sfut_qflow_sum5,-0.0587,-0.0204,0.0429,-0.0085,0.0621,0.0532,48.15,135,50.98,51,47.06,17,0.0587
FII_scall_rflow_sum3,0.0585,0.0749,0.0216,0.0208,0.0152,-0.0661,50.0,126,52.38,105,57.89,76,0.0585
Pro_scall_rflow,0.0584,0.0015,0.0986,0.0229,0.1045,-0.0453,57.81,128,57.69,104,56.67,60,0.0584
Client_ifut_rflow_sum3,-0.0575,-0.0324,-0.0092,0.0372,0.0581,0.1013,40.74,135,48.57,70,50.0,62,0.0575
FII_index_rflow,0.057,-0.0157,0.0597,-0.0065,0.1062,-0.0548,55.88,136,51.96,102,57.65,85,0.057
DII_sput_qflow_sum2,0.0569,0.0236,0.046,0.0448,0.0635,0.0112,12.88,264,19.9,196,52.94,136,0.0569
Pro_scall_qflow,0.0564,0.0011,0.1025,0.0223,0.1025,-0.051,56.49,131,58.1,105,56.9,58,0.0564
Client_scall_ds,-0.0563,-0.0882,-0.0264,0.0043,-0.0984,0.0367,51.15,131,50.63,79,43.86,57,0.0563
Client_sput_lvl,-0.0561,-0.0367,0.0184,0.0426,-0.1084,-0.0591,39.39,132,52.17,69,44.44,45,0.0561
Pro_iput_volshare,0.0555,0.0719,-0.0057,-0.0054,0.0737,-0.049,61.31,137,47.37,57,65.22,23,0.0555
FII_sput_rflow_sum5,0.0552,-0.0114,0.0182,0.0935,0.0739,0.0562,52.76,127,54.17,96,64.79,71,0.0552
DII_iput_volshare,0.0551,0.0244,0.0769,0.0611,0.1125,0.0226,60.9,133,53.33,105,54.76,84,0.0551
FII_scall_qflow_sum3,0.0549,0.0824,0.0275,0.0207,0.0194,-0.0666,50.0,124,52.29,109,57.83,83,0.0549
Client_ifut_rflow,-0.0548,-0.0159,-0.0566,-0.0301,-0.0249,0.0764,45.86,133,46.32,95,52.56,78,0.0548
DII_sfut_lvl,0.0544,0.0927,0.0116,0.0161,0.0332,0.0211,43.65,126,50.52,192,62.5,40,0.0544
DII_ifut_volshare,0.0541,0.0551,-0.0597,-0.0492,0.1194,-0.0368,59.54,131,47.71,153,49.15,118,0.0541
Client_ifut_qflow,-0.0537,-0.0102,-0.0514,-0.0238,-0.0299,0.0896,47.33,131,47.31,93,52.11,71,0.0537
DII_icall_rflow_sum2,-0.0536,-0.0725,0.1111,0.0557,0.0781,0.0076,5.3,264,23.47,196,47.06,136,0.0536
Pro_scall_ds,-0.0534,-0.0611,-0.039,0.032,-0.0862,0.078,48.89,135,48.91,92,44.58,83,0.0534
Client_sfut_qflow,0.0532,0.0841,-0.0833,-0.0968,-0.1553,-0.0773,54.14,133,40.98,61,30.3,33,0.0532
FII_icall_rflow,0.0532,0.0184,-0.1003,-0.1057,0.0264,0.0737,55.15,136,46.07,89,51.06,47,0.0532
FII_icall_qflow,0.0531,0.0173,-0.0819,-0.0812,0.029,0.0765,54.74,137,45.83,96,50.0,52,0.0531
Client_iput_qflow_sum2,-0.053,0.0242,-0.126,-0.0543,-0.145,0.0117,43.85,130,41.74,115,40.74,81,0.053
Client_scall_dvol,-0.0529,-0.0098,-0.0669,0.0256,-0.0964,0.0728,43.65,126,43.36,113,42.31,78,0.0529
DII_sput_rflow_sum2,0.0527,0.0062,0.0629,0.0483,0.0755,0.0155,12.88,264,20.41,196,54.41,136,0.0527
Client_sput_rflow_sum3,-0.0526,-0.0007,-0.1312,-0.0812,-0.0469,0.0605,48.44,128,40.96,83,40.0,50,0.0526
Client_iput_ds,-0.0525,-0.089,0.0362,0.0491,-0.0904,-0.1924,44.44,135,57.14,84,38.6,57,0.0525
DII_scall_dvol,0.0524,0.0482,-0.0113,-0.0748,0.0012,-0.0735,45.8,131,50.94,106,55.17,87,0.0524
FII_scall_qflow,0.0518,0.0472,0.0182,0.0104,0.0751,-0.0307,53.08,130,49.53,107,56.76,74,0.0518
Pro_iput_ds,-0.0516,-0.1082,0.0502,0.0443,-0.0414,-0.1458,44.6,139,52.99,117,41.03,78,0.0516
Client_sfut_rflow,0.0511,0.0875,-0.0747,-0.082,-0.1568,-0.0689,55.64,133,46.3,54,26.67,30,0.0511
DII_index_rflow_sum2,0.051,0.0585,-0.0701,0.0218,-0.0589,-0.0333,55.22,134,47.06,136,50.0,94,0.051
Client_iput_lvl,0.051,-0.0301,0.048,0.0365,-0.0864,-0.1713,45.77,142,50.99,151,51.52,132,0.051
Client_sfut_rflow_sum5,0.0508,0.0371,-0.0892,-0.0608,-0.2355,-0.1351,55.88,136,50.0,58,25.0,28,0.0508
Pro_sput_rflow,0.0503,-0.0676,0.0734,0.0057,-0.0059,-0.1282,54.47,123,51.58,95,54.0,50,0.0503
mkt_scall_dlogoi,-0.0503,-0.0722,-0.0335,0.0251,-0.0793,0.0664,51.49,134,47.78,90,43.42,76,0.0503
DII_icall_qflow_sum2,-0.0502,-0.0663,0.0906,0.0326,0.0531,0.0209,5.3,264,23.47,196,47.06,136,0.0502
px_rv20,0.05,-0.0216,0.0249,0.005,0.0675,0.1244,60.66,122,50.0,78,54.0,100,0.05
mkt_iput_dlogoi,-0.0478,-0.0876,0.042,0.0508,-0.0594,-0.1754,44.03,134,56.31,103,45.59,68,0.0478
DII_scall_ds,-0.0469,-0.0446,0.0301,0.082,-0.0205,0.0702,52.21,136,49.49,99,45.35,86,0.0469
DII_scall_rflow,0.0465,0.0443,-0.0208,-0.0801,0.0198,-0.0681,47.79,136,50.0,100,54.65,86,0.0465
FII_scall_ds,-0.0465,-0.0745,0.0125,0.0509,-0.0332,0.1278,47.73,132,50.53,95,44.09,93,0.0465
DII_scall_qflow,0.0462,0.0437,-0.0198,-0.0803,0.0186,-0.0679,46.62,133,51.92,104,56.32,87,0.0462
DII_scall_volshare,0.0452,0.0378,0.0416,0.0957,0.1475,0.0779,59.09,132,50.0,110,47.58,124,0.0452
DII_sput_qflow_sum5,-0.0452,-0.1018,0.0089,0.0125,-0.0168,-0.0663,16.79,262,25.51,196,52.21,136,0.0452
FII_icall_qflow_sum3,0.0447,0.0186,-0.0551,-0.045,0.043,-0.0327,53.44,131,49.41,85,51.72,58,0.0447
FII_icall_rflow_sum2,0.0447,-0.012,-0.1183,-0.0767,0.0218,0.0188,50.0,138,44.44,72,55.26,38,0.0447
FII_icall_qflow_sum2,0.0445,-0.0185,-0.0441,0.0036,0.0429,0.0258,53.33,135,46.48,71,55.56,45,0.0445
FII_sput_qflow_sum5,0.0444,-0.0078,0.0342,0.1157,0.0756,0.0617,53.12,128,52.58,97,62.16,74,0.0444
Client_sput_dvol,0.0437,-0.0777,0.096,0.0467,0.0318,-0.1788,57.26,124,54.08,98,52.31,65,0.0437
Pro_sput_qflow,0.0432,-0.0745,0.075,0.0058,0.0035,-0.131,53.17,126,54.17,96,55.1,49,0.0432
Client_sfut_qflow_sum5,0.043,0.0231,-0.0885,-0.0743,-0.2509,-0.1454,56.2,137,50.0,66,27.27,33,0.043
DII_sput_dvol,-0.0429,-0.0364,0.0067,-0.0004,-0.0217,-0.0568,7.17,265,12.76,196,49.26,136,0.0429
Client_iput_rflow_sum5,-0.0424,0.0152,-0.0781,-0.019,-0.0892,0.0617,46.97,132,39.53,86,43.86,57,0.0424
FII_index_qflow_sum5,-0.0419,-0.0382,-0.026,-0.0684,0.0065,-0.087,49.62,133,47.52,101,52.44,82,0.0419
DII_index_qflow_sum2,0.0418,0.0505,-0.0568,0.0294,-0.0629,-0.0286,55.56,135,48.85,131,52.69,93,0.0418
FII_iput_rflow,-0.0418,-0.0537,0.2003,0.1574,0.0417,-0.1543,44.36,133,63.64,88,46.15,39,0.0418
Client_ifut_dl,-0.0414,0.0116,-0.0928,-0.0604,-0.0523,0.0645,44.7,132,43.82,89,45.33,75,0.0414
FII_iput_rflow_sum3,-0.041,-0.0544,0.1386,0.1314,0.0169,-0.0856,52.0,125,59.26,81,55.26,38,0.041
Pro_iput_qflow_sum2,0.0407,-0.0385,0.0841,0.0377,0.1566,-0.0018,55.73,131,56.67,90,66.18,68,0.0407
Pro_iput_qflow_sum3,0.0404,-0.0176,0.0235,-0.0277,0.0905,-0.0342,53.33,135,54.84,93,54.41,68,0.0404
Client_sfut_ds,-0.04,-0.0547,0.0498,0.0007,-0.2232,-0.1154,53.49,129,47.37,57,32.5,40,0.04
Client_sfut_rflow_sum2,0.0394,0.0576,-0.0764,-0.0312,-0.2417,-0.0867,51.91,131,48.33,60,34.29,35,0.0394
FII_ifut_rflow_sum5,-0.0392,-0.0303,-0.048,-0.0708,-0.0029,-0.0269,49.61,129,46.74,92,49.18,61,0.0392
Client_iput_dl,-0.0391,-0.0879,0.0667,0.0602,-0.0699,-0.2041,48.51,134,56.18,89,45.28,53,0.0391
DII_icall_rflow_sum3,-0.0388,-0.0625,0.1888,0.1341,-0.005,-0.0117,6.46,263,31.63,196,43.38,136,0.0388
FII_iput_qflow,-0.0383,-0.0523,0.1803,0.1289,0.054,-0.1435,46.27,134,60.61,99,47.73,44,0.0383
mkt_ifut_dlogoi,-0.0379,-0.0088,-0.1076,-0.0462,-0.106,-0.0047,44.7,132,44.16,77,42.19,64,0.0379
px_oc1,-0.0374,-0.1393,0.1031,0.0157,0.0259,-0.1245,51.15,131,55.56,108,42.47,73,0.0374
Pro_sfut_rflow_sum2,0.0371,0.0062,0.0113,0.0731,0.0841,0.0607,52.27,132,48.57,70,55.26,38,0.0371
FII_iput_ds,-0.0366,-0.0425,0.0775,0.0525,-0.0295,-0.1352,46.56,131,57.95,88,46.15,52,0.0366
Client_sfut_dvol,0.0362,0.0579,-0.0547,-0.0851,-0.1396,-0.0939,52.67,131,50.57,87,36.21,58,0.0362
Pro_icall_volshare,0.036,0.0974,0.0025,0.0524,0.136,0.0355,60.14,143,48.48,66,62.5,24,0.036
Pro_sfut_lvl,0.0357,0.0273,0.0635,0.1303,0.194,0.1083,59.57,141,,0,,0,0.0357
Pro_sfut_rflow_sum3,0.0355,-0.0027,-0.0037,0.0568,0.1157,0.059,51.09,137,44.93,69,58.97,39,0.0355
FII_sfut_rflow_sum3,-0.0351,0.0015,0.0659,0.0051,0.0604,0.0526,49.62,133,56.0,50,47.83,23,0.0351
FII_index_qflow_sum2,0.0349,-0.0166,0.062,-0.0086,0.0451,-0.0111,53.97,126,51.43,105,51.02,98,0.0349
FII_sfut_rflow_sum2,-0.0349,-0.0213,0.0177,-0.041,0.1564,0.079,46.56,131,54.0,50,46.15,13,0.0349
FII_sput_qflow_sum3,0.0346,-0.0052,0.0575,0.1195,0.0064,-0.0561,49.23,130,54.72,106,59.49,79,0.0346
px_ret10,-0.0339,-0.0284,-0.084,-0.1368,-0.0658,-0.0433,55.28,123,40.51,79,44.62,65,0.0339
FII_ifut_rflow_sum2,0.0337,0.0209,0.0103,-0.0463,0.0139,-0.0173,58.59,128,51.61,93,54.22,83,0.0337
FII_sput_rflow_sum3,0.0335,-0.0127,0.0771,0.1327,-0.0037,-0.0682,50.0,128,54.81,104,56.96,79,0.0335
Client_ifut_rflow_sum2,-0.0334,-0.0199,-0.0123,0.0141,-0.0094,0.0354,42.86,133,51.28,78,49.33,75,0.0334
DII_icall_qflow_sum3,-0.0332,-0.0554,0.1434,0.1282,-0.0314,-0.0294,6.46,263,30.61,196,42.65,136,0.0332
FII_scall_dvol,-0.0331,-0.0245,0.0061,-0.0001,-0.0507,-0.0325,46.15,130,50.86,116,53.25,77,0.0331
FII_ifut_dl,0.033,-0.0602,-0.0155,-0.0133,-0.07,-0.1062,58.14,129,45.28,53,33.33,30,0.033
FII_sfut_dvol,-0.0324,-0.0626,0.049,-0.0054,0.1403,-0.0483,47.1,138,52.08,96,63.41,41,0.0324
Pro_iput_rflow_sum3,0.0307,-0.0176,0.0562,-0.0124,0.0514,-0.0354,51.85,135,55.0,80,50.85,59,0.0307
Pro_sfut_ds,0.0302,0.0198,0.032,0.0679,-0.1326,-0.0819,52.63,133,51.52,99,35.53,76,0.0302
Client_sput_ds,-0.0302,-0.0765,0.0192,0.0329,-0.0986,0.0562,52.67,131,50.0,80,41.67,60,0.0302
FII_iput_dl,-0.0301,-0.0344,-0.0137,0.0056,-0.0356,0.009,47.14,140,54.0,100,50.0,44,0.0301
Pro_sput_dl,-0.0297,-0.014,0.0235,0.0862,-0.0458,0.1089,52.71,129,51.06,94,42.11,76,0.0297
Client_iput_qflow_sum3,-0.0297,0.0232,-0.0734,-0.0295,-0.0882,0.0669,48.84,129,48.21,112,45.95,74,0.0297
Pro_sfut_qflow_sum5,0.0296,-0.0284,0.0037,0.0457,0.0105,0.0291,54.2,131,47.44,78,50.0,40,0.0296
px_range5,0.0292,-0.0004,0.0442,0.06,0.1357,0.1541,60.63,127,51.14,88,51.69,89,0.0292
FII_index_rflow_sum3,0.0289,0.0083,0.0087,-0.0423,0.0118,-0.0747,55.3,132,48.04,102,51.69,89,0.0289
px_ret2,0.0287,-0.0376,0.0651,-0.0479,-0.0445,0.0079,53.85,130,48.39,93,46.15,78,0.0287
Client_ifut_lvl,0.0282,0.0076,0.0346,0.01,0.1134,0.0556,53.79,132,50.65,154,47.79,136,0.0282
