feature,ic_cc_dev,ic_oc_dev,ic_cc_val,ic_oc_val,ic_cc_confirm,ic_oc_confirm,signacc_p50_dev,signacc_n_dev,signacc_p50_val,signacc_n_val,signacc_p50_confirm,signacc_n_confirm,abs_ic_dev
DII_iput_dl,0.0169,-0.0308,0.0396,0.1218,-0.0418,-0.0362,52.63,133,53.16,79,42.37,59,0.0169
DII_iput_qflow,-0.0169,0.0308,-0.0396,-0.1218,0.0464,0.0555,45.8,131,48.05,77,56.14,57,0.0169
FII_sput_rflow,0.0164,-0.0606,0.0409,0.1138,-0.04,-0.103,49.25,134,49.57,115,54.41,68,0.0164
Client_ifut_qflow_sum2,-0.0161,-0.0025,-0.0184,-0.0029,-0.0143,0.0343,45.11,133,51.43,70,45.71,70,0.0161
FII_sput_dvol,-0.0161,0.0651,0.028,-0.0392,0.0515,0.1112,51.15,131,54.55,121,47.89,71,0.0161
px_ret1,0.0158,-0.1159,0.0686,-0.012,-0.0687,-0.0865,53.17,126,52.48,101,46.34,82,0.0158
Pro_sfut_qflow_sum3,0.0156,-0.0132,-0.018,0.0401,0.0985,0.0372,49.64,137,40.3,67,58.97,39,0.0156
Pro_iput_qflow,0.0153,-0.0849,0.0633,0.0324,0.0901,-0.0735,52.14,140,53.33,105,55.26,76,0.0153
FII_ifut_qflow_sum2,0.015,-0.001,0.0114,-0.0502,0.0122,-0.0191,58.4,125,48.94,94,51.69,89,0.015
Pro_iput_rflow_sum2,0.015,-0.0475,0.1163,0.0643,0.1302,-0.0043,50.0,132,60.0,80,60.32,63,0.015
FII_icall_volshare,-0.0149,-0.0319,0.048,0.0269,-0.0562,-0.0077,58.06,124,54.03,124,45.88,85,0.0149
FII_iput_volshare,0.0149,0.0018,0.059,0.0118,-0.12,-0.0684,58.4,125,53.03,132,46.51,86,0.0149
Pro_sfut_qflow_sum2,0.0149,-0.0041,-0.01,0.0539,0.0785,0.0362,51.94,129,41.94,62,58.33,36,0.0149
Pro_sput_qflow_sum2,0.0149,-0.047,0.0835,-0.0066,0.0696,0.0269,51.88,133,54.22,83,55.26,38,0.0149
DII_iput_qflow_sum5,0.0148,0.037,-0.0086,-0.0346,-0.081,-0.0249,48.46,130,48.68,76,41.3,46,0.0148
Pro_sfut_volshare,-0.0148,-0.0185,0.0322,0.0861,0.0065,0.1158,56.93,137,51.0,100,53.33,30,0.0148
DII_sput_volshare,0.0147,-0.0284,-0.0033,0.0003,0.0934,0.0417,9.06,265,12.76,196,46.32,136,0.0147
FII_ifut_ds,-0.0143,-0.0059,-0.0553,-0.0007,-0.1113,0.0018,48.46,130,48.36,122,40.82,98,0.0143
Client_ifut_dvol,-0.014,0.0208,-0.0657,-0.039,-0.017,0.0556,48.44,128,46.15,117,47.0,100,0.014
Client_ifut_qflow_sum5,0.0139,0.013,-0.0117,0.0201,0.0358,0.0969,47.73,132,47.22,72,44.9,49,0.0139
FII_iput_qflow_sum2,0.0129,0.0005,0.1373,0.0621,0.0273,-0.0592,52.24,134,56.32,87,50.0,50,0.0129
Pro_sput_qflow_sum5,-0.0129,-0.0195,0.0997,0.0177,0.1001,0.0068,52.71,129,56.63,83,55.56,45,0.0129
Client_sput_volshare,-0.0127,-0.0078,-0.0247,-0.0544,0.0674,0.133,58.59,128,45.1,51,50.0,28,0.0127
FII_sput_qflow,0.012,-0.0575,0.0302,0.1051,-0.0383,-0.0972,49.24,132,49.57,117,54.29,70,0.012
Pro_sfut_rflow,-0.0117,0.0147,-0.0227,0.0145,0.0816,0.0951,45.52,134,51.47,68,60.0,30,0.0117
FII_index_qflow_sum3,0.0116,-0.0,0.0082,-0.0545,-0.0018,-0.0962,53.91,128,48.65,111,54.95,91,0.0116
Client_ifut_rflow_sum5,-0.0112,-0.0052,-0.0034,0.0262,0.0485,0.0971,45.04,131,50.0,68,42.22,45,0.0112
DII_sfut_qflow_sum5,-0.0105,-0.011,0.0262,-0.0066,0.0981,0.0053,44.17,120,52.56,78,59.7,67,0.0105
FII_ifut_dvol,-0.0101,-0.0522,0.022,-0.0248,0.0617,-0.0104,52.03,123,49.57,117,53.4,103,0.0101
FII_icall_dvol,-0.0096,-0.0231,-0.0027,0.014,0.0562,0.0273,47.76,134,45.45,110,50.0,72,0.0096
DII_sfut_rflow_sum3,-0.0093,-0.042,-0.0268,-0.0209,-0.008,-0.0638,48.12,133,48.19,83,54.55,77,0.0093
