w_pro,w_fii,w_contra,dev_exact,dev_cov,dev_sign,val_exact,val_sign,conf_exact,conf_sign,conf_sign_n,dev_score
0.1,0.0,0.05,39.36,75.8,56.93,39.11,54.19,38.55,52.78,108,49.902
0.2,0.0,0.1,39.36,75.8,56.93,39.11,54.19,38.55,52.78,108,49.902
1.0,0.05,0.3,38.78,75.22,57.29,39.52,54.19,37.35,51.89,106,49.885999999999996
0.95,0.05,0.3,38.78,75.22,57.29,39.11,53.9,37.35,51.89,106,49.885999999999996
0.35,0.0,0.15,39.36,76.68,56.86,39.11,53.9,37.35,51.89,106,49.86
0.7,0.0,0.3,39.36,76.68,56.86,39.11,53.9,37.35,51.89,106,49.86
0.2,0.45,-0.1,32.65,39.94,61.32,35.08,57.14,33.13,52.56,78,49.852000000000004
0.4,0.9,-0.2,32.65,39.94,61.32,35.08,57.14,33.13,52.56,78,49.852000000000004
0.75,0.1,-0.05,37.61,71.72,57.98,39.52,54.35,34.34,52.75,91,49.831999999999994
0.45,1.0,-0.25,31.78,36.73,61.86,33.47,54.65,31.33,51.43,70,49.828
0.9,0.05,0.3,39.07,75.22,57.0,39.11,54.25,37.35,51.89,106,49.827999999999996
0.6,0.05,0.25,39.07,75.22,57.0,38.71,54.61,38.55,53.27,107,49.827999999999996
0.4,0.05,0.15,39.07,75.22,57.0,38.71,54.61,37.35,52.38,105,49.827999999999996
0.55,0.05,0.2,39.07,75.22,57.0,39.11,54.61,38.55,53.27,107,49.827999999999996
0.75,0.05,0.3,39.07,75.22,57.0,39.11,54.61,38.55,53.27,107,49.827999999999996
0.65,0.05,0.25,39.07,75.22,57.0,39.11,54.61,38.55,53.27,107,49.827999999999996
0.5,0.05,0.2,39.07,75.22,57.0,38.71,54.61,37.95,52.83,106,49.827999999999996
0.7,0.05,0.3,39.07,75.22,57.0,38.71,54.61,38.55,53.27,107,49.827999999999996
0.65,0.05,0.3,39.07,75.22,57.0,38.71,54.61,37.95,52.83,106,49.827999999999996
0.8,0.1,0.3,39.07,75.22,57.0,38.71,54.61,37.35,52.38,105,49.827999999999996
0.35,0.3,-0.3,24.49,4.08,66.67,23.39,80.0,21.08,75.0,8,49.798
0.3,0.25,-0.25,24.49,4.08,66.67,23.79,81.82,21.08,77.78,9,49.798
0.4,0.05,0.1,38.78,73.76,57.14,38.71,54.3,36.75,51.92,104,49.796
0.8,0.1,0.2,38.78,73.76,57.14,38.71,54.3,36.75,51.92,104,49.796
0.45,0.55,-0.2,30.9,35.86,62.37,34.68,55.42,28.31,50.79,63,49.782
0.65,0.95,-0.3,30.9,35.86,62.37,35.48,57.95,28.92,49.23,65,49.782
0.7,0.75,-0.3,30.9,35.86,62.37,34.27,55.56,26.51,46.77,62,49.782
0.6,0.9,-0.25,31.78,39.07,61.76,35.08,55.43,30.12,50.72,69,49.768
0.35,0.05,0.1,38.78,74.64,57.07,39.11,54.61,36.75,51.92,104,49.754
0.9,0.15,0.25,38.78,74.64,57.07,39.11,54.67,36.75,51.92,104,49.754
0.75,0.1,0.3,38.78,74.64,57.07,38.71,55.33,37.35,52.38,105,49.754
0.45,0.8,-0.25,29.45,30.9,63.29,34.27,56.25,28.92,50.0,62,49.754
0.6,0.1,0.15,38.78,74.64,57.07,39.11,54.67,36.75,51.92,104,49.754
0.6,0.1,0.25,38.78,74.64,57.07,37.9,55.03,37.95,53.33,105,49.754
0.7,0.05,0.2,38.78,74.64,57.07,39.11,54.25,36.75,51.43,105,49.754
0.7,0.1,0.2,38.78,74.64,57.07,39.11,54.61,36.75,51.92,104,49.754
0.95,0.15,0.25,38.78,74.64,57.07,39.52,54.61,36.75,51.92,104,49.754
0.55,0.95,-0.3,29.45,30.9,63.29,34.68,56.79,28.92,49.21,63,49.754
