w_call,w_put,w_fut,dev_exact,dev_sign,val_sign,conf_sign,dev_score
0.6,0.1,0.4,39.65,57.21,52.26,50.51,50.186
0.9,0.2,0.6,39.65,57.21,52.32,52.04,50.186
0.3,0.0,0.8,39.07,57.59,50.69,55.34,50.182
0.6,0.1,0.3,40.52,56.59,52.6,49.49,50.162000000000006
0.9,0.2,0.7,38.78,57.73,51.03,52.04,50.15
0.6,0.2,0.9,38.19,58.1,52.17,53.47,50.135999999999996
0.9,0.1,0.3,39.94,56.93,50.96,47.66,50.134
0.9,0.2,0.5,39.94,56.93,52.32,50.52,50.134
1.0,0.2,0.4,39.94,56.93,52.94,49.49,50.134
0.5,0.1,0.2,39.94,56.93,52.94,49.49,50.134
0.9,0.2,0.9,38.48,57.89,50.71,52.53,50.126000000000005
0.9,0.3,1.0,38.19,58.06,51.11,54.55,50.111999999999995
0.4,0.1,0.8,37.61,58.43,52.21,53.33,50.102000000000004
1.0,0.4,0.5,38.78,57.65,51.37,53.19,50.102
0.4,0.7,0.6,39.07,57.45,57.04,56.12,50.098
0.2,0.3,0.3,38.19,58.01,56.93,54.64,50.081999999999994
0.6,0.9,0.9,38.19,58.01,56.93,54.64,50.081999999999994
0.4,0.6,0.6,38.19,58.01,56.93,54.64,50.081999999999994
0.5,0.2,1.0,37.9,58.19,52.24,55.66,50.074
0.9,0.1,1.0,37.61,58.38,51.39,50.52,50.072
0.7,0.1,0.3,39.36,57.21,51.92,48.0,50.07
0.5,0.1,1.0,37.03,58.76,51.06,53.77,50.068
1.0,0.4,1.0,38.78,57.59,51.88,55.1,50.066
0.5,0.2,0.5,38.78,57.59,51.88,55.1,50.066
0.9,0.0,0.6,39.65,57.0,51.59,51.49,50.059999999999995
0.3,0.0,0.2,39.65,57.0,51.59,51.49,50.059999999999995
0.6,0.0,0.4,39.65,57.0,51.59,51.49,50.059999999999995
0.7,0.0,0.2,39.94,56.8,50.31,48.67,50.056
1.0,0.0,0.3,39.94,56.8,50.63,48.67,50.056
0.9,0.2,1.0,37.9,58.15,51.45,51.49,50.05
0.3,0.4,0.4,37.61,58.33,56.62,54.08,50.042
0.6,0.8,0.8,37.61,58.33,56.62,54.08,50.042
0.4,0.8,0.9,38.19,57.92,56.39,55.56,50.028000000000006
0.5,0.8,0.9,37.9,58.1,57.66,55.0,50.019999999999996
1.0,0.1,0.6,39.65,56.93,51.92,50.51,50.018
1.0,0.1,0.4,39.65,56.93,50.94,47.62,50.018
0.8,0.1,0.3,39.65,56.93,51.27,47.62,50.018
0.4,0.3,1.0,37.32,58.48,51.43,56.19,50.01599999999999
0.7,0.1,0.4,40.23,56.52,52.56,50.0,50.004
0.9,0.4,0.8,39.07,57.29,52.21,55.1,50.001999999999995
0.7,0.3,0.6,39.07,57.29,52.17,55.1,50.001999999999995
0.4,0.2,0.7,38.19,57.87,52.94,56.73,49.99799999999999
0.6,0.1,0.2,39.65,56.86,51.92,48.54,49.976
0.8,0.2,0.6,38.78,57.44,51.37,53.12,49.976
0.4,0.1,0.3,38.78,57.44,51.37,53.12,49.976
0.0,0.7,0.9,39.65,56.85,57.34,54.17,49.97
0.1,0.2,0.2,37.9,58.01,57.04,56.44,49.965999999999994
0.4,0.2,0.5,37.9,58.01,51.85,56.57,49.965999999999994
0.2,0.4,0.4,37.9,58.01,57.04,56.44,49.965999999999994
0.5,1.0,1.0,37.9,58.01,57.04,56.44,49.965999999999994
0.4,0.8,0.8,37.9,58.01,57.04,56.44,49.965999999999994
0.8,0.4,1.0,37.9,58.01,51.85,56.57,49.965999999999994
0.3,0.6,0.6,37.9,58.01,57.04,56.44,49.965999999999994
0.5,0.1,0.9,36.73,58.76,50.72,53.33,49.948
0.7,0.1,0.5,39.36,57.0,52.56,50.51,49.943999999999996
0.3,0.0,0.7,39.36,56.99,51.7,53.92,49.938
0.3,0.7,0.7,37.61,58.15,56.82,56.44,49.934
0.5,0.1,0.6,37.61,58.15,51.77,51.96,49.934
0.6,0.1,0.7,37.61,58.15,52.11,51.0,49.934
1.0,0.1,0.3,39.94,56.59,50.96,47.71,49.93
1.0,0.4,0.6,38.19,57.73,52.05,53.68,49.914
0.5,0.2,0.3,38.19,57.73,52.05,53.68,49.914
0.7,1.0,0.9,37.9,57.92,57.46,54.08,49.912000000000006
0.4,0.1,0.6,37.61,58.1,51.09,53.33,49.903999999999996
0.7,0.2,1.0,37.61,58.1,51.09,51.96,49.903999999999996
0.6,0.3,0.6,38.78,57.3,52.24,55.56,49.891999999999996
0.2,0.1,0.2,38.78,57.3,52.24,55.56,49.891999999999996
0.4,0.2,0.4,38.78,57.3,52.24,55.56,49.891999999999996
0.8,0.4,0.8,38.78,57.3,52.24,55.56,49.891999999999996
1.0,0.5,1.0,38.78,57.3,52.24,55.56,49.891999999999996
0.5,0.9,0.8,38.78,57.3,56.93,56.7,49.891999999999996
0.5,0.2,0.7,37.9,57.87,52.21,55.56,49.88199999999999
1.0,0.2,0.7,39.07,57.07,52.35,51.02,49.87
1.0,0.3,0.6,39.07,57.07,51.35,53.61,49.87
0.9,0.3,0.5,39.07,57.07,52.03,53.61,49.87
0.4,1.0,0.9,37.9,57.84,56.72,56.44,49.864000000000004
0.4,0.0,0.1,39.94,56.46,50.63,48.67,49.852
1.0,0.2,0.3,39.94,56.46,51.9,48.54,49.852
0.8,0.0,0.2,39.94,56.46,50.63,48.67,49.852
0.6,0.2,0.2,39.65,56.65,52.32,50.51,49.849999999999994
