participants,flow,instruments,thr,dev_exact,dev_cov,dev_sign,val_exact,val_cov,val_sign,conf_exact,conf_cov,conf_sign,conf_sign_n,dev_score
pf_6040,q,fut_only,0.025,41.11,94.17,55.02,39.92,93.95,52.17,42.17,92.77,52.76,127,48.065
pro_only,q,c45p45f1,0.025,41.98,95.34,54.12,43.15,95.56,55.32,41.57,93.37,51.56,128,48.05
v2_p0.53_f0.27_c0.20,q,c3p3f4,0.05,39.65,83.38,56.36,40.73,80.65,53.7,41.57,82.53,57.14,112,48.004999999999995
v2_p0.53_f0.27_c0.20,r,opt_only,0.025,41.98,97.96,54.02,40.32,93.95,54.4,40.36,92.17,52.0,125,48.0
pf_4555_c10,q,c3p3f4,0.05,39.07,81.05,56.81,40.73,81.45,53.05,45.78,89.16,57.72,123,47.94
pf_4555_c10,r,c45p45f1,0.025,41.11,93.88,54.62,43.55,93.95,54.55,43.98,93.98,51.91,131,47.864999999999995
v2_p0.53_f0.27_c0.20,r,fut_only,0.025,41.11,93.88,54.62,38.31,93.55,51.93,40.96,95.18,51.94,129,47.864999999999995
pro_only,r,c45p45f1,0.025,41.4,97.38,54.26,43.95,94.76,56.15,40.96,95.18,50.77,130,47.83
pf_6040_c10neg,q,opt_only,0.0,41.69,100.0,53.96,41.53,100.0,52.55,42.17,100.0,51.47,136,47.825
v2_p0.53_f0.27_c0.20,r,c2p2f6,0.0,41.69,100.0,53.96,41.13,100.0,52.04,44.58,100.0,54.41,136,47.825
pf_5050,q,opt_only,0.0,41.69,100.0,53.96,43.15,100.0,54.59,42.17,100.0,51.47,136,47.825
pf_6040,r,opt_only,0.0,41.69,100.0,53.96,43.15,100.0,54.59,42.77,100.0,52.21,136,47.825
pf_6040_c10neg,r,c3p3f4,0.0,41.69,100.0,53.96,43.55,100.0,55.1,46.99,100.0,57.35,136,47.825
pf_5050,r,c45p45f1,0.0,41.69,100.0,53.96,43.15,100.0,54.59,43.37,100.0,52.94,136,47.825
pf_6040,q,opt_only,0.0,41.69,100.0,53.96,41.53,100.0,52.55,42.17,100.0,51.47,136,47.825
pf_6040,r,c3p3f4,0.0,41.69,100.0,53.96,43.15,100.0,54.59,46.99,100.0,57.35,136,47.825
pf_4555_c10,r,c45p45f1,0.0,41.69,100.0,53.96,43.15,100.0,54.59,43.37,100.0,52.94,136,47.825
pf_4555_c10,q,opt_only,0.0,41.69,100.0,53.96,43.15,100.0,54.59,42.17,100.0,51.47,136,47.825
v2_p0.53_f0.27_c0.20,r,opt_only,0.0,41.69,100.0,53.96,43.15,100.0,54.59,42.77,100.0,52.21,136,47.825
