participants,flow,instruments,thr,dev_exact,dev_cov,dev_sign,val_exact,val_cov,val_sign,conf_exact,conf_cov,conf_sign,conf_sign_n,dev_score
pro_only,r,c45p45f1,0.05,39.65,91.25,53.94,42.34,90.32,56.5,39.76,90.36,51.22,123,46.795
fii_only,r,c45p45f1,0.1,36.44,56.85,57.14,34.68,59.68,55.56,35.54,72.89,53.06,98,46.79
pf_6040_c10neg,r,c45p45f1,0.05,39.07,83.67,54.5,42.74,82.26,55.42,40.36,81.93,53.1,113,46.785
v2_p0.53_f0.27_c0.20,r,c4p4f2,0.075,39.07,83.67,54.5,40.32,81.85,53.99,40.36,83.73,54.39,114,46.785
fii_only,r,c2p2f6,0.15,39.07,84.55,54.46,40.73,76.61,49.38,44.58,86.75,56.67,120,46.765
pf_5050,q,c2p2f6,0.075,36.44,73.76,57.07,37.1,76.61,50.33,41.57,74.7,58.25,103,46.754999999999995
fii_only,r,fut_only,0.1,39.36,92.13,54.13,38.71,90.73,50.28,46.99,94.58,56.49,131,46.745000000000005
pf_4555_c10,r,c3p3f4,0.15,34.99,53.35,58.45,36.29,57.26,53.85,35.54,63.86,53.41,88,46.72
pf_6040,q,opt_only,0.05,39.07,87.17,54.35,40.32,86.29,55.03,38.55,84.94,52.17,115,46.71
v2_p0.53_f0.27_c0.20,r,c3p3f4,0.1,37.61,71.43,55.79,37.9,69.35,55.07,42.77,78.92,56.36,110,46.7
fii_only,r,c2p2f6,0.05,40.23,95.04,53.17,41.53,93.15,50.8,42.77,95.18,54.26,129,46.7
fii_only,q,c3p3f4,0.025,40.23,95.92,53.15,41.94,91.94,51.35,43.98,96.39,54.96,131,46.69
pf_6040,q,c3p3f4,0.1,36.15,62.68,57.23,36.29,62.5,55.65,37.95,72.29,54.55,99,46.69
pf_4555_c10,r,c4p4f2,0.05,39.36,83.97,54.02,42.34,85.08,54.39,45.78,89.16,55.2,125,46.69
pf_5050,q,c45p45f1,0.025,39.65,91.55,53.72,41.94,93.15,53.8,43.98,92.17,53.12,128,46.685
pro_only,r,opt_only,0.025,40.23,96.79,53.12,40.73,91.94,53.89,42.17,95.18,52.31,130,46.675
pf_5050,r,c4p4f2,0.025,39.65,92.42,53.69,42.34,92.34,54.1,45.78,93.98,55.38,130,46.67
fii_only,r,c2p2f6,0.075,39.65,92.42,53.69,42.34,89.11,51.38,42.77,92.17,55.2,125,46.67
pf_6040,q,c45p45f1,0.025,39.65,93.29,53.66,41.53,92.74,53.55,42.77,92.77,53.54,127,46.655
pf_5050,q,opt_only,0.025,39.36,92.42,53.91,39.92,91.53,53.93,41.57,92.77,51.97,127,46.635
pf_6040_c10neg,q,c4p4f2,0.025,39.36,87.46,53.88,41.94,91.13,53.59,43.98,92.17,55.56,126,46.620000000000005
v2_p0.53_f0.27_c0.20,r,c4p4f2,0.1,37.9,74.05,55.33,38.31,73.39,54.11,39.76,75.3,54.81,104,46.614999999999995
v2_p0.53_f0.27_c0.20,r,fut_only,0.05,39.07,86.59,54.15,36.29,88.71,51.76,38.55,87.95,52.54,118,46.61
v2_p0.53_f0.27_c0.20,q,opt_only,0.1,37.9,74.93,55.28,39.52,75.81,53.95,37.95,77.11,51.89,106,46.59
pro_only,q,c45p45f1,0.125,37.9,74.93,55.28,39.11,74.19,53.69,33.73,71.08,50.0,96,46.59
fii_only,q,c2p2f6,0.025,40.23,96.21,52.94,41.13,95.56,51.05,43.37,95.78,54.62,130,46.584999999999994
pf_5050,r,c4p4f2,0.05,39.07,83.38,54.05,41.53,83.47,54.49,43.98,87.95,54.92,122,46.56
pf_4555_c10,q,c45p45f1,0.05,38.78,82.51,54.34,40.32,84.68,54.49,42.77,89.16,52.42,124,46.56
v2_p0.53_f0.27_c0.20,r,c4p4f2,0.025,40.52,93.88,52.59,44.35,93.95,54.79,42.77,95.18,53.08,130,46.55500000000001
pf_6040,r,fut_only,0.05,39.07,84.26,54.02,36.69,86.29,51.5,40.36,88.55,53.33,120,46.545
pf_6040,r,c3p3f4,0.1,36.73,68.51,56.35,37.1,66.13,55.73,40.96,75.3,55.24,105,46.54
pro_only,q,opt_only,0.075,39.65,87.76,53.42,40.32,84.27,54.82,37.35,84.94,50.43,115,46.535
pf_5050,r,fut_only,0.05,38.19,86.59,54.87,36.29,87.5,50.89,38.55,81.93,51.79,112,46.53
pf_6040_c10neg,r,c2p2f6,0.075,37.32,68.51,55.74,38.71,67.34,55.15,38.55,71.08,56.7,97,46.53
pro_only,r,opt_only,0.05,39.36,93.59,53.66,41.94,87.9,55.17,40.36,89.76,51.22,123,46.51
pf_5050,q,c3p3f4,0.075,35.86,70.26,57.14,39.52,69.35,54.61,41.57,76.51,56.6,106,46.5
v2_p0.53_f0.27_c0.20,r,c45p45f1,0.025,40.23,95.63,52.76,43.15,93.95,54.01,42.17,96.99,53.44,131,46.495
pf_5050,r,fut_only,0.025,38.78,90.96,54.2,38.71,92.34,50.83,37.35,89.16,50.0,120,46.49
pro_only,q,opt_only,0.0,40.52,100.0,52.45,42.74,100.0,54.08,43.98,100.0,53.68,136,46.485
pro_only,r,opt_only,0.0,40.52,100.0,52.45,42.34,100.0,53.57,43.37,100.0,52.94,136,46.485
pf_6040_c10neg,q,c45p45f1,0.0,40.52,100.0,52.45,43.15,100.0,54.59,44.58,100.0,54.41,136,46.485
pro_only,q,c4p4f2,0.0,40.52,100.0,52.45,45.16,100.0,57.14,39.16,100.0,47.79,136,46.485
pf_5050,r,c4p4f2,0.0,40.52,100.0,52.45,43.15,100.0,54.59,45.78,100.0,55.88,136,46.485
pf_5050,q,fut_only,0.0,40.52,100.0,52.45,39.11,100.0,49.49,43.37,100.0,52.94,136,46.485
pf_6040,q,c45p45f1,0.0,40.52,100.0,52.45,42.74,100.0,54.08,43.37,100.0,52.94,136,46.485
fii_only,q,c4p4f2,0.125,36.15,57.43,56.77,37.1,58.87,53.72,36.14,69.88,53.68,95,46.46
pro_only,q,c2p2f6,0.05,39.94,88.05,52.97,35.89,88.71,49.42,38.55,90.36,47.2,125,46.455
v2_p0.53_f0.27_c0.20,q,c3p3f4,0.1,37.03,67.06,55.87,38.71,66.53,55.97,39.76,74.1,55.88,102,46.45
pf_6040,r,c2p2f6,0.1,37.03,67.06,55.87,36.69,69.35,52.9,39.76,72.29,56.0,100,46.45
pf_5050,q,fut_only,0.025,39.36,91.25,53.53,35.89,89.92,50.29,40.36,89.76,52.46,122,46.445
fii_only,r,fut_only,0.15,39.07,89.5,53.81,37.9,85.08,50.6,44.58,92.17,55.12,127,46.44
pf_6040,q,fut_only,0.075,37.9,80.17,54.98,34.27,77.42,51.01,37.95,80.12,52.29,109,46.44
v2_p0.53_f0.27_c0.20,r,c2p2f6,0.1,37.9,71.14,54.97,35.48,73.39,52.45,42.77,81.93,55.26,114,46.435
pf_4555_c10,q,fut_only,0.125,37.32,72.01,55.5,33.47,67.74,50.76,36.75,72.29,52.53,99,46.41
pf_6040_c10neg,r,c4p4f2,0.075,37.03,72.01,55.79,36.29,66.94,54.55,39.16,72.89,54.46,101,46.41
v2_p0.53_f0.27_c0.20,q,fut_only,0.1,37.03,76.09,55.78,34.68,72.58,50.7,36.75,73.49,53.0,100,46.405
pf_4555_c10,r,opt_only,0.05,38.48,88.63,54.31,38.71,85.89,54.82,41.57,88.55,53.72,121,46.394999999999996
v2_p0.53_f0.27_c0.20,r,c45p45f1,0.1,38.78,79.59,53.99,39.92,75.4,53.95,39.76,78.31,53.7,108,46.385000000000005
fii_only,q,c3p3f4,0.1,38.48,78.72,54.29,41.53,74.6,51.28,43.98,83.13,57.39,115,46.385
fii_only,q,c4p4f2,0.075,37.9,72.89,54.87,41.53,77.82,53.46,39.76,80.72,54.55,110,46.385
pf_4555_c10,r,fut_only,0.05,39.65,90.67,53.11,39.11,91.94,50.83,39.16,90.36,52.89,121,46.379999999999995
fii_only,r,fut_only,0.125,38.78,91.25,53.97,39.11,87.5,50.57,45.18,92.77,55.47,128,46.375
pro_only,r,opt_only,0.075,39.07,88.05,53.65,41.94,86.29,55.56,39.16,84.94,50.43,117,46.36
pf_6040_c10neg,r,c2p2f6,0.1,33.82,56.56,58.9,33.06,56.85,52.68,34.34,62.05,54.76,84,46.36
v2_p0.53_f0.27_c0.20,r,c4p4f2,0.15,36.15,66.47,56.57,36.69,61.29,56.56,34.94,64.46,51.69,89,46.36
v2_p0.53_f0.27_c0.20,q,c3p3f4,0.15,33.82,54.23,58.87,36.69,53.23,58.33,35.54,63.86,51.69,89,46.345
pf_6040,r,c2p2f6,0.075,37.61,74.64,55.05,39.52,79.84,53.46,42.17,80.72,58.18,110,46.33
v2_p0.53_f0.27_c0.20,q,opt_only,0.05,39.07,89.8,53.59,40.32,87.9,54.65,38.55,86.14,52.59,116,46.33
fii_only,r,c4p4f2,0.1,37.32,70.55,55.32,40.32,68.95,53.15,37.95,79.52,52.78,108,46.32
pf_6040_c10neg,r,c45p45f1,0.025,39.36,93.29,53.25,42.74,91.53,54.4,42.77,92.77,52.34,128,46.305
pro_only,q,opt_only,0.05,39.36,93.29,53.25,41.94,87.5,54.6,37.95,89.16,50.83,120,46.305
pf_5050,r,c2p2f6,0.125,35.28,59.48,57.32,38.31,62.5,53.49,37.95,66.27,55.43,92,46.3
pf_5050,r,c2p2f6,0.075,37.32,75.51,55.28,38.31,79.44,51.9,42.17,80.72,56.76,111,46.3
v2_p0.53_f0.27_c0.20,r,c45p45f1,0.075,38.78,83.97,53.81,40.32,83.06,53.01,40.96,82.53,53.51,114,46.295
fii_only,r,c2p2f6,0.025,39.65,97.67,52.92,40.32,96.37,51.05,43.37,96.99,54.96,131,46.285
pf_5050,q,c4p4f2,0.05,38.48,78.13,54.07,40.73,83.87,53.89,45.18,86.75,56.2,121,46.275
pf_6040,q,c45p45f1,0.075,37.9,77.26,54.63,39.92,77.42,55.19,40.36,76.51,54.72,106,46.265
pf_6040_c10neg,q,fut_only,0.05,37.9,82.22,54.63,37.1,80.65,50.94,39.76,80.12,53.64,110,46.265
pro_only,r,c3p3f4,0.025,39.07,95.04,53.41,41.53,93.15,54.95,43.37,92.77,49.62,131,46.239999999999995
pf_4555_c10,q,c2p2f6,0.1,36.44,69.1,56.04,39.52,68.95,50.69,40.36,71.08,56.57,99,46.239999999999995
pro_only,q,c3p3f4,0.125,36.15,65.89,56.32,36.69,63.71,55.12,33.73,71.08,46.94,98,46.235
v2_p0.53_f0.27_c0.20,r,opt_only,0.075,38.48,85.71,53.98,41.53,84.68,55.36,40.36,83.13,53.51,114,46.23
pro_only,q,c3p3f4,0.075,37.9,79.01,54.55,37.9,76.21,52.98,39.76,80.72,50.44,113,46.224999999999994
pf_6040_c10neg,q,opt_only,0.05,38.48,80.76,53.95,41.53,81.85,55.83,39.16,80.12,52.73,110,46.215
pro_only,q,opt_only,0.025,39.65,96.21,52.76,41.53,91.94,54.14,41.57,93.98,52.34,128,46.205
fii_only,q,c4p4f2,0.025,39.07,90.96,53.33,43.15,92.34,54.35,43.98,94.58,55.04,129,46.2
v2_p0.53_f0.27_c0.20,r,fut_only,0.1,36.73,74.05,55.67,34.27,77.82,51.68,36.75,74.7,53.47,101,46.2
pf_5050,r,c4p4f2,0.075,37.9,74.93,54.5,39.92,77.02,54.55,40.96,79.52,54.55,110,46.2
fii_only,q,c4p4f2,0.1,37.9,65.01,54.49,39.92,66.13,54.01,37.95,73.49,53.47,101,46.195
pf_4555_c10,r,c3p3f4,0.075,37.9,75.8,54.46,38.31,76.21,52.63,43.98,83.73,56.9,116,46.18
pro_only,r,c4p4f2,0.15,36.15,74.93,56.19,39.92,66.53,55.88,31.93,65.66,50.0,88,46.17
pf_6040,r,opt_only,0.05,38.48,89.21,53.85,40.32,87.5,54.97,40.96,85.54,53.85,117,46.165
pf_5050,q,c45p45f1,0.05,38.19,82.51,54.13,40.32,82.66,54.27,42.17,87.95,53.72,121,46.16
pf_6040_c10neg,r,c4p4f2,0.0,40.23,100.0,52.08,42.74,100.0,54.08,45.18,100.0,55.15,136,46.155
pro_only,r,c4p4f2,0.0,40.23,100.0,52.08,45.16,100.0,57.14,39.76,100.0,48.53,136,46.155
pro_only,r,c2p2f6,0.0,40.23,100.0,52.08,39.11,100.0,49.49,38.55,100.0,47.06,136,46.155
fii_only,q,c4p4f2,0.0,40.23,100.0,52.08,41.94,100.0,53.06,44.58,100.0,54.41,136,46.155
pf_6040,r,c4p4f2,0.0,40.23,100.0,52.08,43.15,100.0,54.59,44.58,100.0,54.41,136,46.155
pro_only,q,c2p2f6,0.0,40.23,100.0,52.08,37.9,100.0,47.96,39.16,100.0,47.79,136,46.155
pf_6040,q,opt_only,0.075,38.19,77.55,54.11,41.13,78.63,55.06,39.16,79.52,53.21,109,46.15
pro_only,q,opt_only,0.15,37.03,71.72,55.26,35.89,70.56,51.43,34.94,69.28,52.13,94,46.144999999999996
pf_6040,q,fut_only,0.1,36.73,71.72,55.56,33.87,70.56,51.09,34.34,71.69,52.08,96,46.144999999999996
pro_only,r,c45p45f1,0.1,38.19,83.38,54.09,41.94,77.42,55.41,36.75,78.31,50.47,107,46.14
pf_6040_c10neg,r,c4p4f2,0.05,37.61,81.63,54.67,41.53,80.24,56.25,39.16,80.12,54.13,109,46.14
pro_only,q,c2p2f6,0.025,39.65,93.88,52.61,36.69,95.56,47.59,39.76,93.98,47.69,130,46.129999999999995
pro_only,r,c3p3f4,0.05,37.9,88.34,54.35,41.13,86.29,54.39,40.96,89.16,48.8,125,46.125
pro_only,q,c4p4f2,0.025,38.78,94.46,53.44,43.55,97.58,56.84,40.36,93.98,48.46,130,46.11
pf_4555_c10,r,c2p2f6,0.075,37.61,78.43,54.59,37.5,81.45,50.93,43.37,82.53,57.02,114,46.1
pf_6040,r,c4p4f2,0.075,37.32,78.43,54.85,39.11,79.03,53.5,39.76,77.11,54.72,106,46.085
pro_only,q,c3p3f4,0.05,38.19,86.88,53.95,39.11,83.47,53.66,42.17,87.35,50.41,123,46.07
pf_6040_c10neg,r,fut_only,0.025,39.07,93.0,53.06,39.52,93.95,50.81,41.57,90.96,53.23,124,46.065
fii_only,q,c45p45f1,0.025,38.78,84.55,53.33,41.53,90.32,55.37,40.36,96.99,51.15,131,46.055
fii_only,r,c2p2f6,0.2,36.73,74.34,55.38,39.11,68.95,48.97,42.77,78.31,56.88,109,46.055
fii_only,q,fut_only,0.1,38.48,89.5,53.62,36.69,88.31,49.13,45.78,93.37,55.81,129,46.05
pf_4555_c10,r,opt_only,0.075,37.9,81.92,54.17,41.13,79.44,54.37,38.55,81.93,51.79,112,46.035
pf_6040,q,c3p3f4,0.075,36.44,71.14,55.61,37.5,68.15,54.41,41.57,77.11,57.55,106,46.025
fii_only,q,c2p2f6,0.15,37.61,78.72,54.33,40.32,70.97,50.34,43.37,80.12,57.66,111,45.97
pro_only,q,c4p4f2,0.15,35.28,66.47,56.65,37.1,62.9,54.33,32.53,61.45,53.66,82,45.965
pf_6040,r,c45p45f1,0.075,38.19,81.34,53.7,41.53,80.24,54.32,40.36,80.12,53.15,111,45.945
fii_only,r,c4p4f2,0.025,39.07,94.17,52.82,41.94,93.15,52.97,43.37,94.58,53.08,130,45.945
fii_only,r,c2p2f6,0.125,38.19,88.05,53.68,39.92,79.44,49.69,44.58,87.35,56.2,121,45.935
pro_only,q,c3p3f4,0.025,38.78,92.42,53.09,39.11,90.32,54.6,41.57,93.98,51.16,129,45.935
v2_p0.53_f0.27_c0.20,q,c2p2f6,0.1,35.86,66.47,56.0,37.5,68.95,51.43,40.36,76.51,56.19,105,45.93
fii_only,q,c2p2f6,0.125,38.19,83.09,53.64,40.32,75.81,50.32,44.58,84.34,55.93,118,45.915
pro_only,r,opt_only,0.125,37.03,81.34,54.72,39.52,76.21,54.61,37.35,73.49,52.48,101,45.875
pro_only,r,c2p2f6,0.1,39.65,81.05,52.04,38.31,82.26,52.47,37.35,84.94,47.86,117,45.845
pf_6040_c10neg,q,opt_only,0.075,37.03,73.18,54.64,39.52,73.79,55.78,36.14,72.89,51.0,100,45.835
pro_only,r,opt_only,0.1,37.32,83.97,54.34,40.73,82.66,55.83,36.75,78.92,50.0,108,45.83
v2_p0.53_f0.27_c0.20,q,c4p4f2,0.125,34.99,66.76,56.65,36.69,64.92,53.85,36.14,65.66,54.44,90,45.82
pf_6040,r,c4p4f2,0.125,35.57,65.89,56.07,35.08,60.48,54.17,36.75,66.27,53.26,92,45.82
v2_p0.53_f0.27_c0.20,r,fut_only,0.075,37.9,80.76,53.74,35.08,82.66,52.87,37.35,80.12,54.21,107,45.82
fii_only,r,c45p45f1,0.075,38.48,69.1,53.16,37.1,72.58,56.03,39.16,84.34,52.17,115,45.81999999999999
fii_only,r,c4p4f2,0.05,38.48,86.01,53.07,42.34,87.1,53.71,41.57,89.16,54.55,121,45.775
v2_p0.53_f0.27_c0.20,q,c4p4f2,0.15,34.11,59.77,57.42,34.68,56.85,54.87,34.34,60.84,52.38,84,45.765
fii_only,r,c4p4f2,0.075,37.61,76.68,53.92,41.13,77.82,52.83,38.55,83.73,53.1,113,45.765
pf_6040_c10neg,q,c4p4f2,0.075,35.57,67.64,55.93,35.08,66.53,53.85,36.14,66.87,53.26,92,45.75
pro_only,q,opt_only,0.125,37.32,77.55,54.15,38.71,75.0,54.36,36.75,72.29,52.53,99,45.735
v2_p0.53_f0.27_c0.20,q,c2p2f6,0.15,32.94,52.19,58.52,36.29,49.6,56.31,35.54,65.06,55.68,88,45.730000000000004
fii_only,q,c45p45f1,0.05,37.61,72.59,53.85,40.73,80.65,54.66,38.55,89.76,51.24,121,45.730000000000004
pro_only,r,c2p2f6,0.025,39.65,95.92,51.76,38.71,97.58,49.74,37.95,94.58,48.44,128,45.705
fii_only,r,c4p4f2,0.125,36.44,63.56,54.97,40.32,64.11,53.33,34.94,74.1,51.0,100,45.705
v2_p0.53_f0.27_c0.20,r,c2p2f6,0.15,34.11,58.31,57.24,36.69,56.85,55.17,37.35,68.67,55.32,94,45.675
pf_6040,q,c45p45f1,0.1,35.86,69.39,55.49,38.31,70.97,54.23,34.94,70.48,51.04,96,45.675
pf_4555_c10,q,fut_only,0.05,38.78,88.05,52.56,35.89,83.06,50.0,40.96,89.16,53.72,121,45.67
pf_4555_c10,r,c2p2f6,0.125,36.15,65.31,55.17,39.52,68.55,51.05,39.16,70.48,56.7,97,45.66
pf_5050,q,fut_only,0.075,37.03,80.17,54.29,33.06,77.42,50.0,37.95,78.92,53.27,107,45.66
pf_4555_c10,r,c45p45f1,0.05,38.48,87.17,52.81,41.53,85.48,54.71,43.37,89.16,53.23,124,45.644999999999996
pf_6040,r,c4p4f2,0.025,39.07,94.17,52.21,44.76,94.35,55.03,43.37,93.98,54.69,128,45.64
pf_4555_c10,q,c3p3f4,0.125,34.4,58.31,56.86,38.31,60.08,53.6,36.75,64.46,53.33,90,45.629999999999995
fii_only,q,c45p45f1,0.075,37.32,65.31,53.93,37.5,67.74,57.14,38.55,81.33,53.64,110,45.625
pro_only,q,fut_only,0.05,39.65,93.59,51.6,41.13,90.73,51.93,40.96,93.98,50.39,129,45.625
pf_4555_c10,r,c4p4f2,0.075,37.61,77.84,53.62,39.92,77.42,54.19,42.77,81.93,55.26,114,45.614999999999995
v2_p0.53_f0.27_c0.20,q,c3p3f4,0.125,34.4,59.18,56.77,37.5,60.08,57.02,37.95,71.08,54.08,98,45.585
pf_5050,r,c3p3f4,0.125,34.4,59.18,56.77,36.69,60.08,52.85,39.76,69.88,55.1,98,45.585
pf_5050,r,c2p2f6,0.1,36.15,67.93,55.0,38.31,73.79,51.68,41.57,74.7,56.73,104,45.575
pf_4555_c10,q,c2p2f6,0.075,35.86,76.97,55.28,38.71,78.23,51.59,41.57,78.31,57.94,107,45.57
pf_4555_c10,q,fut_only,0.1,37.03,78.72,54.11,35.48,74.6,50.34,37.95,76.51,53.85,104,45.57
v2_p0.53_f0.27_c0.20,r,c45p45f1,0.125,37.32,73.76,53.81,37.5,70.56,53.19,36.14,68.07,52.13,94,45.565
pro_only,q,c2p2f6,0.075,38.78,81.63,52.27,36.69,81.85,49.38,36.14,83.73,46.96,115,45.525000000000006
fii_only,r,c45p45f1,0.025,38.48,88.34,52.56,41.13,93.55,54.95,39.76,96.39,50.77,130,45.519999999999996
pro_only,r,fut_only,0.05,39.65,94.75,51.38,41.53,94.35,52.41,40.96,95.78,49.24,132,45.515
pf_4555_c10,q,c4p4f2,0.1,35.28,66.47,55.75,36.69,68.15,54.07,37.35,68.67,52.08,96,45.515
pf_6040_c10neg,r,c4p4f2,0.1,34.69,64.14,56.29,36.69,58.87,54.17,33.73,62.65,51.16,86,45.489999999999995
v2_p0.53_f0.27_c0.20,r,c4p4f2,0.0,39.65,100.0,51.32,43.55,100.0,55.1,43.37,100.0,52.94,136,45.485
v2_p0.53_f0.27_c0.20,r,c3p3f4,0.15,34.11,58.6,56.86,36.29,56.45,54.78,35.54,67.47,53.26,92,45.485
fii_only,r,c45p45f1,0.0,39.65,100.0,51.32,42.34,100.0,53.57,42.77,100.0,52.21,136,45.485
pf_4555_c10,q,c3p3f4,0.075,35.28,71.43,55.68,39.52,71.77,53.42,41.57,78.31,56.48,108,45.480000000000004
pf_4555_c10,r,c4p4f2,0.1,37.03,71.43,53.93,39.52,72.18,55.17,39.16,74.7,52.88,104,45.480000000000004
pro_only,q,c2p2f6,0.2,34.4,54.52,56.55,30.24,49.6,50.52,33.13,56.02,49.37,79,45.474999999999994
pf_6040,q,opt_only,0.1,36.44,71.43,54.5,39.11,73.39,55.48,36.14,72.29,51.52,99,45.47
v2_p0.53_f0.27_c0.20,q,fut_only,0.075,36.44,81.34,54.5,35.08,80.24,50.0,37.35,82.53,50.89,112,45.47
pro_only,r,c2p2f6,0.2,36.15,62.39,54.76,32.66,58.47,52.63,32.53,59.64,48.19,83,45.455
pro_only,q,fut_only,0.075,38.78,88.63,52.12,39.11,84.68,52.69,38.55,87.95,48.76,121,45.45
pf_6040,r,fut_only,0.1,36.15,72.3,54.74,35.48,75.81,53.42,37.35,77.71,51.89,106,45.445
pf_5050,r,opt_only,0.05,37.61,87.46,53.28,38.71,85.08,54.55,39.76,86.75,52.54,118,45.445
v2_p0.53_f0.27_c0.20,r,c3p3f4,0.125,35.57,64.14,55.29,37.5,63.71,56.69,40.36,73.49,55.88,102,45.43
pf_5050,r,c45p45f1,0.05,38.19,86.01,52.63,41.53,83.47,54.49,43.37,88.55,53.66,123,45.41
pro_only,q,c3p3f4,0.15,34.99,61.81,55.83,34.27,55.65,54.05,31.33,61.45,45.88,85,45.41
pf_6040_c10neg,r,c4p4f2,0.025,38.78,93.0,52.03,43.95,91.53,55.19,43.98,92.17,55.56,126,45.405
pf_4555_c10,q,c4p4f2,0.125,33.82,58.02,56.95,35.48,60.89,55.83,34.94,60.84,53.57,84,45.385000000000005
pf_4555_c10,r,c45p45f1,0.075,37.9,78.43,52.86,38.31,79.03,52.23,41.57,81.93,54.87,113,45.379999999999995
pro_only,r,c45p45f1,0.15,35.86,74.93,54.87,39.52,71.37,53.79,33.73,65.66,50.0,90,45.364999999999995
pf_5050,r,c45p45f1,0.075,37.03,76.68,53.69,39.11,78.23,53.21,40.96,79.52,54.55,110,45.36
pf_4555_c10,r,fut_only,0.075,37.61,86.01,53.1,38.31,87.9,50.87,39.76,86.14,52.99,117,45.355000000000004
pf_5050,q,c3p3f4,0.1,33.82,62.1,56.88,38.71,62.1,53.49,39.16,67.47,56.38,94,45.35
pro_only,r,c3p3f4,0.15,36.15,66.76,54.49,36.29,60.48,55.37,31.93,66.27,46.15,91,45.32
v2_p0.53_f0.27_c0.20,q,c45p45f1,0.125,35.57,67.64,55.06,36.69,68.95,53.28,35.54,69.88,51.04,96,45.315
pf_5050,q,fut_only,0.125,34.99,64.43,55.62,33.06,64.92,51.59,36.14,67.47,54.35,92,45.305
pf_6040_c10neg,r,opt_only,0.05,36.73,84.26,53.88,40.73,83.87,54.82,39.16,81.33,53.15,111,45.305
pro_only,q,opt_only,0.1,37.61,81.92,53.0,39.92,80.65,55.35,35.54,76.51,50.0,104,45.305
v2_p0.53_f0.27_c0.20,r,opt_only,0.1,37.32,81.05,53.27,39.52,78.23,52.87,37.95,78.31,52.34,107,45.295
pf_5050,q,c4p4f2,0.125,33.24,55.1,57.34,35.08,58.06,55.65,34.34,60.24,53.01,83,45.290000000000006
pf_6040_c10neg,q,fut_only,0.1,34.99,61.22,55.56,31.45,60.48,51.72,33.13,66.27,51.69,89,45.275000000000006
pro_only,q,c2p2f6,0.1,37.32,76.09,53.2,36.29,79.03,50.0,37.35,78.31,48.62,109,45.260000000000005
pf_4555_c10,q,c45p45f1,0.075,37.32,76.09,53.2,37.9,75.81,54.36,39.76,78.92,54.63,108,45.260000000000005
v2_p0.53_f0.27_c0.20,r,c2p2f6,0.125,35.86,64.43,54.65,36.29,64.92,53.08,40.96,74.1,56.31,103,45.254999999999995
pro_only,r,fut_only,0.025,39.36,97.96,51.15,40.73,97.18,52.63,40.96,98.19,48.89,135,45.254999999999995
pro_only,r,c3p3f4,0.075,37.03,84.55,53.39,40.32,80.65,55.97,39.16,83.13,49.14,116,45.21
pf_6040,q,c4p4f2,0.1,34.99,67.06,55.43,36.69,67.74,54.48,36.14,66.87,53.26,92,45.21
fii_only,r,fut_only,0.2,37.03,84.55,53.39,36.69,79.44,49.37,43.98,88.55,55.74,122,45.21
fii_only,q,c4p4f2,0.05,37.9,82.22,52.51,42.34,84.68,53.8,41.57,89.16,54.55,121,45.205
pf_6040_c10neg,r,c3p3f4,0.1,33.53,59.18,56.86,35.89,56.85,53.45,33.73,62.05,53.57,84,45.195
pf_5050,q,fut_only,0.05,37.03,86.3,53.33,34.68,84.27,49.08,37.95,80.72,53.21,109,45.18
fii_only,r,opt_only,0.025,37.61,82.22,52.75,40.32,81.85,57.86,40.36,93.37,52.38,126,45.18
pf_4555_c10,q,c3p3f4,0.1,34.4,64.72,55.95,38.31,65.73,53.73,39.76,69.88,55.1,98,45.175
pf_5050,q,fut_only,0.1,36.44,72.89,53.89,33.06,70.56,49.64,36.14,72.29,53.06,98,45.165
pro_only,r,c45p45f1,0.125,36.44,78.72,53.88,39.52,74.19,54.36,34.34,73.49,49.0,100,45.16
pf_4555_c10,r,c45p45f1,0.1,36.73,73.76,53.57,37.5,71.77,54.23,40.96,74.1,54.81,104,45.15
pf_4555_c10,q,c4p4f2,0.15,32.94,52.19,57.35,35.08,52.82,55.14,33.73,57.23,53.16,79,45.144999999999996
pf_5050,r,c4p4f2,0.15,32.94,55.39,57.34,35.89,53.63,54.55,34.34,60.24,53.01,83,45.14
v2_p0.53_f0.27_c0.20,r,fut_only,0.125,35.28,69.68,54.95,34.68,71.37,51.8,34.94,71.69,51.55,97,45.115
pf_5050,q,opt_only,0.075,36.73,75.51,53.5,39.11,74.6,55.41,36.75,80.12,51.85,108,45.114999999999995
pf_6040_c10neg,r,c45p45f1,0.075,36.73,76.38,53.47,39.52,74.19,54.36,36.14,71.08,54.17,96,45.099999999999994
fii_only,q,fut_only,0.125,37.32,87.46,52.84,38.31,83.87,50.3,45.18,91.57,55.12,127,45.08
pf_6040_c10neg,q,c45p45f1,0.075,35.57,71.43,54.55,37.9,69.76,54.68,36.14,71.08,52.58,97,45.06
pf_5050,q,c4p4f2,0.075,36.15,71.43,53.97,37.1,73.79,52.74,40.36,78.31,54.63,108,45.06
pro_only,r,c2p2f6,0.15,37.03,72.3,53.09,35.48,71.77,51.77,37.35,73.49,48.08,104,45.06
pf_6040,r,c2p2f6,0.125,33.82,57.73,56.29,33.87,58.47,52.59,37.35,66.87,55.43,92,45.055
pro_only,r,c3p3f4,0.1,36.73,79.01,53.37,39.11,76.21,54.97,34.34,74.1,47.06,102,45.05
