protocol,block,model,period,n,exact,baseline,cov,sign,sign_n
frozen_dev,F3_+stock,logreg,val2025,248,31.05,39.52,51.61,48.54,103
frozen_dev,F3_+stock,logreg,confirm2026,166,30.12,42.77,71.69,44.79,96
frozen_dev,F3_+stock,gbt,dev2023_24,343,100.0,45.48,77.26,100.0,265
frozen_dev,F3_+stock,gbt,val2025,248,39.11,39.52,85.08,54.22,166
frozen_dev,F3_+stock,gbt,confirm2026,166,37.35,42.77,98.19,46.62,133
frozen_dev,F3_+stock,ridge,dev2023_24,343,51.02,45.48,95.63,67.32,254
frozen_dev,F3_+stock,ridge,val2025,248,35.48,39.52,99.6,45.13,195
frozen_dev,F3_+stock,ridge,confirm2026,166,44.58,42.77,98.8,55.22,134
frozen_dev,F4_+price,logreg,dev2023_24,343,71.14,45.48,69.39,81.98,222
frozen_dev,F4_+price,logreg,val2025,248,33.87,39.52,51.21,52.88,104
frozen_dev,F4_+price,logreg,confirm2026,166,29.52,42.77,56.02,45.45,77
frozen_dev,F4_+price,gbt,dev2023_24,343,99.71,45.48,77.26,99.62,265
frozen_dev,F4_+price,gbt,val2025,248,35.48,39.52,86.29,49.7,167
frozen_dev,F4_+price,gbt,confirm2026,166,36.75,42.77,94.58,48.03,127
frozen_dev,F4_+price,ridge,dev2023_24,343,52.48,45.48,98.25,68.85,260
frozen_dev,F4_+price,ridge,val2025,248,39.11,39.52,97.58,48.7,193
frozen_dev,F4_+price,ridge,confirm2026,166,48.8,42.77,98.8,60.45,134
frozen_dev,F5_+vol,logreg,dev2023_24,343,77.84,45.48,73.47,85.29,238
frozen_dev,F5_+vol,logreg,val2025,248,31.85,39.52,51.61,49.04,104
frozen_dev,F5_+vol,logreg,confirm2026,166,30.72,42.77,81.33,41.82,110
frozen_dev,F5_+vol,gbt,dev2023_24,343,99.71,45.48,77.26,99.62,265
frozen_dev,F5_+vol,gbt,val2025,248,37.9,39.52,83.47,51.83,164
frozen_dev,F5_+vol,gbt,confirm2026,166,39.16,42.77,93.37,52.0,125
frozen_dev,F5_+vol,ridge,dev2023_24,343,56.27,45.48,96.21,73.15,257
frozen_dev,F5_+vol,ridge,val2025,248,41.13,39.52,97.58,52.88,191
frozen_dev,F5_+vol,ridge,confirm2026,166,45.18,42.77,98.8,55.97,134
