TIMESTAMP,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,EXPIRY_DT,FininstrmActlXpryDt,STRIKE_PRICE,OPTION_TYPE,FinInstrmNm,OPENING_PRICE,TRADE_HIGH_PRICE,TRADE_LOW_PRICE,CLOSING_PRICE,LAST_TRADED_PRICE,PREV_CLS,UNDERLYING_VALUE,SETTLE_PRICE,OPEN_INT,CHANGE_IN_OI,TRADED_CONTRACTS,TtlTrfVal,TtlNbOfTxsExctd,SsnId,MARKET_LOT,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,TOT_TRADED_QTY
2026-09-24,2026-09-24,FO,NSE,IDF,61471,,NIFTY,,2026-11-23,2026-11-23,,,NIFTY26NOVFUT,23540.0,23540.0,23255.0,23302.8,23292.0,23661.2,23063.1,23302.8,1218360,82420,5302,8059349064.0,4373,F1,65,,,,,,344630
2026-09-24,2026-09-24,FO,NSE,IDF,48704,,NIFTY,,2026-10-27,2026-10-27,,,NIFTY26OCTFUT,23400.0,23421.1,23148.0,23186.1,23169.5,23548.6,23063.1,23186.1,8160295,2634970,55846,84484384231.0,38731,F1,65,,,,,,3629990
2026-09-24,2026-09-24,FO,NSE,IDF,68407,,NIFTY,,2026-09-29,2026-09-29,,,NIFTY26SEPFUT,23288.0,23319.8,23056.0,23108.6,23095.0,23449.8,23063.1,23108.6,14023100,-1541410,67830,102230737108.5,45496,F1,65,,,,,,4408950
