TIMESTAMP,INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PRICE,OPTION_TYPE,MARKET_TYPE,OPENING_PRICE,TRADE_HIGH_PRICE,TRADE_LOW_PRICE,CLOSING_PRICE,LAST_TRADED_PRICE,PREV_CLS,SETTLE_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,OPEN_INT,CHANGE_IN_OI,MARKET_LOT,UNDERLYING_VALUE
18-Sep-2026,OPTIDX,NIFTY,22-Sep-2026,23750,CE,N,5.9,7.1,3.3,3.8,4.0,6.7,3.8,45563830,10823752.65,4303715,501865,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,22-Sep-2026,21650,CE,N,0.0,0.0,0.0,2634.85,0.0,2634.85,1710.44,0,0.0,0,0,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,22-Sep-2026,23300,CE,N,127.2,149.0,99.15,120.7,117.5,120.55,120.7,365840215,85679272.8,7419685,815165,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,22-Sep-2026,21900,CE,N,0.0,0.0,0.0,2390.45,0.0,2390.45,1460.61,0,0.0,0,0,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,22-Sep-2026,23500,CE,N,41.0,48.0,24.7,31.25,30.05,38.9,31.25,229241675,53953023.33,9226165,242190,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,22-Sep-2026,25150,CE,N,0.65,0.7,0.5,0.55,0.55,0.6,0.55,726635,182753.16,191295,14235,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,22-Sep-2026,22900,CE,N,467.9,499.05,410.2,462.45,462.85,429.2,462.45,577460,134822.81,136565,11375,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,22-Sep-2026,23550,CE,N,28.2,34.0,16.25,20.15,19.35,27.4,20.15,111743125,26342589.03,3655340,402220,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,22-Sep-2026,24700,CE,N,0.7,0.95,0.6,0.65,0.65,0.75,0.65,6802185,1680189.88,2274870,-140075,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,22-Sep-2026,22050,CE,N,0.0,0.0,0.0,1162.8,1163.0,1162.8,1310.72,0,0.0,325,0,65,23346.4
