segment,samples,exact_3class_accuracy_pct,majority_baseline_pct,directional_calls,directional_hit_including_flat_misses_pct,directional_nonflat_samples,directional_sign_accuracy_nonflat_pct,sign_wilson_95_low,sign_wilson_95_high,sign_vs_50_p_two_sided
close-to-close,757,36.2,42.14,528,42.61,417,53.96,49.16,58.68,0.117
next-session open-to-close,757,33.42,38.71,528,36.36,411,46.72,41.94,51.55,0.1996
overnight gap,757,38.84,40.03,528,40.34,340,62.65,57.39,67.62,0.0
