left_rule_id,left_feature,right_rule_id,right_feature,dev2023_24_n,dev2023_24_coverage_pct,dev2023_24_up_calls,dev2023_24_down_calls,dev2023_24_exact_pct,dev2023_24_sign_n,dev2023_24_sign_pct,val2025_n,val2025_coverage_pct,val2025_up_calls,val2025_down_calls,val2025_exact_pct,val2025_sign_n,val2025_sign_pct,confirm2026_n,confirm2026_coverage_pct,confirm2026_up_calls,confirm2026_down_calls,confirm2026_exact_pct,confirm2026_sign_n,confirm2026_sign_pct,min_holdout_exact_pct,min_holdout_sign_pct,mean_holdout_coverage_pct
pro_fii_spread_v2inst_lvl_sum4|1|upper|0.850,pro_fii_spread_v2inst_lvl_sum4,pro_fii_spread_v2inst_lvl_mean4|1|upper|0.850,pro_fii_spread_v2inst_lvl_mean4,11,15.07,11,0,81.82,9,100.0,39,75.0,39,0,43.59,33,51.52,35,100.0,35,0,31.43,25,44.0,31.43,44.0,87.5
smart_futheavy_lvl_sum4|-1|upper|0.850,smart_futheavy_lvl_sum4,smart_vs_client_futheavy_lvl_sum4|-1|upper|0.800,smart_vs_client_futheavy_lvl_sum4,11,15.07,11,0,90.91,11,90.91,38,73.08,38,0,44.74,31,54.84,35,100.0,35,0,31.43,25,44.0,31.43,44.0,86.53999999999999
smart_futheavy_lvl_mean4|-1|upper|0.850,smart_futheavy_lvl_mean4,smart_vs_client_futheavy_lvl_sum4|-1|upper|0.800,smart_vs_client_futheavy_lvl_sum4,11,15.07,11,0,90.91,11,90.91,38,73.08,38,0,44.74,31,54.84,35,100.0,35,0,31.43,25,44.0,31.43,44.0,86.53999999999999
smart_v3inst_lvl_sum7|-1|upper|0.850,smart_v3inst_lvl_sum7,smart_vs_client_futheavy_lvl_sum4|-1|upper|0.800,smart_vs_client_futheavy_lvl_sum4,10,13.7,10,0,90.0,10,90.0,38,73.08,38,0,44.74,31,54.84,35,100.0,35,0,31.43,25,44.0,31.43,44.0,86.53999999999999
smart_v3inst_lvl_mean7|-1|upper|0.850,smart_v3inst_lvl_mean7,smart_vs_client_futheavy_lvl_sum4|-1|upper|0.800,smart_vs_client_futheavy_lvl_sum4,10,13.7,10,0,90.0,10,90.0,38,73.08,38,0,44.74,31,54.84,35,100.0,35,0,31.43,25,44.0,31.43,44.0,86.53999999999999
smart_plus_contra_client_futheavy_lvl|-1|upper|0.850,smart_plus_contra_client_futheavy_lvl,smart_vs_client_futheavy_lvl_sum4|-1|upper|0.800,smart_vs_client_futheavy_lvl_sum4,11,15.07,11,0,90.91,11,90.91,38,73.08,38,0,44.74,31,54.84,35,100.0,35,0,31.43,25,44.0,31.43,44.0,86.53999999999999
smart_plus_contra_client_v3inst_lvl_sum7|-1|upper|0.850,smart_plus_contra_client_v3inst_lvl_sum7,smart_vs_client_futheavy_lvl_sum4|-1|upper|0.800,smart_vs_client_futheavy_lvl_sum4,10,13.7,10,0,90.0,10,90.0,38,73.08,38,0,44.74,31,54.84,35,100.0,35,0,31.43,25,44.0,31.43,44.0,86.53999999999999
smart_plus_contra_client_v3inst_lvl_mean7|-1|upper|0.850,smart_plus_contra_client_v3inst_lvl_mean7,smart_vs_client_futheavy_lvl_sum4|-1|upper|0.800,smart_vs_client_futheavy_lvl_sum4,10,13.7,10,0,90.0,10,90.0,38,73.08,38,0,44.74,31,54.84,35,100.0,35,0,31.43,25,44.0,31.43,44.0,86.53999999999999
smart_plus_contra_client_futheavy_lvl_sum4|-1|upper|0.850,smart_plus_contra_client_futheavy_lvl_sum4,smart_vs_client_futheavy_lvl_sum4|-1|upper|0.800,smart_vs_client_futheavy_lvl_sum4,11,15.07,11,0,90.91,11,90.91,38,73.08,38,0,44.74,31,54.84,35,100.0,35,0,31.43,25,44.0,31.43,44.0,86.53999999999999
FII_v2inst_lvl|-1|upper|0.800,FII_v2inst_lvl,pro_fii_spread_v2inst_lvl_sum4|1|upper|0.850,pro_fii_spread_v2inst_lvl_sum4,10,13.7,10,0,80.0,8,100.0,37,71.15,37,0,43.24,31,51.61,35,100.0,35,0,31.43,25,44.0,31.43,44.0,85.575
FII_v2inst_lvl|-1|upper|0.800,FII_v2inst_lvl,pro_fii_spread_v2inst_lvl_mean4|1|upper|0.850,pro_fii_spread_v2inst_lvl_mean4,10,13.7,10,0,80.0,8,100.0,37,71.15,37,0,43.24,31,51.61,35,100.0,35,0,31.43,25,44.0,31.43,44.0,85.575
