left_rule_id,left_feature,right_rule_id,right_feature,dev2023_24_n,dev2023_24_coverage_pct,dev2023_24_up_calls,dev2023_24_down_calls,dev2023_24_exact_pct,dev2023_24_sign_n,dev2023_24_sign_pct,val2025_n,val2025_coverage_pct,val2025_up_calls,val2025_down_calls,val2025_exact_pct,val2025_sign_n,val2025_sign_pct,confirm2026_n,confirm2026_coverage_pct,confirm2026_up_calls,confirm2026_down_calls,confirm2026_exact_pct,confirm2026_sign_n,confirm2026_sign_pct,min_holdout_exact_pct,min_holdout_sign_pct,mean_holdout_coverage_pct
DII_futheavy_qflow_sum21|1|upper|0.850,DII_futheavy_qflow_sum21,FII_v3inst_lvl_sum21|-1|upper|0.800,FII_v3inst_lvl_sum21,10,13.7,10,0,90.0,9,100.0,12,23.08,12,0,58.33,9,77.78,12,34.29,12,0,41.67,8,62.5,41.67,62.5,28.685
DII_futheavy_qflow_mean21|1|upper|0.850,DII_futheavy_qflow_mean21,FII_v3inst_lvl_sum21|-1|upper|0.800,FII_v3inst_lvl_sum21,10,13.7,10,0,90.0,9,100.0,12,23.08,12,0,58.33,9,77.78,12,34.29,12,0,41.67,8,62.5,41.67,62.5,28.685
Pro_v3inst_lvl_posdays21|1|upper|0.850,Pro_v3inst_lvl_posdays21,Pro_v3inst_lvl_sum21|1|upper|0.850,Pro_v3inst_lvl_sum21,10,13.7,10,0,80.0,9,88.89,28,53.85,28,0,46.43,23,56.52,24,68.57,24,0,41.67,18,55.56,41.67,55.56,61.209999999999994
oc_pcr_near_atm_chg7|-1|upper|0.800,oc_pcr_near_atm_chg7,oc_pcr_near_atm_chg7|-1|upper|0.750,oc_pcr_near_atm_chg7,15,20.55,15,0,86.67,14,92.86,17,32.69,17,0,41.18,17,41.18,16,45.71,16,0,43.75,12,58.33,41.18,41.18,39.2
DII_ifut_lvl_chg21|1|upper|0.850,DII_ifut_lvl_chg21,DII_v3inst_lvl_chg21|1|upper|0.850,DII_v3inst_lvl_chg21,11,15.07,11,0,90.91,10,100.0,14,26.92,14,0,71.43,12,83.33,10,28.57,10,0,40.0,7,57.14,40.0,57.14,27.745
DII_ifut_lvl_chg21|1|upper|0.850,DII_ifut_lvl_chg21,DII_futheavy_lvl_chg21|1|upper|0.850,DII_futheavy_lvl_chg21,11,15.07,11,0,90.91,10,100.0,14,26.92,14,0,71.43,12,83.33,10,28.57,10,0,40.0,7,57.14,40.0,57.14,27.745
DII_ifut_lvl_chg21|1|upper|0.850,DII_ifut_lvl_chg21,DII_futheavy_lvl_chg21|1|upper|0.800,DII_futheavy_lvl_chg21,11,15.07,11,0,90.91,10,100.0,14,26.92,14,0,71.43,12,83.33,10,28.57,10,0,40.0,7,57.14,40.0,57.14,27.745
DII_ifut_lvl_chg21|1|upper|0.850,DII_ifut_lvl_chg21,DII_ifut_lvl_chg21|1|upper|0.800,DII_ifut_lvl_chg21,11,15.07,11,0,90.91,10,100.0,14,26.92,14,0,71.43,12,83.33,10,28.57,10,0,40.0,7,57.14,40.0,57.14,27.745
DII_v3inst_lvl_chg21|1|upper|0.850,DII_v3inst_lvl_chg21,DII_futheavy_lvl_chg21|1|upper|0.850,DII_futheavy_lvl_chg21,11,15.07,11,0,90.91,10,100.0,14,26.92,14,0,71.43,12,83.33,10,28.57,10,0,40.0,7,57.14,40.0,57.14,27.745
DII_v3inst_lvl_chg21|1|upper|0.850,DII_v3inst_lvl_chg21,DII_futheavy_lvl_chg21|1|upper|0.800,DII_futheavy_lvl_chg21,11,15.07,11,0,90.91,10,100.0,14,26.92,14,0,71.43,12,83.33,10,28.57,10,0,40.0,7,57.14,40.0,57.14,27.745
