rule_id,feature,orientation,mode,quantile,threshold_hi,threshold_lo,rho_dev,dev2023_24_n,dev2023_24_coverage_pct,dev2023_24_up_calls,dev2023_24_down_calls,dev2023_24_exact_pct,dev2023_24_sign_n,dev2023_24_sign_pct,val2025_n,val2025_coverage_pct,val2025_up_calls,val2025_down_calls,val2025_exact_pct,val2025_sign_n,val2025_sign_pct,confirm2026_n,confirm2026_coverage_pct,confirm2026_up_calls,confirm2026_down_calls,confirm2026_exact_pct,confirm2026_sign_n,confirm2026_sign_pct,min_holdout_exact_pct,min_holdout_sign_pct,mean_holdout_coverage_pct
FII_futheavy_lvl_sum4|-1|upper|0.800,FII_futheavy_lvl_sum4,-1,upper,0.8,0.4021371199645046,,-0.137326,15,20.55,15,0,66.67,12,83.33,45,86.54,45,0,46.67,37,56.76,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
FII_futheavy_lvl_sum4|-1|upper|0.850,FII_futheavy_lvl_sum4,-1,upper,0.85,0.4382519192816882,,-0.137326,11,15.07,11,0,90.91,10,100.0,45,86.54,45,0,46.67,37,56.76,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
FII_futheavy_lvl_sum4|-1|both|0.800,FII_futheavy_lvl_sum4,-1,both,0.8,0.4021371199645046,-0.4580412362277784,-0.137326,30,41.1,15,15,43.33,23,56.52,45,86.54,45,0,46.67,37,56.76,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
FII_futheavy_lvl_sum4|-1|both|0.850,FII_futheavy_lvl_sum4,-1,both,0.85,0.4382519192816882,-0.5080465091682708,-0.137326,22,30.14,11,11,54.55,18,66.67,45,86.54,45,0,46.67,37,56.76,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
FII_futheavy_lvl_mean4|-1|upper|0.800,FII_futheavy_lvl_mean4,-1,upper,0.8,0.10053427999112614,,-0.137326,15,20.55,15,0,66.67,12,83.33,45,86.54,45,0,46.67,37,56.76,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
FII_futheavy_lvl_mean4|-1|upper|0.850,FII_futheavy_lvl_mean4,-1,upper,0.85,0.10956297982042205,,-0.137326,11,15.07,11,0,90.91,10,100.0,45,86.54,45,0,46.67,37,56.76,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
FII_futheavy_lvl_mean4|-1|both|0.800,FII_futheavy_lvl_mean4,-1,both,0.8,0.10053427999112614,-0.1145103090569446,-0.137326,30,41.1,15,15,43.33,23,56.52,45,86.54,45,0,46.67,37,56.76,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
FII_futheavy_lvl_mean4|-1|both|0.850,FII_futheavy_lvl_mean4,-1,both,0.85,0.10956297982042205,-0.1270116272920677,-0.137326,22,30.14,11,11,54.55,18,66.67,45,86.54,45,0,46.67,37,56.76,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
FII_futheavy_lvl_sum7|-1|upper|0.800,FII_futheavy_lvl_sum7,-1,upper,0.8,0.6881909553310771,,-0.100364,15,20.55,15,0,66.67,13,76.92,45,86.54,45,0,46.67,38,55.26,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
FII_futheavy_lvl_sum7|-1|both|0.800,FII_futheavy_lvl_sum7,-1,both,0.8,0.6881909553310771,-0.6793569666493089,-0.100364,30,41.1,15,15,46.67,24,58.33,45,86.54,45,0,46.67,38,55.26,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
