feature,mode,quantile,rho_train2010_22,train2010_22_n,train2010_22_coverage_pct,train2010_22_up_calls,train2010_22_down_calls,train2010_22_exact_pct,train2010_22_sign_n,train2010_22_sign_pct,val2023_24_n,val2023_24_coverage_pct,val2023_24_up_calls,val2023_24_down_calls,val2023_24_exact_pct,val2023_24_sign_n,val2023_24_sign_pct,confirm2025_26_n,confirm2025_26_coverage_pct,confirm2025_26_up_calls,confirm2025_26_down_calls,confirm2025_26_exact_pct,confirm2025_26_sign_n,confirm2025_26_sign_pct,min_val_confirm_exact_pct,min_val_confirm_sign_pct
rv20,up_tail,0.65,0.025148,1126,34.9,1126,0,47.78,1001,53.75,24,4.86,24,0,66.67,18,88.89,75,18.03,75,0,50.67,66,57.58,50.67,57.58
rv20,up_tail,0.6,0.025148,1287,39.89,1287,0,47.55,1143,53.54,38,7.69,38,0,63.16,28,85.71,85,20.43,85,0,50.59,75,57.33,50.59,57.33
high_break3,up_tail,0.925,0.039306,242,7.5,242,0,54.96,196,67.86,27,5.47,27,0,55.56,19,78.95,24,5.77,24,0,50.0,17,70.59,50.0,70.59
high_break2,up_tail,0.9,0.039709,323,10.01,323,0,55.73,264,68.18,36,7.29,36,0,50.0,24,75.0,28,6.73,28,0,50.0,21,66.67,50.0,66.67
high_break3,up_tail,0.9,0.039306,323,10.01,323,0,53.25,264,65.15,39,7.89,39,0,58.97,29,79.31,30,7.21,30,0,50.0,23,65.22,50.0,65.22
gap_sum2,up_tail,0.8,0.070809,645,19.99,645,0,50.85,548,59.85,70,14.17,70,0,52.86,55,67.27,44,10.58,44,0,50.0,34,64.71,50.0,64.71
gap_sum5,up_tail,0.8,0.042944,645,19.99,645,0,46.36,536,55.78,65,13.16,65,0,58.46,55,69.09,46,11.06,46,0,50.0,36,63.89,50.0,63.89
high_break5,up_tail,0.925,0.031877,242,7.5,242,0,53.72,198,65.66,29,5.87,29,0,51.72,21,71.43,20,4.81,20,0,50.0,16,62.5,50.0,62.5
range_mean7,up_tail,0.65,0.038249,1129,35.0,1129,0,48.18,1012,53.75,36,7.29,36,0,50.0,25,72.0,42,10.1,42,0,54.76,37,62.16,50.0,62.16
gap_sum15,up_tail,0.75,0.018576,807,25.02,807,0,48.7,676,58.14,76,15.38,76,0,53.95,58,70.69,32,7.69,32,0,50.0,26,61.54,50.0,61.54
rv10,up_tail,0.75,0.03961,806,24.98,806,0,50.62,718,56.82,28,5.67,28,0,50.0,21,66.67,53,12.74,53,0,56.6,49,61.22,50.0,61.22
rv7,up_tail,0.7,0.045101,967,29.98,967,0,49.22,854,55.74,36,7.29,36,0,50.0,30,60.0,54,12.98,54,0,53.7,48,60.42,50.0,60.0
ret_z30,up_tail,0.925,0.078319,241,7.47,241,0,56.85,202,67.82,35,7.09,35,0,54.29,27,70.37,30,7.21,30,0,50.0,25,60.0,50.0,60.0
ret_z90,up_tail,0.95,0.079658,160,4.96,160,0,56.25,136,66.18,23,4.66,23,0,56.52,18,72.22,20,4.81,20,0,50.0,17,58.82,50.0,58.82
rv5,up_tail,0.8,0.037425,645,19.99,645,0,49.77,565,56.81,22,4.45,22,0,50.0,18,61.11,42,10.1,42,0,50.0,36,58.33,50.0,58.33
gap_sum7,up_tail,0.9,0.022851,323,10.01,323,0,45.82,275,53.82,28,5.67,28,0,53.57,21,71.43,22,5.29,22,0,50.0,19,57.89,50.0,57.89
gap_sum10,up_tail,0.8,0.035587,645,19.99,645,0,46.36,540,55.37,52,10.53,52,0,51.92,44,61.36,30,7.21,30,0,50.0,26,57.69,50.0,57.69
range_mean20,up_tail,0.65,0.025657,1126,34.9,1126,0,48.05,1005,53.83,21,4.25,21,0,66.67,16,87.5,24,5.77,24,0,50.0,21,57.14,50.0,57.14
rv15,up_tail,0.55,0.030132,1449,44.92,1449,0,48.1,1282,54.37,57,11.54,57,0,52.63,42,71.43,90,21.63,90,0,50.0,79,56.96,50.0,56.96
rv20,up_tail,0.7,0.025148,965,29.91,965,0,47.56,855,53.68,20,4.05,20,0,70.0,16,87.5,74,17.79,74,0,50.0,65,56.92,50.0,56.92
gap_sum10,up_tail,0.85,0.035587,484,15.0,484,0,47.93,402,57.71,37,7.49,37,0,54.05,31,64.52,28,6.73,28,0,50.0,25,56.0,50.0,56.0
ret_z20,up_tail,0.95,0.07597,161,4.99,161,0,59.01,135,70.37,24,4.86,24,0,54.17,18,72.22,20,4.81,20,0,50.0,18,55.56,50.0,55.56
rv20,up_tail,0.55,0.025148,1447,44.85,1447,0,47.96,1286,53.97,62,12.55,62,0,58.06,47,76.6,101,24.28,101,0,49.5,89,56.18,49.5,56.18
gap_sum2,up_tail,0.75,0.070809,807,25.02,807,0,49.57,686,58.31,97,19.64,97,0,51.55,74,67.57,55,13.22,55,0,49.09,40,67.5,49.09,67.5
low_break2,up_tail,0.8,0.047938,645,19.99,645,0,50.23,539,60.11,39,7.89,39,0,48.72,28,67.86,44,10.58,44,0,56.82,40,62.5,48.72,62.5
ret_z10,two_tail,0.95,0.080865,324,10.04,162,162,47.22,273,56.04,45,9.11,19,26,60.0,37,72.97,35,8.41,15,20,48.57,30,56.67,48.57,56.67
rv20,up_tail,0.75,0.025148,804,24.92,804,0,48.88,715,54.97,20,4.05,20,0,70.0,16,87.5,70,16.83,70,0,48.57,61,55.74,48.57,55.74
high_break4,up_tail,0.9,0.032702,323,10.01,323,0,54.18,261,67.05,49,9.92,49,0,53.06,37,70.27,31,7.45,31,0,48.39,24,62.5,48.39,62.5
high_break1,up_tail,0.9,0.053518,323,10.01,323,0,57.59,266,69.92,28,5.67,28,0,53.57,22,68.18,31,7.45,31,0,48.39,27,55.56,48.39,55.56
ret3,up_tail,0.8,0.030293,645,19.99,645,0,50.23,532,60.9,60,12.15,60,0,48.33,42,69.05,52,12.5,52,0,53.85,42,66.67,48.33,66.67
ma_dev7,up_tail,0.8,0.039674,645,19.99,645,0,49.46,533,59.85,60,12.15,60,0,48.33,42,69.05,47,11.3,47,0,48.94,40,57.5,48.33,57.5
gap_sum5,up_tail,0.85,0.042944,484,15.0,484,0,46.07,405,55.06,48,9.72,48,0,56.25,39,69.23,29,6.97,29,0,48.28,22,63.64,48.28,63.64
range_mean15,up_tail,0.55,0.029197,1449,44.92,1449,0,48.24,1285,54.4,58,11.74,58,0,48.28,46,60.87,52,12.5,52,0,51.92,46,58.7,48.28,58.7
ret_z40,up_tail,0.925,0.080477,241,7.47,241,0,56.43,203,67.0,33,6.68,33,0,54.55,25,72.0,29,6.97,29,0,48.28,24,58.33,48.28,58.33
ma_dev3,up_tail,0.8,0.05973,646,20.02,646,0,50.62,525,62.29,56,11.34,56,0,48.21,41,65.85,47,11.3,47,0,53.19,39,64.1,48.21,64.1
low_break2,up_tail,0.85,0.047938,484,15.0,484,0,50.62,407,60.2,25,5.06,25,0,48.0,18,66.67,32,7.69,32,0,62.5,29,68.97,48.0,66.67
low_break3,up_tail,0.85,0.052475,484,15.0,484,0,51.65,415,60.24,25,5.06,25,0,48.0,19,63.16,33,7.93,33,0,57.58,29,65.52,48.0,63.16
gap_sum15,up_tail,0.8,0.018576,645,19.99,645,0,47.91,543,56.91,54,10.93,54,0,59.26,44,72.73,25,6.01,25,0,48.0,21,57.14,48.0,57.14
rv30,up_tail,0.7,0.029625,964,29.88,964,0,48.96,855,55.2,30,6.07,30,0,60.0,21,85.71,75,18.03,75,0,48.0,63,57.14,48.0,57.14
ret4,up_tail,0.8,0.029993,645,19.99,645,0,47.91,536,57.65,65,13.16,65,0,53.85,50,70.0,48,11.54,48,0,47.92,38,60.53,47.92,60.53
gap_sum3,up_tail,0.7,0.060479,968,30.01,968,0,48.35,811,57.71,126,25.51,126,0,51.59,94,69.15,71,17.07,71,0,47.89,54,62.96,47.89,62.96
ret_z30,two_tail,0.95,0.078319,322,9.98,161,161,46.89,274,55.11,46,9.31,23,23,47.83,36,61.11,36,8.65,22,14,50.0,32,56.25,47.83,56.25
low_break5,up_tail,0.85,0.038877,484,15.0,484,0,48.97,413,57.38,23,4.66,23,0,47.83,16,68.75,33,7.93,33,0,51.52,31,54.84,47.83,54.84
ret_z120,up_tail,0.85,0.079812,475,14.72,475,0,53.26,391,64.71,70,14.17,70,0,51.43,54,66.67,67,16.11,67,0,47.76,54,59.26,47.76,59.26
low_break4,up_tail,0.75,0.048819,806,24.98,806,0,49.38,679,58.62,67,13.56,67,0,47.76,49,65.31,56,13.46,56,0,51.79,49,59.18,47.76,59.18
rv4,up_tail,0.8,0.05338,645,19.99,645,0,48.99,571,55.34,21,4.25,21,0,47.62,16,62.5,50,12.02,50,0,54.0,45,60.0,47.62,60.0
ret_z120,up_tail,0.95,0.079812,159,4.93,159,0,58.49,137,67.88,21,4.25,21,0,57.14,16,75.0,21,5.05,21,0,47.62,17,58.82,47.62,58.82
ret5,up_tail,0.9,0.030964,323,10.01,323,0,51.08,270,61.11,21,4.25,21,0,47.62,14,71.43,26,6.25,26,0,53.85,24,58.33,47.62,58.33
rv20,up_tail,0.9,0.025148,322,9.98,322,0,49.38,288,55.21,20,4.05,20,0,70.0,16,87.5,21,5.05,21,0,47.62,18,55.56,47.62,55.56
high_break10,two_tail,0.95,0.021083,324,10.04,162,162,48.15,281,55.52,23,4.66,23,0,52.17,17,70.59,21,5.05,13,8,47.62,19,52.63,47.62,52.63
gap_sum3,up_tail,0.65,0.060479,1129,35.0,1129,0,48.1,942,57.64,152,30.77,152,0,49.34,113,66.37,82,19.71,82,0,47.56,63,61.9,47.56,61.9
ma_dev4,up_tail,0.85,0.048346,484,15.0,484,0,51.45,394,63.2,40,8.1,40,0,47.5,27,70.37,37,8.89,37,0,59.46,33,66.67,47.5,66.67
gap_sum15,up_tail,0.7,0.018576,968,30.01,968,0,47.73,804,57.46,99,20.04,99,0,54.55,76,71.05,38,9.13,38,0,47.37,29,62.07,47.37,62.07
low_break4,up_tail,0.8,0.048819,645,19.99,645,0,49.77,546,58.79,38,7.69,38,0,47.37,28,64.29,43,10.34,43,0,53.49,38,60.53,47.37,60.53
low_break3,up_tail,0.75,0.052475,807,25.02,807,0,50.43,685,59.42,67,13.56,67,0,49.25,48,68.75,57,13.7,57,0,47.37,47,57.45,47.37,57.45
rv2,up_tail,0.75,0.028274,806,24.98,806,0,49.63,716,55.87,60,12.15,60,0,48.33,44,65.91,72,17.31,72,0,47.22,61,55.74,47.22,55.74
ret_z20,two_tail,0.95,0.07597,322,9.98,161,161,49.69,271,59.04,53,10.73,24,29,47.17,42,59.52,37,8.89,20,17,51.35,32,59.38,47.17,59.38
gap_sum5,up_tail,0.7,0.042944,968,30.01,968,0,46.49,799,56.32,113,22.87,113,0,54.87,94,65.96,68,16.35,68,0,47.06,54,59.26,47.06,59.26
low_break3,two_tail,0.925,0.052475,484,15.0,242,242,45.45,424,51.89,41,8.3,12,29,51.22,37,56.76,51,12.26,20,31,47.06,45,53.33,47.06,53.33
gap_sum3,up_tail,0.6,0.060479,1290,39.99,1290,0,47.67,1070,57.48,176,35.63,176,0,50.57,135,65.93,98,23.56,98,0,46.94,76,60.53,46.94,60.53
high_break7,up_tail,0.9,0.027013,323,10.01,323,0,51.39,258,64.34,49,9.92,49,0,46.94,37,62.16,34,8.17,34,0,47.06,29,55.17,46.94,55.17
low_break4,up_tail,0.65,0.048819,1129,35.0,1129,0,48.98,948,58.33,111,22.47,111,0,47.75,81,65.43,81,19.47,81,0,46.91,66,57.58,46.91,57.58
rv40,up_tail,0.65,0.027807,1122,34.78,1122,0,47.86,992,54.13,40,8.1,40,0,52.5,26,80.77,81,19.47,81,0,46.91,68,55.88,46.91,55.88
ma_dev3,up_tail,0.7,0.05973,968,30.01,968,0,49.07,790,60.13,113,22.87,113,0,46.9,80,66.25,88,21.15,88,0,47.73,69,60.87,46.9,60.87
ma_dev5,up_tail,0.75,0.044911,807,25.02,807,0,49.69,660,60.76,86,17.41,86,0,51.16,63,69.84,64,15.38,64,0,46.88,51,58.82,46.88,58.82
high_break5,up_tail,0.9,0.031877,323,10.01,323,0,51.08,257,64.2,51,10.32,51,0,50.98,38,68.42,32,7.69,32,0,46.88,27,55.56,46.88,55.56
ma_dev4,up_tail,0.75,0.048346,807,25.02,807,0,49.94,658,61.25,79,15.99,79,0,46.84,54,68.52,63,15.14,63,0,47.62,51,58.82,46.84,58.82
