feature,mode,quantile,rho_train2010_22,train2010_22_n,train2010_22_coverage_pct,train2010_22_up_calls,train2010_22_down_calls,train2010_22_exact_pct,train2010_22_sign_n,train2010_22_sign_pct,val2023_24_n,val2023_24_coverage_pct,val2023_24_up_calls,val2023_24_down_calls,val2023_24_exact_pct,val2023_24_sign_n,val2023_24_sign_pct,confirm2025_26_n,confirm2025_26_coverage_pct,confirm2025_26_up_calls,confirm2025_26_down_calls,confirm2025_26_exact_pct,confirm2025_26_sign_n,confirm2025_26_sign_pct,min_val_confirm_exact_pct,min_val_confirm_sign_pct
gap_sum7,up_tail,0.8,0.022851,645,19.99,645,0,45.27,535,54.58,64,12.96,64,0,57.81,52,71.15,42,10.1,42,0,45.24,33,57.58,45.24,57.58
ret4,up_tail,0.75,0.029993,806,24.98,806,0,47.39,665,57.44,90,18.22,90,0,52.22,71,66.2,62,14.9,62,0,45.16,49,57.14,45.16,57.14
rv30,up_tail,0.75,0.029625,803,24.89,803,0,48.82,709,55.29,30,6.07,30,0,60.0,21,85.71,62,14.9,62,0,45.16,52,53.85,45.16,53.85
rv30,up_tail,0.65,0.029625,1124,34.84,1124,0,48.58,998,54.71,30,6.07,30,0,60.0,21,85.71,82,19.71,82,0,45.12,69,53.62,45.12,53.62
rv10,up_tail,0.6,0.03961,1289,39.96,1289,0,48.49,1138,54.92,51,10.32,51,0,45.1,38,60.53,79,18.99,79,0,54.43,71,60.56,45.1,60.53
high_break3,up_tail,0.85,0.039306,484,15.0,484,0,52.27,389,65.04,66,13.36,66,0,45.45,48,62.5,51,12.26,51,0,45.1,41,56.1,45.1,56.1
high_break180,up_tail,0.7,-0.019099,941,29.17,941,0,48.57,842,54.28,32,6.48,32,0,50.0,27,59.26,162,38.94,162,0,45.06,134,54.48,45.06,54.48
ret_z90,two_tail,0.8,0.079658,1273,39.46,637,636,47.68,1078,56.31,195,39.47,95,100,46.15,152,59.21,162,38.94,86,76,45.06,136,53.68,45.06,53.68
ret2,up_tail,0.75,0.043343,806,24.98,806,0,49.38,661,60.21,80,16.19,80,0,45.0,54,66.67,77,18.51,77,0,51.95,64,62.5,45.0,62.5
range_mean5,up_tail,0.75,0.043957,807,25.02,807,0,49.07,731,54.17,20,4.05,20,0,45.0,13,69.23,26,6.25,26,0,57.69,25,60.0,45.0,60.0
ma_dev3,up_tail,0.9,0.05973,323,10.01,323,0,56.35,274,66.42,20,4.05,20,0,45.0,14,64.29,20,4.81,20,0,50.0,18,55.56,45.0,55.56
high_break4,two_tail,0.95,0.032702,324,10.04,162,162,52.47,285,59.65,20,4.05,15,5,45.0,15,60.0,24,5.77,18,6,45.83,21,52.38,45.0,52.38
gap_sum3,two_tail,0.7,0.060479,1936,60.01,968,968,46.49,1666,54.02,252,51.01,126,126,45.63,197,58.38,258,62.02,71,187,44.96,209,55.5,44.96,55.5
ret3,up_tail,0.75,0.030293,806,24.98,806,0,49.75,664,60.39,90,18.22,90,0,48.89,65,67.69,69,16.59,69,0,44.93,54,57.41,44.93,57.41
low_break2,two_tail,0.9,0.047938,646,20.02,323,323,46.44,559,53.67,49,9.92,13,36,44.9,44,50.0,62,14.9,22,40,46.77,55,52.73,44.9,50.0
low_break2,two_tail,0.925,0.047938,484,15.0,242,242,46.28,421,53.21,39,7.89,9,30,51.28,35,57.14,49,11.78,16,33,44.9,44,50.0,44.9,50.0
ret4,two_tail,0.85,0.029993,968,30.01,484,484,45.25,838,52.27,82,16.6,37,45,51.22,65,64.62,78,18.75,33,45,44.87,65,53.85,44.87,53.85
gap_sum3,two_tail,0.75,0.060479,1614,50.03,807,807,47.09,1388,54.76,202,40.89,95,107,46.53,161,58.39,223,53.61,57,166,44.84,183,54.64,44.84,54.64
range_mean10,up_tail,0.65,0.033945,1128,34.97,1128,0,48.85,1006,54.77,29,5.87,29,0,44.83,20,65.0,36,8.65,36,0,61.11,32,68.75,44.83,65.0
high_break2,up_tail,0.75,0.039709,807,25.02,807,0,47.71,644,59.78,123,24.9,123,0,45.53,92,60.87,87,20.91,87,0,44.83,70,55.71,44.83,55.71
high_break90,up_tail,0.8,-0.015431,637,19.75,637,0,50.71,586,55.12,29,5.87,29,0,44.83,24,54.17,104,25.0,104,0,45.19,84,55.95,44.83,54.17
high_break252,up_tail,0.7,-0.016081,930,28.83,930,0,48.6,835,54.13,29,5.87,29,0,44.83,24,54.17,142,34.13,142,0,46.48,116,56.9,44.83,54.17
ret_z120,two_tail,0.8,0.079812,1268,39.31,634,634,47.71,1071,56.49,192,38.87,97,95,44.79,150,57.33,161,38.7,83,78,45.34,138,52.9,44.79,52.9
ret5,up_tail,0.85,0.030964,484,15.0,484,0,49.59,402,59.7,38,7.69,38,0,44.74,28,60.71,34,8.17,34,0,47.06,28,57.14,44.74,57.14
high_break4,two_tail,0.925,0.032702,484,15.0,242,242,49.59,420,57.14,42,8.5,31,11,47.62,30,66.67,38,9.13,25,13,44.74,31,54.84,44.74,54.84
rv2,up_tail,0.85,0.028274,484,15.0,484,0,47.73,427,54.1,27,5.47,27,0,48.15,20,65.0,38,9.13,38,0,44.74,32,53.12,44.74,53.12
low_break5,up_tail,0.65,0.038877,1129,35.0,1129,0,48.27,948,57.49,123,24.9,123,0,44.72,89,61.8,79,18.99,79,0,45.57,65,55.38,44.72,55.38
high_break7,up_tail,0.85,0.027013,484,15.0,484,0,48.97,386,61.4,85,17.21,85,0,49.41,65,64.62,47,11.3,47,0,44.68,39,53.85,44.68,53.85
ret2,up_tail,0.8,0.043343,645,19.99,645,0,49.77,524,61.26,56,11.34,56,0,44.64,37,67.57,53,12.74,53,0,56.6,45,66.67,44.64,66.67
oc_sum1,up_tail,0.6,0.045658,1291,40.02,1291,0,49.11,1094,57.95,175,35.43,175,0,46.86,137,59.85,168,40.38,168,0,44.64,139,53.96,44.64,53.96
ret_z90,up_tail,0.85,0.079658,478,14.82,478,0,53.97,393,65.65,72,14.57,72,0,52.78,57,66.67,65,15.62,65,0,44.62,51,56.86,44.62,56.86
ma_dev4,up_tail,0.7,0.048346,968,30.01,968,0,49.59,792,60.61,108,21.86,108,0,48.15,77,67.53,83,19.95,83,0,44.58,66,56.06,44.58,56.06
ret_z120,up_tail,0.8,0.079812,634,19.65,634,0,52.21,525,63.05,97,19.64,97,0,50.52,75,65.33,83,19.95,83,0,44.58,66,56.06,44.58,56.06
ret_z90,two_tail,0.85,0.079658,956,29.63,478,478,48.85,812,57.51,142,28.74,72,70,45.77,113,57.52,119,28.61,65,54,44.54,100,53.0,44.54,53.0
gap_sum3,two_tail,0.65,0.060479,2258,69.99,1129,1129,46.55,1939,54.2,301,60.93,152,149,44.52,234,57.26,290,69.71,82,208,45.17,237,55.27,44.52,55.27
low_break5,up_tail,0.8,0.038877,645,19.99,645,0,50.08,545,59.27,36,7.29,36,0,44.44,25,64.0,43,10.34,43,0,51.16,39,56.41,44.44,56.41
oc_sum5,up_tail,0.8,0.015992,646,20.02,646,0,49.69,554,57.94,63,12.75,63,0,44.44,42,66.67,60,14.42,60,0,46.67,51,54.9,44.44,54.9
rv40,up_tail,0.75,0.027807,802,24.86,802,0,48.5,709,54.87,40,8.1,40,0,52.5,26,80.77,63,15.14,63,0,44.44,53,52.83,44.44,52.83
high_break2,two_tail,0.925,0.039709,484,15.0,242,242,50.83,415,59.28,36,7.29,21,15,44.44,28,57.14,30,7.21,20,10,46.67,27,51.85,44.44,51.85
ret4,two_tail,0.9,0.029993,646,20.02,323,323,46.13,573,52.01,44,8.91,14,30,50.0,35,62.86,45,10.82,24,21,44.44,39,51.28,44.44,51.28
ret_z60,two_tail,0.95,0.082304,320,9.92,160,160,47.81,272,56.25,47,9.51,24,23,51.06,39,61.54,45,10.82,23,22,44.44,41,48.78,44.44,48.78
ret_z5,two_tail,0.8,0.074807,1290,39.99,645,645,46.67,1092,55.13,192,38.87,97,95,45.31,152,57.24,178,42.79,92,86,44.38,142,55.63,44.38,55.63
high_break90,up_tail,0.65,-0.015431,1114,34.53,1114,0,48.29,991,54.29,91,18.42,91,0,45.05,75,54.67,151,36.3,151,0,44.37,125,53.6,44.37,53.6
rv3,up_tail,0.65,0.056145,1129,35.0,1129,0,49.6,994,56.34,79,15.99,79,0,44.3,55,63.64,96,23.08,96,0,47.92,85,54.12,44.3,54.12
low_break3,up_tail,0.7,0.052475,968,30.01,968,0,50.0,813,59.53,84,17.0,84,0,50.0,62,67.74,70,16.83,70,0,44.29,55,56.36,44.29,56.36
ma_dev5,up_tail,0.8,0.044911,645,19.99,645,0,51.32,532,62.22,61,12.35,61,0,44.26,43,62.79,51,12.26,51,0,50.98,42,61.9,44.26,61.9
ret_z10,two_tail,0.8,0.080865,1289,39.96,645,644,47.17,1088,55.88,204,41.3,105,99,44.61,162,56.17,183,43.99,89,94,44.26,151,53.64,44.26,53.64
rv30,up_tail,0.55,0.029625,1445,44.79,1445,0,48.1,1279,54.34,30,6.07,30,0,60.0,21,85.71,104,25.0,104,0,44.23,88,52.27,44.23,52.27
rv60,up_tail,0.65,0.021278,1119,34.69,1119,0,47.36,985,53.81,60,12.15,60,0,50.0,40,75.0,95,22.84,95,0,44.21,80,52.5,44.21,52.5
ret_z90,up_tail,0.9,0.079658,319,9.89,319,0,55.8,264,67.42,45,9.11,45,0,55.56,36,69.44,43,10.34,43,0,44.19,32,59.38,44.19,59.38
high_break2,up_tail,0.85,0.039709,484,15.0,484,0,52.07,390,64.62,61,12.35,61,0,49.18,45,66.67,43,10.34,43,0,44.19,35,54.29,44.19,54.29
oc_sum5,up_tail,0.75,0.015992,807,25.02,807,0,48.33,682,57.18,92,18.62,92,0,45.65,67,62.69,86,20.67,86,0,44.19,72,52.78,44.19,52.78
rv30,up_tail,0.8,0.029625,643,19.93,643,0,49.3,570,55.61,30,6.07,30,0,60.0,21,85.71,43,10.34,43,0,44.19,38,50.0,44.19,50.0
ret_z120,two_tail,0.85,0.079812,950,29.45,475,475,48.63,810,57.04,141,28.54,70,71,45.39,111,57.66,120,28.85,67,53,44.17,102,51.96,44.17,51.96
ma_dev3,up_tail,0.75,0.05973,807,25.02,807,0,49.69,662,60.57,77,15.59,77,0,44.16,55,61.82,64,15.38,64,0,51.56,51,64.71,44.16,61.82
ret_z120,up_tail,0.75,0.079812,792,24.55,792,0,52.02,660,62.42,128,25.91,128,0,47.66,96,63.54,102,24.52,102,0,44.12,81,55.56,44.12,55.56
dom,two_tail,0.9,0.030334,788,24.43,373,415,44.29,666,52.4,118,23.89,55,63,46.61,98,56.12,102,24.52,45,57,44.12,82,54.88,44.12,54.88
gap_sum2,two_tail,0.7,0.070809,1936,60.01,968,968,47.83,1671,55.42,263,53.24,129,134,44.11,205,56.59,256,61.54,72,184,44.92,205,56.1,44.11,56.1
high_break4,up_tail,0.8,0.032702,645,19.99,645,0,48.99,513,61.6,109,22.06,109,0,50.46,85,64.71,59,14.18,59,0,44.07,47,55.32,44.07,55.32
low_break3,two_tail,0.85,0.052475,968,30.01,484,484,48.55,836,56.22,84,17.0,25,59,44.05,69,53.62,97,23.32,33,64,45.36,84,52.38,44.05,52.38
rv60,up_tail,0.55,0.021278,1438,44.58,1438,0,48.12,1258,55.01,60,12.15,60,0,50.0,40,75.0,109,26.2,109,0,44.04,91,52.75,44.04,52.75
high_break4,up_tail,0.85,0.032702,484,15.0,484,0,51.24,386,64.25,71,14.37,71,0,46.48,52,63.46,50,12.02,50,0,44.0,40,55.0,44.0,55.0
high_break180,up_tail,0.75,-0.019099,784,24.3,784,0,48.98,703,54.62,25,5.06,25,0,44.0,20,55.0,124,29.81,124,0,45.97,101,56.44,44.0,55.0
gap_sum2,two_tail,0.9,0.070809,646,20.02,323,323,48.3,565,55.22,49,9.92,20,29,53.06,42,61.9,75,18.03,20,55,44.0,65,50.77,44.0,50.77
ret_z15,two_tail,0.925,0.08005,484,15.0,242,242,47.31,405,56.54,70,14.17,34,36,54.29,59,64.41,66,15.87,35,31,43.94,54,53.7,43.94,53.7
oc_sum1,up_tail,0.55,0.045658,1452,45.01,1452,0,49.04,1237,57.56,211,42.71,211,0,48.34,169,60.36,189,45.43,189,0,43.92,152,54.61,43.92,54.61
ret_z30,up_tail,0.9,0.078319,322,9.98,322,0,55.9,267,67.42,50,10.12,50,0,54.0,38,71.05,41,9.86,41,0,43.9,31,58.06,43.9,58.06
gap_sum3,two_tail,0.6,0.060479,2580,79.98,1290,1290,46.05,2203,53.93,363,73.48,176,187,44.08,286,55.94,328,78.85,98,230,43.9,267,53.93,43.9,53.93
high_break10,up_tail,0.85,0.021083,484,15.0,484,0,48.35,381,61.42,83,16.8,83,0,46.99,63,61.9,41,9.86,41,0,43.9,34,52.94,43.9,52.94
ret3,two_tail,0.9,0.030293,646,20.02,323,323,46.75,563,53.64,44,8.91,18,26,47.73,36,58.33,41,9.86,23,18,43.9,35,51.43,43.9,51.43
gap_sum5,two_tail,0.9,0.042944,646,20.02,323,323,45.67,560,52.68,57,11.54,26,31,43.86,44,56.82,85,20.43,21,64,45.88,71,54.93,43.86,54.93
rv5,up_tail,0.75,0.037425,806,24.98,806,0,48.76,711,55.27,32,6.48,32,0,43.75,23,60.87,57,13.7,57,0,54.39,49,63.27,43.75,60.87
high_break2,up_tail,0.8,0.039709,645,19.99,645,0,49.46,512,62.3,85,17.21,85,0,44.71,61,62.3,64,15.38,64,0,43.75,51,54.9,43.75,54.9
high_break5,up_tail,0.85,0.031877,484,15.0,484,0,48.76,386,61.14,73,14.78,73,0,49.32,54,66.67,48,11.54,48,0,43.75,39,53.85,43.75,53.85
low_break2,up_tail,0.75,0.047938,807,25.02,807,0,50.81,671,61.1,65,13.16,65,0,46.15,45,66.67,64,15.38,64,0,43.75,54,51.85,43.75,51.85
gap_sum3,two_tail,0.8,0.060479,1290,39.99,645,645,48.29,1121,55.58,142,28.74,66,76,49.3,115,60.87,176,42.31,47,129,43.75,149,51.68,43.75,51.68
ret2,two_tail,0.8,0.043343,1290,39.99,645,645,47.91,1095,56.44,116,23.48,56,60,43.97,85,60.0,112,26.92,53,59,43.75,96,51.04,43.75,51.04
ret_z30,up_tail,0.8,0.078319,643,19.93,643,0,52.26,532,63.16,97,19.64,97,0,48.45,75,62.67,87,20.91,87,0,43.68,66,57.58,43.68,57.58
low_break3,up_tail,0.65,0.052475,1129,35.0,1129,0,50.13,947,59.77,114,23.08,114,0,50.88,85,68.24,87,20.91,87,0,43.68,70,54.29,43.68,54.29
high_break90,up_tail,0.7,-0.015431,955,29.6,955,0,48.38,850,54.35,72,14.57,72,0,44.44,60,53.33,142,34.13,142,0,43.66,117,52.99,43.66,52.99
gap_sum2,two_tail,0.65,0.070809,2258,69.99,1129,1129,46.99,1944,54.58,307,62.15,157,150,43.65,241,55.6,287,68.99,89,198,44.25,226,56.19,43.65,55.6
ret_z60,two_tail,0.85,0.082304,960,29.76,480,480,48.65,812,57.51,151,30.57,75,76,47.02,119,59.66,126,30.29,69,57,43.65,104,52.88,43.65,52.88
rv40,up_tail,0.6,0.027807,1283,39.77,1283,0,48.32,1130,54.87,40,8.1,40,0,52.5,26,80.77,94,22.6,94,0,43.62,77,53.25,43.62,53.25
ret2,up_tail,0.85,0.043343,484,15.0,484,0,52.48,399,63.66,39,7.89,39,0,43.59,26,65.38,35,8.41,35,0,60.0,32,65.62,43.59,65.38
range_mean2,up_tail,0.75,0.023696,807,25.02,807,0,49.32,730,54.52,39,7.89,39,0,43.59,28,60.71,33,7.93,33,0,60.61,30,66.67,43.59,60.71
ret_z60,two_tail,0.8,0.082304,1279,39.65,640,639,47.77,1079,56.63,188,38.06,96,92,44.68,150,56.0,163,39.18,82,81,43.56,134,52.99,43.56,52.99
rv10,up_tail,0.55,0.03961,1449,44.92,1449,0,47.55,1279,53.87,62,12.55,62,0,43.55,46,58.7,95,22.84,95,0,47.37,83,54.22,43.55,54.22
high_break1,up_tail,0.8,0.053518,645,19.99,645,0,51.47,526,63.12,87,17.61,87,0,47.13,65,63.08,62,14.9,62,0,43.55,50,54.0,43.55,54.0
low_break2,two_tail,0.8,0.047938,1290,39.99,645,645,47.36,1101,55.5,124,25.1,39,85,43.55,94,57.45,129,31.01,44,85,45.74,115,51.3,43.55,51.3
gap_sum7,up_tail,0.55,0.022851,1451,44.98,1451,0,45.76,1208,54.97,206,41.7,206,0,55.83,167,68.86,85,20.43,85,0,43.53,67,55.22,43.53,55.22
gap_sum3,up_tail,0.55,0.060479,1451,44.98,1451,0,47.35,1197,57.39,216,43.72,216,0,48.15,166,62.65,115,27.64,115,0,43.48,86,58.14,43.48,58.14
ret_z60,up_tail,0.85,0.082304,480,14.88,480,0,54.17,396,65.66,75,15.18,75,0,53.33,58,68.97,69,16.59,69,0,43.48,52,57.69,43.48,57.69
ret2,up_tail,0.65,0.043343,1129,35.0,1129,0,47.83,927,58.25,141,28.54,141,0,47.52,108,62.04,115,27.64,115,0,43.48,88,56.82,43.48,56.82
oc_sum1,up_tail,0.75,0.045658,807,25.02,807,0,50.31,694,58.5,91,18.42,91,0,43.96,68,58.82,92,22.12,92,0,43.48,74,54.05,43.48,54.05
high_break5,two_tail,0.95,0.031877,324,10.04,162,162,52.47,285,59.65,20,4.05,15,5,50.0,16,62.5,23,5.53,17,6,43.48,20,50.0,43.48,50.0
low_break5,up_tail,0.6,0.038877,1290,39.99,1290,0,47.91,1081,57.17,139,28.14,139,0,46.76,104,62.5,99,23.8,99,0,43.43,81,53.09,43.43,53.09
ret2,two_tail,0.85,0.043343,968,30.01,484,484,48.66,829,56.82,80,16.19,39,41,46.25,60,61.67,76,18.27,35,41,43.42,67,49.25,43.42,49.25
gap_sum3,two_tail,0.85,0.060479,968,30.01,484,484,47.83,851,54.41,97,19.64,39,58,52.58,82,62.2,129,31.01,36,93,43.41,108,51.85,43.41,51.85
ret_z90,up_tail,0.75,0.079658,796,24.67,796,0,51.88,662,62.39,129,26.11,129,0,45.74,97,60.82,106,25.48,106,0,43.4,84,54.76,43.4,54.76
ret_z252,two_tail,0.75,0.080035,1550,48.05,775,775,48.06,1316,56.61,233,47.17,125,108,44.64,180,57.78,203,48.8,100,103,43.35,167,52.69,43.35,52.69
gap_sum7,up_tail,0.85,0.022851,484,15.0,484,0,44.83,402,53.98,45,9.11,45,0,57.78,37,70.27,30,7.21,30,0,43.33,23,56.52,43.33,56.52
ret_z90,up_tail,0.925,0.079658,239,7.41,239,0,56.07,202,66.34,31,6.28,31,0,51.61,22,72.73,30,7.21,30,0,43.33,23,56.52,43.33,56.52
rv3,up_tail,0.8,0.056145,645,19.99,645,0,48.84,571,55.17,30,6.07,30,0,43.33,23,56.52,41,9.86,41,0,56.1,38,60.53,43.33,56.52
low_break5,two_tail,0.95,0.038877,324,10.04,162,162,46.6,288,52.43,27,5.47,6,21,55.56,24,62.5,30,7.21,11,19,43.33,23,56.52,43.33,56.52
gap_sum1,up_tail,0.9,0.077012,323,10.01,323,0,56.35,287,63.41,24,4.86,24,0,45.83,16,68.75,30,7.21,30,0,43.33,24,54.17,43.33,54.17
low_break4,two_tail,0.95,0.048819,324,10.04,162,162,47.84,289,53.63,22,4.45,5,17,50.0,19,57.89,30,7.21,10,20,43.33,25,52.0,43.33,52.0
high_break120,up_tail,0.7,-0.016706,950,29.45,950,0,48.42,846,54.37,51,10.32,51,0,47.06,44,54.55,164,39.42,164,0,43.29,134,52.99,43.29,52.99
low_break10,up_tail,0.7,0.032162,967,29.98,967,0,47.57,811,56.72,69,13.97,69,0,44.93,50,62.0,67,16.11,67,0,43.28,55,52.73,43.28,52.73
rv40,up_tail,0.7,0.027807,962,29.82,962,0,48.54,856,54.56,40,8.1,40,0,52.5,26,80.77,67,16.11,67,0,43.28,56,51.79,43.28,51.79
range_mean3,up_tail,0.6,0.033077,1291,40.02,1291,0,48.8,1147,54.93,74,14.98,74,0,43.24,52,61.54,73,17.55,73,0,49.32,61,59.02,43.24,59.02
ma_dev7,up_tail,0.7,0.039674,967,29.98,967,0,47.78,790,58.48,127,25.71,127,0,48.03,94,64.89,81,19.47,81,0,43.21,65,53.85,43.21,53.85
ret_z20,two_tail,0.85,0.07597,966,29.94,483,483,47.31,810,56.42,143,28.95,72,71,48.95,113,61.95,125,30.05,65,60,43.2,105,51.43,43.2,51.43
high_break1,up_tail,0.85,0.053518,484,15.0,484,0,52.69,395,64.56,51,10.32,51,0,49.02,36,69.44,44,10.58,44,0,43.18,33,57.58,43.18,57.58
low_break4,up_tail,0.6,0.048819,1290,39.99,1290,0,49.07,1082,58.5,138,27.94,138,0,49.28,104,65.38,102,24.52,102,0,43.14,80,55.0,43.14,55.0
rv60,up_tail,0.6,0.021278,1279,39.65,1279,0,48.16,1122,54.9,60,12.15,60,0,50.0,40,75.0,102,24.52,102,0,43.14,85,51.76,43.14,51.76
low_break5,up_tail,0.55,0.038877,1451,44.98,1451,0,48.04,1217,57.27,164,33.2,164,0,47.56,123,63.41,116,27.88,116,0,43.1,93,53.76,43.1,53.76
ret_z20,up_tail,0.85,0.07597,483,14.97,483,0,53.62,400,64.75,72,14.57,72,0,54.17,57,68.42,65,15.62,65,0,43.08,51,54.9,43.08,54.9
ret_z30,two_tail,0.8,0.078319,1285,39.83,643,642,47.86,1084,56.73,195,39.47,97,98,43.08,151,55.63,165,39.66,87,78,43.64,136,52.94,43.08,52.94
ret_z120,two_tail,0.75,0.079812,1584,49.1,792,792,47.73,1339,56.46,248,50.2,128,120,43.95,193,56.48,202,48.56,102,100,43.07,172,50.58,43.07,50.58
gap_sum7,up_tail,0.6,0.022851,1290,39.99,1290,0,46.36,1071,55.84,172,34.82,172,0,56.98,139,70.5,79,18.99,79,0,43.04,61,55.74,43.04,55.74
ret_z15,up_tail,0.6,0.08005,1288,39.93,1288,0,49.46,1089,58.49,203,41.09,203,0,45.81,159,58.49,165,39.66,165,0,43.03,130,54.62,43.03,54.62
range_mean5,up_tail,0.55,0.043957,1451,44.98,1451,0,49.0,1290,55.12,86,17.41,86,0,43.02,62,59.68,71,17.07,71,0,45.07,60,53.33,43.02,53.33
rv3,up_tail,0.6,0.056145,1290,39.99,1290,0,48.68,1132,55.48,100,20.24,100,0,43.0,72,59.72,113,27.16,113,0,46.9,97,54.64,43.0,54.64
ret_z30,up_tail,0.65,0.078319,1124,34.84,1124,0,50.8,948,60.23,167,33.81,167,0,45.51,128,59.38,142,34.13,142,0,42.96,112,54.46,42.96,54.46
ret_z15,two_tail,0.85,0.08005,966,29.94,483,483,47.41,816,56.13,145,29.35,76,69,46.21,114,58.77,142,34.13,74,68,42.96,118,51.69,42.96,51.69
ret_z120,up_tail,0.6,0.079812,1267,39.27,1267,0,50.04,1063,59.64,201,40.69,201,0,43.78,154,57.14,163,39.18,163,0,42.94,127,55.12,42.94,55.12
high_break252,up_tail,0.65,-0.016081,1085,33.63,1085,0,47.93,972,53.5,46,9.31,46,0,50.0,39,58.97,184,44.23,184,0,42.93,150,52.67,42.93,52.67
ret_z20,up_tail,0.8,0.07597,644,19.96,644,0,52.95,539,63.27,101,20.45,101,0,46.53,77,61.04,84,20.19,84,0,42.86,62,58.06,42.86,58.06
ret_z252,up_tail,0.8,0.080035,620,19.22,620,0,51.61,515,62.14,98,19.84,98,0,47.96,72,65.28,77,18.51,77,0,42.86,59,55.93,42.86,55.93
ret_z60,up_tail,0.6,0.082304,1279,39.65,1279,0,50.27,1078,59.65,193,39.07,193,0,44.56,146,58.9,161,38.7,161,0,42.86,126,54.76,42.86,54.76
ret_z252,up_tail,0.9,0.080035,310,9.61,310,0,54.52,257,65.76,43,8.7,43,0,48.84,31,67.74,42,10.1,42,0,42.86,33,54.55,42.86,54.55
low_break1,up_tail,0.8,0.064796,645,19.99,645,0,52.4,550,61.45,50,10.12,50,0,44.0,35,62.86,49,11.78,49,0,42.86,39,53.85,42.86,53.85
ma_dev7,up_tail,0.85,0.039674,484,15.0,484,0,49.79,391,61.64,35,7.09,35,0,42.86,23,65.22,32,7.69,32,0,46.88,28,53.57,42.86,53.57
ret_z15,up_tail,0.925,0.08005,242,7.5,242,0,56.2,201,67.66,34,6.88,34,0,58.82,28,71.43,35,8.41,35,0,42.86,28,53.57,42.86,53.57
gap_sum15,up_tail,0.55,0.018576,1451,44.98,1451,0,46.38,1203,55.94,194,39.27,194,0,52.06,155,65.16,56,13.46,56,0,42.86,45,53.33,42.86,53.33
high_break7,up_tail,0.8,0.027013,645,19.99,645,0,46.05,507,58.58,118,23.89,118,0,47.46,89,62.92,56,13.46,56,0,42.86,45,53.33,42.86,53.33
oc_sum1,up_tail,0.65,0.045658,1129,35.0,1129,0,49.51,958,58.35,148,29.96,148,0,47.3,115,60.87,140,33.65,140,0,42.86,113,53.1,42.86,53.1
rv40,up_tail,0.55,0.027807,1443,44.73,1443,0,48.09,1268,54.73,40,8.1,40,0,52.5,26,80.77,98,23.56,98,0,42.86,81,51.85,42.86,51.85
ret3,two_tail,0.8,0.030293,1290,39.99,645,645,47.05,1107,54.83,120,24.29,60,60,46.67,93,60.22,119,28.61,52,67,42.86,99,51.52,42.86,51.52
ma_dev5,two_tail,0.85,0.044911,968,30.01,484,484,47.21,831,54.99,79,15.99,38,41,43.04,60,56.67,84,20.19,40,44,42.86,72,50.0,42.86,50.0
ret_z30,two_tail,0.925,0.078319,482,14.94,241,241,47.51,405,56.54,69,13.97,35,34,49.28,55,61.82,56,13.46,30,26,42.86,48,50.0,42.86,50.0
rv7,two_tail,0.975,0.045101,162,5.02,81,81,44.44,142,50.7,42,8.5,7,35,42.86,36,50.0,27,6.49,2,25,51.85,23,60.87,42.86,50.0
gap_sum2,two_tail,0.925,0.070809,484,15.0,242,242,49.59,432,55.56,35,7.09,14,21,57.14,32,62.5,56,13.46,17,39,42.86,48,50.0,42.86,50.0
ret_z40,down_tail,0.85,0.080477,481,14.91,0,481,42.2,411,49.39,75,15.18,0,75,44.0,62,53.23,63,15.14,0,63,42.86,57,47.37,42.86,47.37
high_break15,two_tail,0.95,0.015518,322,9.98,161,161,48.14,280,55.36,24,4.86,24,0,54.17,18,72.22,21,5.05,10,11,42.86,19,47.37,42.86,47.37
gap_sum2,two_tail,0.6,0.070809,2580,79.98,1290,1290,46.01,2216,53.56,369,74.7,196,173,42.82,288,54.86,327,78.61,107,220,44.34,261,55.56,42.82,54.86
ret_z10,two_tail,0.65,0.080865,2256,69.93,1128,1128,47.74,1923,56.01,346,70.04,176,170,42.77,272,54.41,299,71.88,155,144,43.14,243,53.09,42.77,53.09
high_break120,up_tail,0.65,-0.016706,1108,34.35,1108,0,47.65,982,53.77,76,15.38,76,0,44.74,62,54.84,173,41.59,173,0,42.77,142,52.11,42.77,52.11
ret_z120,two_tail,0.7,0.079812,1900,58.9,950,950,48.32,1614,56.88,290,58.7,147,143,42.76,226,54.87,252,60.58,126,126,42.86,211,51.18,42.76,51.18
ret2,up_tail,0.6,0.043343,1290,39.99,1290,0,48.37,1069,58.37,189,38.26,189,0,44.44,146,57.53,138,33.17,138,0,42.75,108,54.63,42.75,54.63
ret_z30,two_tail,0.75,0.078319,1606,49.78,803,803,48.07,1357,56.89,241,48.79,124,117,42.74,186,55.38,220,52.88,113,107,43.18,179,53.07,42.74,53.07
ret1,two_tail,0.7,0.077575,1936,60.01,968,968,47.99,1655,56.13,241,48.79,124,117,42.74,184,55.98,223,53.61,102,121,43.05,184,52.17,42.74,52.17
