group,instruments,advances,declines,unchanged,mean_return,median_return,dispersion
asia,2,2,0,0,0.009858362465658521,0.009858362465658521,0.0039045129558075153
india_heavyweight,10,5,5,0,0.0009681504078679736,0.0005649165023609015,0.020040541559954144
india_sector,3,2,1,0,6.11221177485947e-07,0.004922998556204483,0.007304373082321589
prior_global,7,4,3,0,-0.014466335457320314,0.001454304994732425,0.046948137418759694
